Lote,ID_Turno,Fecha,Anio,Actor_Final,Rol_Final,Grupo_Actor,Estrato,Decile_Lex,Etiqueta_Previa,Palabras,Numero_Filas,ID_Desde,ID_Hasta,Lex_Score,Lex_Clase,Lex_Peso_Hawkish,Lex_Peso_Dovish,Lex_Hits_por_100,Lex_Evidencia,SHA256_Texto,HD_Score_Oro,HD_Clase_Oro,Evidencia_Oro,Chars_Leidos,Texto,Cobertura
1,RPM-2005-01-11:T29,2005-01-11,2005,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,D9|2005|CONSEJO,9,SI,299,1,31,31,0.4286,NEUTRAL,3.0,0,0.33,H:presion inflacionaria,1f62a5bfbcfa82a6a3aaf05705bee183c35a2ff0fab0fc15c8ec9080170dcde2,0.5,HAWKISH,esta reducción del estímulo monetario va a ser en forma pausada,800,"El Presidente señor Corbo señala que lo expuesto por el señor Ministro es una de las variables que se consideran, pero lo que sí está claro es que el Banco está partiendo de una situación en la cual la tasa de política monetaria está muy por debajo de cualquier estimación de tasa neutral. Agrega que el Banco ha decidido que esta reducción del estímulo monetario va a ser en forma pausada, en consecuencia entonces es robusta la decisión de pausada respecto a estimaciones que uno tenga del gap. Señala que es efectivo que si el gap se va reduciendo, no hay duda que eso va creando más presión inflacionaria en la medida que se va reduciendo el gasto. Agrega el señor Presidente, que el Banco utiliza los modelos y también su propio juicio, ya que estamos con una tasa de interés hoy día sustancialmente por debajo de cualquier tasa neutral, en cualquier estimación que uno haga. El hecho que el producto esté creciendo fuerte y que los gap se estén acortando indica que el proceso, es el momento de empezar a reducir pausadamente este estímulo monetario que se puso en condiciones muy distintas, Lo anterior, señala el señor Presidente, está relacionado con la velocidad a la cual se van achicando los gaps, pero no estamos discutiendo velocidad, estamos discutiendo básicamente mantener esto pausado. El principio de organización que tenemos para proyectar la inflación tiene que ver con que hay una curva de Phillips, o sea, los gaps son importantes desde el punto de vista para nuestra orientación, pero al final se efectúa un juicio. Agrega que si es la orientación central, tenemos un modelo, y tenemos que tener un esquema para hacer política y ese esquema es que tenemos una curva de Phillips, como tienen todos los bancos centrales.",0.459
2,RPM-2005-01-11:T33,2005-01-11,2005,Rodrigo Valdés Pulido,Gerente de División Estudios,STAFF,D4|2005|STAFF,4,SI,263,1,35,35,0.0,NEUTRAL,0,0,0.0,,6af1ef1af2e95ba980a614f8c5dc00645abde5bbef61c9dea6cde9a352e112d5,0.25,NEUTRAL,dicho escenario contempla un cierre de brecha a un ritmo algo mayor,800,"El Gerente de División Estudios señala que el Banco ha efectuado la revisión del producto potencial del Informe con el anterior. Señala que hay que darle consistencia en el tiempo también a este diagnóstico y agrega que en el tiempo se ha aumentado el crecimiento del PIB potencial justamente porque existieron shocks tanto de actividad -que podrían influir en la PTF-, como porque la inversión iba más rápido. Señala haber entendido que si no se hubiese tenido un shock de inversión tendríamos un poquito menos de PIB potencial, etc. Ahora, respecto de cuánto uno corrige eso en el escenario central, señala que como se dijo claramente en la mañana, es bastante menos que lo que se está corrigiendo en las proyecciones de crecimiento porque hay al final cierre de brechas. En opinión del señor Gerente, es muy difícil hacer el juicio de que con los datos existentes, las brechas se están ampliando o cerrando más lento de lo que se esperaba antes. Por el contrario, piensa que las brechas se van cerrando más rápido de lo que se pensaba hace seis meses. Señala haber entendido en la mañana que el Ministro en el fondo decía por qué no podemos asumir que se están cerrando a la misma velocidad o incluso ampliando, porque hay shocks de oferta muy favorables. Al respecto, señala que el escenario central no contempla esto. Para ser bien claro, dicho escenario contempla un cierre de brecha a un ritmo algo mayor, lo que en su opinión piensa que es la manera más directa, más defendible dentro de todas las posibilidades.",0.526
3,RPM-2005-01-11:T40,2005-01-11,2005,Klaus Schmidt-Hebbel Dunker,Gerente de Investigación Económica,STAFF,D4|2005|STAFF,4,SI,194,1,42,42,0.0,NEUTRAL,0,0,0.0,,af2005fcbc7d092b6454a6dc9b3f4e7f9ef66c4e89d47b7662225238bd87e9a4,0.75,HAWKISH,se inclina por recomendar un alza de 25 puntos base en esta ocasión,800,"El Gerente de Investigación Económica, señor Klaus Schmidt-Hebbel, manifiesta que considerando el intenso impulso monetario actual, reflejado en una tasa de interés real de corto plazo ex ante cercana a 0%; el elevado crecimiento de la actividad y del empleo; la proyección de cierre completo de la brecha del producto en aproximadamente dos años, de acuerdo al escenario central; los rezagos con que actúa la política monetaria y el horizonte de la política de 12 a 24 meses, coherente con dichos rezagos; la proyección de la normalización de las TPM hasta llegar a aproximadamente un 7% en dos años en el escenario central, lo que requiere de aumentos de 24 puntos base promedio en los siguientes 12 meses, y, last but certainly not least, la mantención de la TPM en la reunión anterior, se desprenden sólo dos alternativas de política recomendables para esta reunión, consistentes con las proyecciones del IPoM que se publicará en breves días: elevar la tasa de política monetaria en 25 puntos base o en 50 puntos base. A la luz de las expectativas de mercado, señala que se inclina por recomendar un alza de 25 puntos base en esta ocasión.",0.7
4,RPM-2005-01-11:T41,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,D4|2005|HACIENDA,4,SI,306,1,43,43,0.0,NEUTRAL,0,0,0.0,,0fec3ee368b759371906d4e747e69e92c5d23370c4bbf4ce06dcf122f50e9dcf,0.25,NEUTRAL,todo lleva a concluir del análisis que la media está en 25 y puede ser o 50 o O lo que es claramente superior a la dosis que se ha conversado,800,"El señor Ministro de Hacienda expresa que al escuchar la intervención del señor Klaus Schmidt-Hebbel respecto de las opciones y en relación a las de los meses pasados, se va a leer la misma dosis o más rápida. No cree tener en la memoria que se haya recomendado que la opción haya sido bajar O, 25, 50 puntos base. En el fondo, señala que todo lleva a concluir del análisis que la media está en 25 y puede ser o 50 o O lo que es claramente superior a la dosis que se ha conversado en la reunión pasada. Es más, agrega que en dos años se cierra la brecha. El señor Ministro señala que tiene dudas que lo anterior sea así, y que ojalá lo fuera por los desempleados de este país, pero que no lo tiene claro. Indica que, en síntesis la propuesta de Estudios en el sentido que el mercado va a leer o la misma dosis o más, y que no visualiza en base a qué antecedentes entre la reunión pasada y ésta, pudiera hacer leer al mercado esa recomendación. Agrega, que sí ha visto que las perspectivas de inversión y, por tanto, de recuperación en el mediano plazo de la capacidad potencial han mejorado, y en consecuencia, más allá de cuál sea la decisión en esta reunión, pide al Consejo extrema cautela en lo que se comunique en la Minuta de esta Sesión, particularmente, porque dada la experiencia de la última vez, toda la reunión es comunicada en la Minuta e interpretada profusamente en la prensa. Un ejemplo de esto es un artículo del Economista señor Juan Andrés Fontaine, quien el mes pasado, fue bastante elocuente respecto de su visión de cómo estas comunicaciones en el pasado han afectado la estructura de las tasas, del tipo de cambio y otras materias.",0.484
5,RPM-2005-01-11:T51,2005-01-11,2005,Jorge Desormeaux Jiménez,Consejero,CONSEJO,D9|2005|CONSEJO,9,SI,394,1,53,53,0.4,NEUTRAL,5.0,1.0,0.76,H:subir la tasa; H:costos laborales; D:holgura,b2e65e91dde8237d9ae445884f76b551c0829c016ab1c60d9a4e3cd92b029291,0.75,HAWKISH,su voto es por subir la tasa de política monetaria en el monto señalado,800,"El Consejero señor Jorge Desormeaux, indica que comparte el diagnóstico de la Gerencia de División Estudios y este diagnóstico reconoce dos tendencias que efectivamente no son nuevas, pero que se han ido reforzando en los últimos meses. La primera es que se tiene una actividad más dinámica de la que se esperaba algunos meses atrás, especialmente a partir del tercer trimestre y que todo hace prever que se va a extender hacia buena parte del presente año y esto se traduce en un cierre más rápido de las brechas y de las holguras de lo previsto. La segunda tendencia es que la inflación en el corto plazo se ha mantenido acotada con IPC negativo en diciembre y tal vez en los primeros meses del año en curso. En ello ha influido la favorable evolución de los costos laborales como se ha destacado y la apreciación del tipo de cambio multilateral. Sin embargo, como nos advierte la Gerencia de División Estudios, el cierre más rápido de la brecha del PIB significará una aceleración posterior de la inflación y dado los rezagos con que actúa la política monetaria corresponde continuar con la política de normalización pausada de la misma. Se pregunta el señor Consejero si es compatible esa estrategia con mantener la tasa de política monetaria inalterada en esta reunión. Su opinión, al igual que lo señalado por la División de Estudios, es que no, porque mantener la tasa de política monetaria inalterada en la reunión de hoy tiene dos riesgos, el primero es que se confunda la estrategia del Consejo del Banco Central, en el sentido que se entienda que éste reacciona frente a schoks de oferta y que va a esperar a tener un alza en la inflación efectiva antes de elevar su tasa de política monetaria; el otro riesgo importante es que se tenga posteriormente que acelerar la estrategia de ajuste pausado, alterar esa estrategia más bien dicho, y se deba optar por un ajuste brusco de la tasa de política monetaria o incluso renunciar a la meta inflacionaria. Ambos riesgos son amenazas importantes para la efectividad de la política monetaria. Por lo anterior, señala que es partidario de realizar un ajuste moderado en la tasa de política monetaria en esta reunión de 25 puntos base, y por consiguiente su voto es por subir la tasa de política monetaria en el monto señalado.",0.351
6,RPM-2005-02-10:T24,2005-02-10,2005,Manuel Marfán Lewis,Consejero,CONSEJO,D4|2005|CONSEJO,4,SI,150,1,92,92,0.0,NEUTRAL,0,0,0.0,,5f0107e1418b96bd089f20eb118ccc8928317ff2caadb1cf58eb593c7484110a,0.0,NEUTRAL,sería conveniente dejarlos para hacer un análisis de la coyuntura más consistente,800,"Con respecto al mismo tema, el Consejero señor Manuel Marfán hace presente que hay otra interpretación que, cree que para estos efectos, incluso hasta corregiría la discusión, que es la definición de fuerza de trabajo, porque ha habido una caída muy importante de la tasa de participación en el tramo de 15 a 19 años, y cree que es atribuible a la mayor escolaridad, puesto que es una edad en que no deberían importar tasas de desempleo altas. Señala que la caída de la tasa de participación de los hombres tiene relación con un problema etario. Lo mismo ocurre, con menos fuerza, con la tasa de participación de los mayores de 65 años, que también ha venido cayendo, lo que se asocia a un mejoramiento de pensiones. Cree que estos fenómenos son más estructurales y, por lo tanto, sería conveniente dejarlos para hacer un análisis de la coyuntura más consistente.",0.927
7,RPM-2005-02-10:T61,2005-02-10,2005,José De Gregorio Rebeco,Vicepresidente del Banco Central,CONSEJO,D10|2005|CONSEJO,10,SI,570,2,136,137,0.7073,HAWKISH,15.5,1.0,0.7,H:subir la tasa; H:alza de la tasa; H:costos laborales; D:holgura,7a29c26d4061b9e78a4e688caab18a4270e0dfbf0e2297268e60c75c7d7f66e6,0.75,HAWKISH,su voto es por subir la tasa de política monetaria en 25 puntos base,800,"El Vicepresidente señor De Gregorio, hace presente que, una vez más se encuentran enfrentados a la decisión de si deben subir la tasa de política monetaria, para continuar con la estrategia de normalización del impulso monetario o esperar un mes más. Para lo anterior, le parece que resulta útil revisar la coyuntura y los antecedentes que ha proporcionado la Gerencia de División de Estudios y analizar cómo ésta se podría estar desviando del escenario base. Agrega, que la inflación del mes de enero, aunque negativa, está en línea con lo proyectado y, con una tendencia subyacente, convergiendo gradualmente hacia el centro del rango meta, las noticias de reactividad han sido positivas y aumentan la probabilidad que el escenario de mayor dinamismo contemplado en el último Informe de Política Monetaria se materialice. Esto, en su opinión debería conducir a un aumento de la inflación aunque no en los meses siguientes, pero si dentro del horizonte de política. Estos desarrollos, estima, harían prudente subir la tasa de política monetaria en 25 puntos base. Señala también, que es cierto que la evolución de los costos laborales y márgenes aún revelan holguras inflacionarias y que de persistir, probablemente, habría que tomar la velocidad de normalización de la tasa de política monetaria. Sin embargo, ese cree no es el mayor riesgo en esta oportunidad, en particular si se considera que la política monetaria es aún muy expansiva. El mayor riesgo, como se ha señalado en reuniones anteriores, es atrasarse en el ajuste, lo que requeriría de alzas más pronunciadas y más seguidas. Agrega, que es cierto que este mes y en los venideros se enfrenta un problema timing de la reducción del estímulo monetario. En primer lugar, estima, es importante señalar que la estrategia no es mecánica ni consiste en subir la tasa de política monetaria mes por medio. En segundo lugar, en el escenario base la normalización es algo menos pausada que la estimada por el mercado en su curva fonA/ard, por lo anterior, existen razones de carácter táctico que sugerirían subir la tasa en esta oportunidad. No obstante, un alza de la tasa de política monetaria podría inducir la percepción que estamos reaccionando a noticias de aceleración inflacionaria que el mercado no tiene, en especial cuando el mercado mayoritariamente no espera movimientos, lo que podría, a su vez, servir de base para proponer la mantención de la tasa de política monetaria. Como ya se mencionó, esto podría interpretarse como un cambio de la estrategia de normalización gradual, en particular en un mes en que el último registro puntual de IPC es negativo. En todo caso, en su opinión, estas consideraciones no le parecen un riesgo mayor, ya que, en primer lugar, no se subió la tasa en diciembre y sí en enero, lo que debe ser una señal suficientemente clara que nuestro objetivo inflacionario es respecto de un horizonte de entre 12 y 24 meses y por otra parte, cree que corresponde ser claro en nuestra comunicación con el mercado, en el sentido que no existe ninguna noticia inflacionaria particular a la que estamos reaccionando sino que es parte de una estrategia bien fundamentada en nuestro último Informe de Política Monetaria. Por lo tanto cree que el riesgo de una mala interpretación es menor y, en consecuencia, en su opinión, al igual que los señores Consejeros que lo precedieron, su voto es por subir la tasa de política monetaria en 25 puntos base.",0.233
8,RPM-2005-03-10:T38,2005-03-10,2005,Rodrigo Valdés Pulido,Gerente de División Estudios,STAFF,D9|2005|STAFF,9,SI,359,1,191,191,0.3333,NEUTRAL,2.0,0,0.28,H:costos laborales,29c9ec542b8e6a387e04777164166ed9b0412be5fb5a635ffe00de64baed59e5,0.0,NEUTRAL,no puede ser que en el largo plazo la tasa de interés esté por debajo del crecimiento de la economía,800,"El señor Valdés señala que tendría que ser un shock muy especial para que suceda. En todo caso, no puede ser que en el largo plazo la tasa de interés esté por debajo del crecimiento de la economía. Lo anterior es como una condición básica de equilibrio para que una economía sea dinámicamente eficiente. En cuanto al tema del IPCX1, en que hubo cierta discusión en la mañana, en el sentido que podría ser el petróleo el que empuja el IPCX1, señala el señor Gerente de División Estudios que es así, ya que las incidencias de los distintos componentes del IPCX1, dado los grados de exactitud en las estimaciones que se pueden hacer, son muy amplios. Por lo tanto se puede decir que es la pura credibilidad, que se acabó la ampliación de brechas, es la misma brecha que se tenía hace seis meses y la pura credibilidad del Banco empuja de vuelta. Señala que volvería a los temas que importan más, en donde los salarios son claves para esta dinámica, junto con la productividad. Eso aporta el grueso de la estructura de costo y, por lo tanto, es una variable a monitorear también muy de cerca. Agrega que lo que se apreció en la mañana es que los costos laborales unitarios, con las imperfecciones con que se miden, seguían bastante bajos. Finalmente hace presente, que respecto de la discusión de trayectoria, entiende que es muy complicado hacer comentarios previos en que se concuerde, pero cree que lo que hay que poner sobre la mesa es el tema que una decisión aislada, de 25 puntos base, es muy irrelevante, y además, una de timing de 25 puntos base es 101% irrelevante. Piensa que da lo mismo si uno la sube ahora o el próximo mes, considerando el resultado que va a tener de aquí a dos años más. Por lo tanto, señala que no se puede hacer otra discusión que tenga sentido, en cuanto a que la política monetaria tenga efectos sobre las variables que hay que afectar sin tener alguna idea de hacia dónde van a estar las tasas, que son movimientos más amplios que 25 puntos base.",0.404
9,RPM-2005-03-10:T7,2005-03-10,2005,Esteban Jadresic Marinovic,Gerente de División Internacional,STAFF,D4|2005|STAFF,4,SI,178,1,157,157,0.0,NEUTRAL,0,0,0.0,,87d770b063c2e9d9b71d1d309d51354f5884078c1af11cb60dc3f301d0543a02,0.0,NEUTRAL,aproximadamente el 80% de las fluctuaciones en los últimos años del spread soberano chileno se debería a factores idiosincráticos,800,"El Gerente de División Internacional, señor Esteban Jadresic, señala que uno de los temas de fondo es cuánto del movimiento del spread chileno es idiosincrático y cuánto viene de la situación internacional. Agrega, que existe alguna investigación en el Banco, mirando exactamente ese tema, en el sentido que, aproximadamente el 80% de las fluctuaciones en los últimos años del spread soberano chileno se debería a factores idiosincráticos y no un factor común global. Sin embargo, también hay otro estudio que muestra que casi todo se explica por factores globales, entonces este es uno de los temas que estamos mirando. El otro punto que quiere hacer notar, es que estos datos no parecen mostrar un efecto relevante a la situación de canje de deuda en Argentina, en el sentido que hay algunos observadores que han señalado que un fuerte recorte, 30% de la reestructuración de deuda, podría llevar a un cambio de las percepciones de los inversionistas, que afectaría los precios de los activos y los spreads, y la verdad es que no lo hemos visto como récord histórico.",0.749
10,RPM-2005-04-07:T18,2005-04-07,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,STAFF,D9|2005|STAFF,9,SI,2015,1,221,221,0.2941,NEUTRAL,9.0,4.0,0.2,H:aumento de la tasa; H:incremento de la tasa; H:presiones inflacionarias; D:menor crecimiento,157bfb0a4959d2421cb5c93db56ea6cfc91a359c8194766589dcef6cc27346e9,0.0,NEUTRAL,las tasas de interés de los documentos nominales de mediano plazo del Banco Central de Chile aumentaron significativamente,800,"El Gerente de Análisis Macroeconómico continúa su exposición en lo que se refiere a los mercados financieros señalando que las tasas de interés de los documentos nominales de mediano plazo del Banco Central de Chile aumentaron significativamente desde la reunión de marzo. Algo más tenue fue el incremento de las tasas de los bonos reajustables (Bonos Reajustables del Banco Central). Las tasas de interés de los bonos en pesos aumentaron hasta 30 puntos base: 4,5%, 5,3% y 6,0% a dos, cinco y diez años, respectivamente. A su vez, las tasas de interés de los bonos reajustables del Banco Central (BCU) aumentaron levemente: 2,2% a cinco años, y 2,7% a diez. Sólo las tasas de interés de los PDBC cayeron, ubicándose muy de cerca de la tasa de política monetaria. Esto puede ser explicado por la normalización de los requerimientos de Reserva Técnica. Desde la reunión de marzo, la compensación inflacionaria implícita en los documentos nominales muestra un leve aumento, con lo que se ubica en torno a 3% (± 25 puntos base, dependiendo del plazo). Las expectativas obtenidas de las encuestas a las mesas de dinero anticipan inflaciones de 2,65% y 2,8% a uno y dos años plazo, respectivamente (+20 y +15 puntos base respecto de la anterior reunión). A diferencia de lo que ocurría los meses previos, la pendiente de la actual curva forward aumentó comparada con la de la reunión de marzo, dando cuenta que los agentes esperan una normalización más rápida de la política monetaria. Así, la estructura de tasas de interés es coherente con un incremento de la tasa rectora de 55 puntos base a junio, con un total de 125 puntos base en los próximos seis meses y de otros 85 puntos base en los seis meses siguientes. Comparada con las expectativas vigentes para la reunión anterior, la trayectoria de la curva actual entrega un aumento mayor a diciembre de este año (4,2% en marzo, frente al 4,3% actual) y aún superior a diciembre de 2006 (5,3% en marzo, frente al 5,6% actual). Agregados monetarios. En marzo, los agregados monetarios tuvieron tasas de crecimiento anual menores a las de los meses previos: 15% el MIA, 21% el M2A y 9% el M7. Con esta variación la desviación de los residuos de la proyección habitual de dinero (de corto y largo plazo) se corrigen de manera importante este mes. Al revisar los componentes de los agregados, se aprecia que se mantiene la estabilidad en el crecimiento anual de los depósitos a plazo (23%) y las variaciones anuales negativas de las letras de crédito hipotecario (-11%) y documentos del Banco Central de Chile (-7%). Sin embargo, los documentos del Banco Central de Chile aumentan casi 7% mensual durante marzo. Las Administradoras de Fondos de Pensiones, en particular, se han comportado distinto del promedio, liquidando documentos del Banco Central de Chile e incrementado sus inversiones de activos en el exterior. En términos de velocidades la del MIA cae hasta -2%, mientras las del M2A y M7 se mantienen en 16% y 5%, respectivamente. Condiciones de crédito y financiamiento. La deuda bancaria registró en marzo un crecimiento anual de 15%, variación similar a la del mes anterior. Los créditos a personas presentan tasas de crecimiento anual del orden de 22%, con lo que su velocidad cae respecto de lo observado en febrero (desde 23% a 15 La tasa de interés promedio ponderada de los créditos de consumo cayó 280 puntos base en marzo, situándose en 24%. Sin embargo, corregida por estacionalidad, muestra un aumento respecto de febrero. Las tasas de interés de las letras de crédito hipotecario en UF se ubican en niveles similares comparadas con los meses anteriores: con duración de 5 a 6 años, clasificación AA y tasa facial entre 4% y 5%, promediaron 3,7% en marzo, mientras las con tasa facial entre 5% y 6% promediaron 4,4%. La tasa de crecimiento anual de la deuda bancaria de las empresas fue menor a la del mes anterior: 12% en marzo, lo que significa una caída de la velocidad. Este resultado se debe a la menor expansión de las colocaciones comerciales y de comercio exterior: 10% y 14%, respectivamente. La tasa de interés promedio ponderada de los créditos comerciales fue de 9% en marzo, cifra que refleja el aumento de la tasa de política monetaria de los últimos meses. V La colocación de bonos sigue estancada, como es habitual durante los primeros meses del año. Sin embargo, entre los anuncios para el resto del año, destaca una colocación destinada a obras de infraestructura, por UF 16 millones. Bolsa Desde la última reunión, el IPSA ha continuado registrando incrementos, alcanzando niveles por sobre 1.950. Con ello, acumula un aumento desde la reunión de marzo de 1,2% medido en pesos y 1,1% en dólares. Las cotizaciones en la bolsa estuvieron influenciadas por noticias en el ámbito interno, relacionadas a la OPA de Cencosud y al término del período de entrega de los resultados del cuarto trimestre de 2004. El índice bursátil MSCI —agrupa las principales bolsas del mundo— registró una disminución de 3,6%, desde la última reunión a la fecha. En tanto, los índices bursátiles de los Estados Unidos de América estuvieron afectados negativamente por la incertidumbre que generaron las presiones inflacionarias y por el alza que decretó la Reserva Federal sobre la tasa. Con ello el Nasdaq disminuyó 3,6%, mientras que el Dow Jones lo hizo en 4,0%. Los volúmenes transados durante marzo aumentaron fuertemente, promediando $ 50.700 millones diarios, 77% más que en igual período del año pasado. Tipo de cambio Desde la última reunión, la paridad peso/dólar se ha caracterizado por una mayor estabilidad respecto de los meses previos, cotizándose entre $ 585 y $ 590 por dólar. Esta trayectoria equivale a una variación del tipo de cambio nominal de 0,1%, a la fecha. Simultáneamente, la mayoría de monedas relevantes para el comercio internacional chileno se depreciaron frente al dólar estadounidense, con lo que la paridad peso/dólar se apreció frente a canastas de monedas: 1,1% y 1,6% para TCM y TCM-5. Si se excluyen las economías dolarizadas, la variación es 1,6%. El diferencial de tasas de interés interna y externa nominal se mantuvo prácticamente constante. El TCR de marzo se situó en 101,5%, lo que significa una variación de 2,0% respecto de febrero, cifra similar ligeramente inferior a la variación del tipo de cambio multilateral. Por su parte el TCR-5 aumentó 2,4%. El valor del tipo de cambio real estimado para abril, se ubica en 100,5%. III. Demanda y Cuentas Externas Los datos acumulados del primer trimestre indican que la demanda interna reduciría su velocidad de expansión respecto de los trimestres previos, aunque en términos de su tasa de crecimiento anual ésta sería mayor que la de los períodos anteriores. Consumo y existencias En marzo, las expectativas de los consumidores descendieron respecto del mes anterior, ubicándose levemente por debajo de lo considerado neutral (49,4% según el IPEC de Adimark). Todas las categorías del índice tuvieron descensos respecto de febrero, y no se descarta que el incremento en el precio de los combustibles esté teniendo efectos en estos resultados. Consumo habitual En los primeros meses de este año, los indicadores parciales de consumo habitual continúan aumentando en términos de su velocidad de expansión, aunque su tasa de crecimiento anual es menor. Consumo durable En enero y febrero, el comportamiento de los indicadores parciales de bienes de consumo durables fue disímil. Descontando los efectos estacionales, las ventas de automóviles continuaron aumentando respecto de los meses previos, mientras las ventas de bienes de consumo durable (Cámara Nacional de Comercio) se redujeron levemente. De esta forma, la categoría automóviles mantiene velocidades de expansión elevadas, mientras las ventas de consumo durable (Cámara Nacional de Comercio) redujeron fuertemente su velocidad. Se continúa observando una importante acumulación de existencias. La relación de existencias acumuladas en el 2004 alcanzó a 1,1% del PIB nominal, con lo que las existencias no cobre, respecto del PIB; son similares al último período de expansión fuerte de la demanda agregada, en 1997. Lo anterior concuerda con el IMCE que a marzo muestra que todos los sectores continúan mostrando niveles de existencias mayores que los deseados. Formación bruta de capital fijo En marzo, las expectativas empresariales de producción medidas por el IMCE disminuyeron respecto del mes anterior (-3,1 puntos), aunque siguen mostrando percepciones optimistas (más de 50). Salvo construcción, que se mantiene inalterado, todos los sectores presentan una reducción en sus expectativas. Destaca el menor optimismo en minería (-13,7 puntos) — aunque todavía muy por sobre los 50 puntos— por peores perspectivas de precios y producción. Las proyecciones para la Formación Bruta de Capital Fijo del primer trimestre de 2005 se mantuvieron respecto del mes anterior. Lo mismo sucedió con el crecimiento del componente de maquinarias y equipos (41% de la Formación Bruta de Capital Fijo), lo cual es coherente con el comportamiento de las internaciones de bienes de capital (95% de M&E) que incluso registran una menor velocidad de expansión en marzo. Por otro lado, se sigue esperando que el crecimiento del componente construcción y obras de ingeniería (51% de la Formación Bruta de Capital Fijo) aumente respecto de trimestres anteriores. -I La rentabilidad de los negocios recogida de las Fecu del cuarto trimestre de 2004 muestra nuevamente un aumento (de 13,9% a 14,6%). Esto, fue explicado, principalmente, por las empresas relacionadas con los recursos naturales, particularmente las mineras —con una rentabilidad anualizada que superó el 40%— y cuyo aumento más que compensó la menor rentabilidad del sector forestal. Este último destacó por ser el único cuya rentabilidad anualizada disminuyó (14%, comparada con 18,9% el trimestre anterior). Asimismo, el comportamiento de este sector es el que explica la menor rentabilidad del sector exportador, a pesar del importante aumento del sector industrial. Al mismo tiempo, se observa una reducción en la carga financiera de las empresas respecto del mismo trimestre del año anterior. Política fiscal En febrero el balance presupuestario acumulado en doce meses del Gobierno Central llegó a 3,2% del PIB. Este resultado se dio en un contexto de mayor crecimiento tanto de los ingresos presupuestarios (22,6% anual) como de los gastos presupuestarios (5,1% anual) respecto del mes anterior. Entre los ingresos destacan; tributarios (13,9% anual) y cobre bruto (485,6% anual), los cuales aportan 23,5 puntos porcentuales del crecimiento. Entre los gastos sobresalen: personal (6,7% anual) y subsidios y donaciones (6,3% anual), los cuales explican 3,1 puntos porcentuales del crecimiento. La inversión pública, en tanto, aumentó su crecimiento en relación con enero (7,4% anual). Respecto del avance sobre lo presupuestado, a febrero los ingresos y gastos alcanzaron a 18% y 13,6%, respectivamente, ambos en línea con el promedio histórico. Sector Externo Exportaciones En marzo, las exportaciones alcanzaron a US $3.511 millones (16,3% anual). Aunque con algunas correcciones sectoriales al alza, para el primer trimestre de 2005 se continúa esperando un menor crecimiento de los quantum y precios que en el trimestre anterior. Importaciones En marzo, las importaciones alcanzaron a US$ 2.569 (26,7% anual). Continúan destacando los altos valores alcanzados por las importaciones de bienes de capital y de consumo. Para el primer trimestre se sigue esperando un menor crecimiento de los volúmenes. En febrero, la cuenta de capital y financiera registró ingresos netos de US$ 246 millones, equivalentes a US$ 77 millones si se excluyen los activos de reserva. Este resultado fue producto de flujos positivos de inversión directa (US$ 468 millones) y activos de reserva (US$ 169 millones), parcialmente contrarrestados por egresos netos de otra inversión (US$ 228 millones), inversión de cartera (US$ 141 millones) e instrumentos financieros derivados (US$ 22 millones). Destaca el nivel negativo de la otra inversión —inferior al del mes precedente— que se obtuvo por aumentos de activos, principalmente moneda y depósito, contrarrestados parcialmente por incrementos de pasivos —explicado por los préstamos—. En los flujos sectoriales, destacan los egresos netos de agentes institucionales y bancos (US$ 188 y US$ 177 millones, respectivamente) por inversión de cartera y otro capital, y los flujos positivos de empresas y personas (US$ 477 millones) por inversión directa y de cartera, parcialmente compensados por egresos en créditos comerciales, que son parte de otra inversión.",0.063
