fecha_efectiva,tasa_pct,fuente
2004-01-09,1.75,datosmacro.expansion.com/tipo-interes/chile
2004-09-08,2.00,datosmacro.expansion.com/tipo-interes/chile
2004-11-12,2.25,datosmacro.expansion.com/tipo-interes/chile
2005-01-12,2.50,datosmacro.expansion.com/tipo-interes/chile
2005-02-11,2.75,datosmacro.expansion.com/tipo-interes/chile
2005-04-08,3.00,datosmacro.expansion.com/tipo-interes/chile
2005-05-13,3.25,datosmacro.expansion.com/tipo-interes/chile
2005-07-13,3.50,datosmacro.expansion.com/tipo-interes/chile
2005-08-12,3.75,datosmacro.expansion.com/tipo-interes/chile
2005-09-09,4.00,datosmacro.expansion.com/tipo-interes/chile
2005-10-12,4.25,datosmacro.expansion.com/tipo-interes/chile
2005-11-11,4.50,datosmacro.expansion.com/tipo-interes/chile
2006-02-10,4.75,datosmacro.expansion.com/tipo-interes/chile
2006-04-17,5.00,datosmacro.expansion.com/tipo-interes/chile
2006-07-14,5.25,datosmacro.expansion.com/tipo-interes/chile
2007-01-12,5.00,datosmacro.expansion.com/tipo-interes/chile
2007-07-13,5.25,datosmacro.expansion.com/tipo-interes/chile
2007-08-10,5.50,datosmacro.expansion.com/tipo-interes/chile
2007-09-14,5.75,datosmacro.expansion.com/tipo-interes/chile
2007-12-14,6.00,datosmacro.expansion.com/tipo-interes/chile
2008-01-11,6.25,datosmacro.expansion.com/tipo-interes/chile
2008-06-11,6.75,datosmacro.expansion.com/tipo-interes/chile
2008-07-11,7.25,datosmacro.expansion.com/tipo-interes/chile
2008-08-18,7.75,datosmacro.expansion.com/tipo-interes/chile
2008-09-05,8.25,datosmacro.expansion.com/tipo-interes/chile
2009-01-09,7.25,datosmacro.expansion.com/tipo-interes/chile
2009-02-13,4.75,datosmacro.expansion.com/tipo-interes/chile
2009-03-13,2.25,datosmacro.expansion.com/tipo-interes/chile
2009-04-13,1.75,datosmacro.expansion.com/tipo-interes/chile
2009-05-08,1.25,datosmacro.expansion.com/tipo-interes/chile
2009-06-17,0.75,datosmacro.expansion.com/tipo-interes/chile
2009-07-10,0.50,datosmacro.expansion.com/tipo-interes/chile
2010-06-16,1.00,datosmacro.expansion.com/tipo-interes/chile
2010-07-19,1.50,datosmacro.expansion.com/tipo-interes/chile
2010-08-13,2.00,datosmacro.expansion.com/tipo-interes/chile
2010-09-21,2.50,datosmacro.expansion.com/tipo-interes/chile
2010-10-15,2.75,datosmacro.expansion.com/tipo-interes/chile
2010-11-17,3.00,datosmacro.expansion.com/tipo-interes/chile
2010-12-17,3.25,datosmacro.expansion.com/tipo-interes/chile
2011-02-18,3.50,datosmacro.expansion.com/tipo-interes/chile
2011-03-18,4.00,datosmacro.expansion.com/tipo-interes/chile
2011-04-13,4.50,datosmacro.expansion.com/tipo-interes/chile
2011-05-13,5.00,datosmacro.expansion.com/tipo-interes/chile
2011-06-15,5.25,datosmacro.expansion.com/tipo-interes/chile
2012-01-13,5.00,datosmacro.expansion.com/tipo-interes/chile
2013-10-18,4.75,datosmacro.expansion.com/tipo-interes/chile
2013-11-20,4.50,datosmacro.expansion.com/tipo-interes/chile
2014-02-19,4.25,datosmacro.expansion.com/tipo-interes/chile
2014-03-14,4.00,datosmacro.expansion.com/tipo-interes/chile
2014-07-17,3.75,datosmacro.expansion.com/tipo-interes/chile
2014-08-18,3.50,datosmacro.expansion.com/tipo-interes/chile
2014-09-12,3.25,datosmacro.expansion.com/tipo-interes/chile
2014-10-17,3.00,datosmacro.expansion.com/tipo-interes/chile
2015-10-16,3.25,datosmacro.expansion.com/tipo-interes/chile
2015-12-18,3.50,datosmacro.expansion.com/tipo-interes/chile
