Revision_ID,ID_Padre,ID_Documento,ID_Intervencion,ID_Turno,Fecha,Autor,Lector,Rol_Autor,Rol_Lector,Fuente_Rol,Asistencia_Autor,Inicio,Fin,SHA256_Texto_Padre
DOC-20260907-5212,5212,7255,RPM-2012-11-13:5212:3,RPM-2012-11-13:T57,2012-11-13,Felipe Larraín Bascuñán,Rodrigo Vergara Montes,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,470,6509,02c25d8e8a9ba21f879e2e90631a0891add07dd050b6817fd692baf7307a5b36
DOC-20260907-5742,5742,7875,RPM-2013-08-13:5742:3,RPM-2013-08-13:T51,2013-08-13,Felipe Larraín Bascuñán,Rodrigo Vergara Montes,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,866,5774,1e5c93a1f5085b5362cf4a20556e8f5888e5f33596984e2ccb1dd21ef0f80f8e
DOC-20260907-5802,5802,7946,RPM-2013-09-12:5802:3,RPM-2013-09-12:T53,2013-09-12,Felipe Larraín Bascuñán,Rodrigo Vergara Montes,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,928,6022,3cd9b09efad5a979c8de088ac80964335d66fe6cd83cb92874b49082feac2e2e
DOC-20260908-L25-4453,4453,6343,RPM-2011-11-15:4453:3,RPM-2011-11-15:T76,2011-11-15,Felipe Larraín Bascuñán,José De Gregorio Rebeco,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,677,5390,75591ebe22640bbc5f9ac9586c09911d937d3ad0b85bb0ed659c6fc50638b00b
DOC-20260908-L25-4507,4507,6416,RPM-2011-12-13:4507:3,RPM-2011-12-13:T61,2011-12-13,Felipe Larraín Bascuñán,Rodrigo Vergara Montes,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,361,6368,c071228e39ca48d286c0cd779f211a62ca4e071273422b3a8b01a0cd0f335c0d
DOC-20260908-L25-4722,4722,6671,RPM-2012-03-15:4722:3,RPM-2012-03-15:T85,2012-03-15,Felipe Larraín Bascuñán,Rodrigo Vergara Montes,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,360,7188,2467cb03bbbaf29156b274c73724fc7483f2d080da98207349aa445b3b57f178
DOC-20260908-L26-3071,3071,4581,RPM-2010-04-15:3071:3,RPM-2010-04-15:T75,2010-04-15,Felipe Larraín Bascuñán,José De Gregorio Rebeco,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,290,3193,b568e2b93660472ff2c5356701f764426fff11720b5fa3480d1c9c4adb7e68ea
DOC-20260908-L26-3575,3575,5282,RPM-2010-11-16:3575:3,RPM-2010-11-16:T94,2010-11-16,Felipe Larraín Bascuñán,José De Gregorio Rebeco,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,303,4515,aecdcd1b0e277b790d9ad96bfb245997eed3c78ae18df2bd260aae5bd0a24be9
DOC-20260908-L26-4109,4109,5912,RPM-2011-06-14:4109:3,RPM-2011-06-14:T70,2011-06-14,Felipe Larraín Bascuñán,José De Gregorio Rebeco,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,307,6095,bd9b16a982ee5f9350eb1040cac78f03a8f444b80fbb477409f6fb5ca210ba4b
DOC-20260908-L26-5257,5257,7311,RPM-2012-12-13:5257:3,RPM-2012-12-13:T40,2012-12-13,Felipe Larraín Bascuñán,Rodrigo Vergara Montes,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,347,6552,555fd680304efba8fe10596fe6458ec4a4e38845d54972fa42bfe251f53df712
DOC-20260908-L26-5892,5892,8050,RPM-2013-11-19:5892:3,RPM-2013-11-19:T39,2013-11-19,Felipe Larraín Bascuñán,Rodrigo Vergara Montes,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,512,4118,b82c31d2749fde953286cfb51fe4b4421c5ec324d8235dfc65303a4ca8080ac8
DOC-20260908-L26-5999,5999,8169,RPM-2014-01-16:5999:3,RPM-2014-01-16:T39,2014-01-16,Felipe Larraín Bascuñán,Rodrigo Vergara Montes,Ministro de Hacienda,Presidente del Banco Central,CARGO_DOCUMENTAL_REVISADO,NO_INFERIDA_DEL_DOCUMENTO,526,3967,0ce3b33b2f42810e950a5bc1fba498e68260b7d78b042bd148e7ab31d079a33c
