"ID_Anterior","ID_Nuevo","ID_Padre","Parte","Inicio_En_Fila_Anterior","Fin_En_Fila_Anterior","SHA256_Texto"
"RPM-2005-01-11:1:1","RPM-2005-01-11:1:1","1","INTEGRA","0","1260","036747ac368874b0b84efea5eae5d06a1be97686751c3de61e8c5262fbc0fbce"
"RPM-2005-01-11:2:1","RPM-2005-01-11:2:1","2","INTEGRA","0","119","87b7d01f8f403f0816b217793e725f622c4065281027c01f52ebe9a3186a0211"
"RPM-2005-01-11:3:1","RPM-2005-01-11:3:1","3","INTEGRA","0","8224","af75c2aa6ea82c56ffe281da6f99a4b1a28c2dcb75e8a571e423093afde2f66a"
"RPM-2005-01-11:4:1","RPM-2005-01-11:4:1","4","INTEGRA","0","4184","524d7b442aadd5821a19d457ea4167375348461bbc504f7a1e36dbc6382babf3"
"RPM-2005-01-11:5:1","RPM-2005-01-11:5:1","5","INTEGRA","0","4423","3b8b14ab20f39562311eecb73a4ff73db6218e8bf97b9b475dd5bcde570e9737"
"RPM-2005-01-11:6:1","RPM-2005-01-11:6:1","6","INTEGRA","0","159","6ee5f7ff7d20d8b1098a911740c7081dbf36a1b49eca58ea731d50b6560de211"
"RPM-2005-01-11:7:1","RPM-2005-01-11:7:1","7","INTEGRA","0","236","67e5ec2995363e9b905a9217eadc22e46c2ca8b5c33ff192b07373e2f587f5e9"
"RPM-2005-01-11:8:1","RPM-2005-01-11:8:1","8","INTEGRA","0","463","0b97f701a207c7c9d3743e4d7df8e85035a11940b2b31b94041cb526263bf018"
"RPM-2005-01-11:9:1","RPM-2005-01-11:9:1","9","INTEGRA","0","243","a1f896c1497c0e951391459bd682261a0da4b7ea66fe3b63a7820d2f51c2b385"
"RPM-2005-01-11:10:1","RPM-2005-01-11:10:1","10","INTEGRA","0","135","115ede2ab764ac70dc3ac6399936af0196780b734b3de07bc3b510df2f3768ee"
"RPM-2005-01-11:11:1","RPM-2005-01-11:11:1","11","INTEGRA","0","245","7c5b21297983edd5e3480f461d458fc067e85895d4e7e3674b0e928426bab5d7"
"RPM-2005-01-11:12:1","RPM-2005-01-11:12:1","12","INTEGRA","0","185","81e9ef67ef2beee7ce407bceee0c9a237ed43a0e0fb09b600de9fe7a7da6e18c"
"RPM-2005-01-11:13:1","RPM-2005-01-11:13:1","13","INTEGRA","0","622","74b15639627a4c2db94b2b3c2b3599f329f1fc0a16e1bf9f99f84a4cf5e02efd"
"RPM-2005-01-11:14:1","RPM-2005-01-11:14:1","14","INTEGRA","0","822","6792502ab9eed5ccfe5c098a7c1da6ede20c10af3703e1d2f664ab48e3519085"
"RPM-2005-01-11:15:1","RPM-2005-01-11:15:1","15","INTEGRA","0","300","53d7239738af609f4866ff9334126f370766127ee24cf484e7ea991ab5caca5c"
"RPM-2005-01-11:16:1","RPM-2005-01-11:16:1","16","INTEGRA","0","388","466c17252262b42bc5f85dd4e09480e6d2e981ea59dffded1501bb9510cfcb1f"
