"ID_Padre","ID_Nuevo","Actor_Final","Largo","Es_Tramo_Revisado","Inicio_En_Padre","Fin_En_Padre","SHA256_Texto"
"657","RPM-2006-05-11:657:1","Vittorio Corbo Lioi","457","NO","","","149ce78e6adf724fa1d75e771a7e2a49ff815232297a87f00a4d005aadd2be96"
"657","RPM-2006-05-11:657:2","Sergio Lehmann Beresi","3936","SI","458","4394","2dbadf0cbfd8cd62c72c1bcd5e5ad2da26a787a26c0a71c0957f3dd75bf27291"
"1564","RPM-2007-11-13:1564:1","Vittorio Corbo Lioi","162","NO","","","4d3c9ddac840a03d6de59c7671da1fdfc4fc1a53ad1932310e9042956ba71bec"
"1564","RPM-2007-11-13:1564:2","María Olivia Recart Herrera","2067","SI","163","2230","d601e19aec5c37fc2366f7f705182a102b9e1bd147c3dfafe53d0ea8b4cfc389"
"1706","RPM-2008-03-13:1706:1","José De Gregorio Rebeco","312","NO","","","6ff10b34bc932b00b4879bea6855aa26f9011fe9451308633c3fa1d55f561b74"
"1706","RPM-2008-03-13:1706:2","Igal Magendzo Weinberger","290","SI","313","603","c55b1143584e659a3cbdf2a8cbb5a3106e56f629dfe40ec65b790bbe7b2937b6"
"1995","RPM-2008-08-14:1995:1","Jorge Desormeaux Jiménez","739","NO","","","ac058857ec8ca65a8eafb1df0df5c7a5f3515784901efb5ca7fe6ccd75c43b6d"
"1995","RPM-2008-08-14:1995:2","Sergio Lehmann Beresi","2051","SI","740","2791","e010611f5028b3b4ec8064a802a36b82be3eb6c5f01bc39379c5ac9af3bd842a"
"2960","RPM-2010-02-11:2960:1","Beltrán de Ramón Acevedo","5555","NO","","","35de2b6f03bdbe1c5d7cbb809140a215c10dd5f4a644ce70ed03d0f43722374e"
"2960","RPM-2010-02-11:2960:2","José De Gregorio Rebeco","172","NO","","","7db00d893bcdda6e504f84a5bc6e6cf9fc2826b452160412e008520434ee7e6e"
"2960","RPM-2010-02-11:2960:3","Kevin Cowan Logan","2056","SI","5729","7785","701a467943b3dc03969d3dc91d97d76d4f0c73bf71042b7059a2233031c12bc7"
