ID_Turno,Fecha,Actor_Final,Rol_Final,Grupo_Actor,HD_Score_Oro,HD_Clase_Oro,Evidencia_Oro,Lex_Score,Score_Fuera_De_Pliegue,Pred_Fuera_De_Pliegue,Acierta
RPM-2005-01-11:T29,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,0.5,HAWKISH,esta reducción del estímulo monetario va a ser en forma pausada,0.4286,0.5804,HAWKISH,SI
RPM-2005-04-07:T55,2005-04-07,María Elena Ovalle Molina,Consejera,CONSEJO,0.5,HAWKISH,una medida preventiva como esta evita ajustes más pronunciados en el futuro,0.3333,0.674,HAWKISH,SI
RPM-2005-07-12:T38,2005-07-12,Rodrigo Valdés Pulido,Gerente de División Estudios,STAFF,0.25,NEUTRAL,no se estaría disminuyendo el ritmo de normalización,0.2727,0.7955,HAWKISH,NO
RPM-2005-10-11:T46,2005-10-11,María Elena Ovalle Molina,Consejera,CONSEJO,0.5,HAWKISH,un alza de 25 puntos base en la tasa de Política Monetaria es consistente con el rango meta,0.6,0.9291,HAWKISH,SI
RPM-2006-01-12:T46,2006-01-12,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,0.25,NEUTRAL,"vota por mantener la tasa de política monetaria, en su nivel actual",0.0244,0.2121,NEUTRAL,SI
RPM-2006-04-13:T72,2006-04-13,Enrique Marshall Rivera,Consejero,CONSEJO,0.5,HAWKISH,vota por subir la tasa de política monetaria en 25 puntos base,0.6364,0.7915,HAWKISH,SI
RPM-2006-07-13:T3,2006-07-13,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,la volatilidad en los mercados financieros se ha reducido de manera significativa,-0.8,-0.08,NEUTRAL,SI
RPM-2006-09-07:T47,2006-09-07,Enrique Marshall Rivera,Consejero,CONSEJO,-0.25,NEUTRAL,se comienzan a observar signos que permiten visualizar una trayectoria más moderada hacia delante,-0.6667,0.2167,HAWKISH,NO
RPM-2006-11-16:T5,2006-11-16,Manuel Marfán Lewis,Consejero,CONSEJO,0.0,NEUTRAL,"no hay visiones neutras, ya que sólo existen visiones optimistas o pesimistas",0.0,0.0009,NEUTRAL,SI
RPM-2007-02-08:T25,2007-02-08,Igal Magendzo Weinberger,Gerente de Análisis Macroeconómico,STAFF,0.5,HAWKISH,varios indicadores dan cuenta de mayores riesgos al alza para la inflación,-0.3846,0.0407,NEUTRAL,NO
RPM-2007-03-15:T65,2007-03-15,José De Gregorio Rebeco,Vicepresidente del Banco Central,CONSEJO,-0.75,DOVISH,se debería sesgar la política monetaria hacia un relajo,-0.3333,-0.6787,DOVISH,SI
RPM-2007-06-14:T53,2007-06-14,Enrique Marshall Rivera,Consejero,CONSEJO,0.25,NEUTRAL,"su voto es por mantener la Tasa de Política Monetaria en 5,0%",0.6364,0.5265,HAWKISH,NO
RPM-2007-09-13:T20,2007-09-13,Rodrigo Valdés Pulido,Gerente de División Estudios,STAFF,0.0,NEUTRAL,el CDS constituye actualmente un mejor estándar en el mercado que el EMBI,0.0,0.2803,NEUTRAL,SI
RPM-2007-10-11:T3,2007-10-11,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,0.0,NEUTRAL,la mayor tranquilidad de los mercados ha contribuido al aumento en torno a 20 puntos base,-0.8571,-0.6646,DOVISH,NO
RPM-2007-12-13:T75,2007-12-13,Enrique Marshall Rivera,Consejero,CONSEJO,0.5,HAWKISH,su voto es por subir la Tasa de Política Monetaria a 6%,0.1579,0.5845,HAWKISH,SI
RPM-2008-03-13:T3,2008-03-13,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,-0.5,DOVISH,se incorpora una alta probabilidad de que Estados Unidos de América se encuentre en recesión,-0.913,-0.0857,NEUTRAL,NO
RPM-2008-04-10:T41,2008-04-10,Jorge Desormeaux Jiménez,Vicepresidente del Banco Central,CONSEJO,-0.25,NEUTRAL,no necesariamente apunta a un ajuste al alza en el futuro,-0.4286,0.0124,NEUTRAL,SI
