ID_Turno,Fecha,Anio,Actor_Final,Rol_Final,Grupo_Actor,Naturaleza_Turno,Palabras,Lex_Score,HD_Score_Modelo,HD_Clase_Modelo,Margen,HD_Confianza_Modelo,En_Universo_Entrenado,En_Muestra_500,HD_Score_Oro,HD_Clase_Oro
RPM-2005-01-11:T1,2005-01-11,2005,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,184,0.0,-0.5029,DOVISH,0.192,0.5649,false,false,,
RPM-2005-01-11:T2,2005-01-11,2005,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,INTERVENCION,23,0.0,-0.0539,NEUTRAL,0.717,0.8293,false,false,,
RPM-2005-01-11:T3,2005-01-11,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,2675,0.1059,-0.0018,NEUTRAL,0.8945,0.9303,true,false,,
RPM-2005-01-11:T4,2005-01-11,2005,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,INTERVENCION,22,0.0,-0.2497,NEUTRAL,0.4079,0.6885,false,false,,
RPM-2005-01-11:T5,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,40,0.0,-0.2782,NEUTRAL,0.1084,0.4983,false,false,,
RPM-2005-01-11:T6,2005-01-11,2005,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,75,0.0,-0.0186,NEUTRAL,0.9356,0.9632,false,false,,
RPM-2005-01-11:T7,2005-01-11,2005,Rodrigo Valdés Pulido,Gerente de División Estudios,STAFF,INTERVENCION,42,0.0,0.0019,NEUTRAL,0.9784,0.9863,false,false,,
RPM-2005-01-11:T8,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,26,0.0,0.0725,NEUTRAL,0.7223,0.839,false,false,,
RPM-2005-01-11:T9,2005-01-11,2005,José De Gregorio Rebeco,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,46,0.0,-0.0143,NEUTRAL,0.7877,0.8632,false,false,,
RPM-2005-01-11:T10,2005-01-11,2005,Manuel Marfán Lewis,Consejero,CONSEJO,INTERVENCION,36,0.0,0.1772,NEUTRAL,0.5135,0.7348,false,false,,
RPM-2005-01-11:T11,2005-01-11,2005,Luis Óscar Herrera Barriga,Gerente de División Política Financiera,STAFF,INTERVENCION,98,0.0,-0.0123,NEUTRAL,0.9664,0.9817,false,false,,
RPM-2005-01-11:T12,2005-01-11,2005,Esteban Jadresic Marinovic,Gerente de División Internacional,STAFF,INTERVENCION,137,0.0,-0.0019,NEUTRAL,0.9515,0.9683,false,false,,
RPM-2005-01-11:T13,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,54,0.0,-0.013,NEUTRAL,0.9345,0.9607,false,false,,
RPM-2005-01-11:T14,2005-01-11,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,65,0.0,0.0445,NEUTRAL,0.8564,0.9191,false,false,,
RPM-2005-01-11:T15,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,40,0.0,0.6164,HAWKISH,0.2504,0.6223,false,false,,
RPM-2005-01-11:T16,2005-01-11,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,116,0.0,-0.3216,NEUTRAL,0.2779,0.6258,false,false,,
RPM-2005-01-11:T17,2005-01-11,2005,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,INTERVENCION,56,0.0,-0.066,NEUTRAL,0.8464,0.9196,false,false,,
RPM-2005-01-11:T18,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,38,0.0,-0.5216,DOVISH,0.4733,0.665,false,false,,
RPM-2005-01-11:T19,2005-01-11,2005,Ricardo Vicuña Poblete,Gerente de Información e Investigación Estadística,STAFF,INTERVENCION,112,0.0,0.0273,NEUTRAL,0.6693,0.7887,false,false,,
RPM-2005-01-11:T20,2005-01-11,2005,Manuel Marfán Lewis,Consejero,CONSEJO,INTERVENCION,64,0.0,-0.0727,NEUTRAL,0.8052,0.8944,false,false,,
RPM-2005-01-11:T21,2005-01-11,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,117,0.0,-0.24,NEUTRAL,0.4095,0.6863,false,false,,
RPM-2005-01-11:T22,2005-01-11,2005,Jorge Desormeaux Jiménez,Consejero,CONSEJO,INTERVENCION,60,0.0,0.0791,NEUTRAL,0.8226,0.9081,false,false,,
RPM-2005-01-11:T23,2005-01-11,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,63,0.0,-0.021,NEUTRAL,0.9528,0.9755,false,false,,
RPM-2005-01-11:T24,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,18,0.0,0.3672,HAWKISH,0.1803,0.5158,false,false,,
RPM-2005-01-11:T25,2005-01-11,2005,Pablo García Silva,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,25,0.0,-0.1281,NEUTRAL,0.4612,0.6835,false,false,,
RPM-2005-01-11:T26,2005-01-11,2005,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,INTERVENCION,23,0.0,-0.0666,NEUTRAL,0.7837,0.878,false,false,,
RPM-2005-01-11:T27,2005-01-11,2005,Consejo del Banco Central de Chile,Consejo,CONSEJO,INSTITUCIONAL,40,0.0,0.0013,NEUTRAL,0.8398,0.8937,false,false,,
RPM-2005-01-11:T28,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,107,-0.2,-0.5224,DOVISH,0.5224,0.7084,false,false,,
RPM-2005-01-11:T29,2005-01-11,2005,Vittorio Corbo Lioi,Presidente del Banco Central,CONSEJO,INTERVENCION,299,0.4286,0.9625,HAWKISH,0.9563,0.973,true,true,0.5,HAWKISH
RPM-2005-01-11:T30,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,63,0.0,0.2174,NEUTRAL,0.3529,0.641,false,false,,
RPM-2005-01-11:T31,2005-01-11,2005,José De Gregorio Rebeco,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,266,0.0,0.2122,HAWKISH,0.2032,0.4718,true,false,,
RPM-2005-01-11:T32,2005-01-11,2005,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,HACIENDA,INTERVENCION,194,0.0,0.8521,HAWKISH,0.7417,0.8646,true,false,,
RPM-2005-01-11:T33,2005-01-11,2005,Rodrigo Valdés Pulido,Gerente de División Estudios,STAFF,INTERVENCION,263,0.0,0.0869,NEUTRAL,0.7785,0.8813,true,true,0.25,NEUTRAL
