ID_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,Texto_Actual
514,2005-12-13,630,Vittorio Corbo Lioi,630,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,"El Presidente señor Corbo, sobre este tema señala, en la misma dirección del Consejero señor Marfán, que hace diez días atrás una agencia clasificadora de riesgos"
514,2005-12-13,630,Vittorio Corbo Lioi,631,Beltrán de Ramón Acevedo,CONTEXTO_REVISADO,"Con respecto al tipo de cambio, el Gerente de Mercados Financieros, señor Beltrán De Ramón indica, que lo que ha pasado en el último mes y tal vez en una perspectiva de tasa de Chile con Brasil y de Chile con México, éstas se han reducido desde agosto, 400 puntos base con Brasil y 205 puntos base con México, un poco menos respecto al último mes. Señala, que la correlación no ha sido tan alta como lo fue en el semestre, y lo que puede apreciarse es que la posición MBF que llegó a un máximo de US$ 5.600 millones en octubre, era una posición compradora de pesos, la que se redujo el día miércoles, según el último dato con que se cuenta, a menos de US$ 4.500 millones. Lo anterior, puso una presión adicional a los movimientos ocurridos en el mercado local en el día anterior, respecto del dólar, que subió a S 516 y volvió a $ 510."
653,2006-04-13,863;864,Jorge Desormeaux Jiménez;José De Gregorio Rebeco,864,Jorge Desormeaux Jiménez,SUJETO_ROL_NOMBRE,"El Consejero señor Jorge Desormeaux, manifiesta que la decisión de hoy se enmarca en un cuadro en que las principales novedades provienen del exterior, como se ha señalado previamente. Señala el señor Consejero, que los antecedentes muy completos que ha presentado la Gerencia de División Estudios, indican que pese a todos los inconvenientes que ha enfrentado la economía mundial en los últimos doce meses, huracanes en el Golfo de México, en el Asia, alzas en el precio del petróleo, menor dinamismo en el mercado de la vivienda en los Estados Unidos de América, riesgos geopolíticos, etc., este dinamismo se mantiene favorable y resulta cada vez más balanceado entre regiones. Agrega, que si bien las cifras apuntan a una aceleración del crecimiento, una buena parte de esta corrección corresponde a un cambio de ponderaciones que fue provocada por la revisión de estadísticas de China, y que aún así, la economía mundial registra un mayor crecimiento en el margen, lo que ha llevado al precio de los commodities, incluyendo el cobre, a valores sustancialmente mayores a los proyectados. En el caso del petróleo también han incidido factores geopolíticos. Indica el señor Consejero que, en el plano interno, la economía se desempeña en gran medida de acuerdo a lo previsto. Si bien la actividad muestra un debilitamiento en el primer trimestre que podría extenderse al segundo, ello sería, y es nuestra mejor evaluación hoy día, el reflejo de factores puntuales y no representa un cambio de tendencia. La demanda interna, por su parte, presenta una desaceleración que se enmarca plenamente dentro del escenario central de nuestro informe de política monetaria de enero. Agrega el Consejero señor Desormeaux, que más allá de estos factores puntuales que afectan a sectores específicos, como la agricultura y la industria, entonces, la economía se expande a un ritmo que sigue siendo superior a su tendencia en un marco de holguras cada vez menores, lo que tiene lugar en un contexto de condiciones financieras cuya expansividad sigue siendo elevada, como se ha señalado. Señala el señor Consejero, que concuerda con la conclusión de la Gerencia de División Estudios, en cuanto a que pese a estos desarrollos, el panorama macroeconómico no ha experimentado cambios fundamentales respecto de evaluaciones anteriores y que, por lo tanto, la estrategia de normalización pausada del impulso monetario sigue siendo la opción más válida y que no sería, en consecuencia, necesaria una aceleración de la misma. Sin embargo, agrega que en las actuales circunstancias le parece difícil justificar una pausa. Las mejores condiciones externas y su eventual impacto en el gasto público y privado, como se ha discutido p re v ia m e n te , en un marco de condiciones financieras expansivas y de holguras decrecientes, configuran un cuadro que resultaría difícil de reconciliar con dos pausas consecutivas de la tasa de política monetaria. Señala, que un alza de 25 puntos base, decisión que espera la mayoría del mercado, sería más coherente con nuestro escenario central y contribuye a mantener las expectativas ancladas en torno al centro del rango meta. Al respecto, indica que dado que el"
653,2006-04-13,863;864,Jorge Desormeaux Jiménez;José De Gregorio Rebeco,865,José De Gregorio Rebeco,CONTEXTO_REVISADO,"El Vicepresidente señor José De Gregorio indica, que el panorama económico reciente es coherente con el escenario central de nuestro último IPOM y, por lo tanto, no hay razones para cambiar nuestra estrategia de retiro gradual del impulso monetario para cumplir con nuestro objetivo inflacionario. Sin embargo, señala que la pregunta relevante es si corresponde hacer una pausa o no a la luz de lo ocurrido desde nuestra última RPM. Indica, que para ello se debe considerar, en primer lugar, que el mes pasado la decisión no fue fácil, en cuanto había buenas razones para subir o mantener la tasa. La mantención dejó implícito que, en el escenario más probable, este mes se debería subir la tasa de política monetaria y ello es una poderosa razón para subirla, en particular, dado que el escenario central no ha cambiado. Sin embargo, indica el señor Vicepresidente que, deberíamos detenernos a examinar que ha pasado en el margen, y aquí es donde han habido novedades que han sido bien analizadas por la Gerencia de División Estudios, las que se pueden resumir en; significativa alza del precio del cobre; apreciación del peso desde la última reunión de política monetaria hasta hoy, de aproximadamente 3%; alza del precio del petróleo, aunque con movimientos probablemente compensatorios del precio de la gasolina; y un crecimiento del PIB levemente inferior al previsto anteriormente. Por su parte, indica que, los costos laborales unitarios siguen una senda consistente con la meta de inflación, pero hay que tener cuidado con la medición. Señala que si bien nuestra medición, corrigiendo por estacionalidad-horas y, usando el empleo asalariado, las tasas de crecimiento en 12 meses han subido sistemáticamente los últimos meses hasta llegar cerca de 3%, en las cifras más recientes, no está claro que ésa es la medida más adecuada. Además, agrega que como bien señala la Gerencia de División Estudios, en términos velocidad, ésta no está aumentando, aunque sí se encuentra en el límite de su consistencia con la meta de inflación. Sin embargo, señala el señor Vicepresidente, cambiar las cifras usadas para calcular el costo laboral unitario puede llevar a visiones distintas. Los indicadores se vuelven bastante volátiles. Agrega que, de hecho, si en vez de usar el empleo asalariado ajustado por estacionalidad se considera el empleo total, se mantiene el resto de los datos. El costo laboral unitario habría caído en torno a un 1,4% anual en noviembre y diciembre del año pasado, en vez de subir 1,7%. Habría subido un 0,2% en enero, en vez de un 2,5%; y, un 2,3% en febrero en vez de un 3,7%. Se ve claramente un incremento en los costos laborales unitarios, pero aún en rangos moderados. Hace presente el señor Vicepresidente, que este ejercicio sólo intenta mostrar que si bien los costos laborales crecen, es probable que no tanto como lo que indicarían nuestros indicadores regulares. Si bien esto no cambia la visión central respecto de las presiones de costo, además que en el pasado ya hubo problemas con la interpretación de los datos, cuando se usa el empleo total, no se puede descartar fácilmente que ellas sean, aunque igualmente crecientes, algo menores. Si a esto se agrega el efecto de la evolución del tipo de cambio, es de esperar que en algo se estén reduciendo las presiones inflacionarias respecto a nuestro escenario central. En consecuencia, señala que no le parece que estemos ante una decisión simple, como tal vez pensábamos un mes atrás. La evidencia más reciente del tipo de cambio y actividad así como la incertidumbre respecto a la velocidad de aumento de los costos laborales unitarios, no son suficientes para pensar que hay un cambio de tendencia o que la estrategia de política monetaria debiera cambiar. Le parece que habría que estar particularmente vigilantes de las señales recientes, las que de persistir irán configurando un escenario de mayores pausas en el ritmo de normalización de la política monetaria. Con todo, y con una cuota mayor de dudas que otras veces, señala el señor Vicepresidente que se inclina por un alza de 25 puntos base en la tasa de política monetaria y, en tal virtud, vota en ese sentido."
1010,2006-12-14,1296;1297;1298;1299,Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido;Manuel Marfán Lewis,1297,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,"El Consejero señor Manuel Marfán comenta que existe una tasa en la OIT, que le parece adecuada como indicador, porque hay poca costumbre de realizar una medición con la tasa de ocupación, o sea es el empleo sobre toda la población que está en edad de trabajar, porque eso es una mezcla entre tasa de participación. Agrega que tiene la impresión de que ésta es mucho más estable porque tiene más información cíclica que la tasa de desempleo, que es más bien una cuestión de sensación térmica que depende mucho de la evolución de la fuerza de trabajo. Por otra parte, señala que en el día de hoy aparece una entrevista al economista señor Mario Marcel en el Diario El Mercurio, que le parece interesante de considerar, porque cree que él está revisando la propuesta de la regla fiscal, pero dice que el Banco Central tuvo algunos problemas de política económica, principalmente, por las cifras del mercado del trabajo. Agrega el señor Marfán que sería interesante saber si efectivamente el hecho de que el INE haya cambiado las cifras de empleo, motivó el que se pudiera haber tomado una decisión distinta."
1010,2006-12-14,1296;1297;1298;1299,Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido;Manuel Marfán Lewis,1298,Igal Magendzo Weinberger,SUJETO_NOMBRE,"El señor Madgenzo, sobre el tema, señala que en el IPoM de mayo se mencionó que se estaban tomando con cautela las cifras de costos laborales."
1010,2006-12-14,1296;1297;1298;1299,Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido;Manuel Marfán Lewis,1299,Rodrigo Valdés Pulido,SUJETO_NOMBRE,"El señor Valdés menciona que este año, con las nuevas cifras, se dejó de dar credibilidad completa a las cifras de empleo en la toma de decisión y análisis. Sin embargo, lo que no cambió y tampoco se modifica con las cifras nuevas, es el cuadro de fuerte creación de empleo que hubo en el año 2005, con su consecuente efecto en costos laborales unitarios."
1010,2006-12-14,1296;1297;1298;1299,Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido;Manuel Marfán Lewis,1300,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,"El Consejero señor Marfán indica que desea comentar que el señor Mario Marcel es un buen economista y muy honesto, y cree, que no tiene intenciones políticas en lo que ha señalado, de modo que lo tomaría con buena fe de que él realmente piensa así. No obstante, tiene la sensación que cuando el Gobierno impulsa la regla fiscal, lo que está implícitamente pensando es que cuando esa regla tiene un componente anticíclico éste es tenue y que, por lo tanto, la política monetaria debería jugar un rol anticíclico más fuerte. En consecuencia, a su juicio, si existe una desaceleración, el discurso consistente y coherente de ellos es que la política monetaria no jugó el rol anticíclico que debió haber tenido. Le parece que ese es el"
1010,2006-12-14,1296;1297;1298;1299,Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido;Manuel Marfán Lewis,1301,José De Gregorio Rebeco,CONTEXTO_REVISADO,"El Vicepresidente señor José De Gregorio, con respecto a esta discusión, señala que el Banco tuvo una sorpresa la que tendrá implicancia en los aspectos de política monetaria, en el sentido si el menor nivel de actividad, independiente de que si es transitoria o permanente, tiene impacto sobre la presión inflacionaria. Por otro lado, con respecto del tema laboral recuerda que hubo discusiones previas sobre nuestras cifras de costo laboral, ya que se advertía que había cierta anormalidad."
1623,2008-01-10,2150;2151,Jorge Desormeaux Jiménez;Igal Magendzo Weinberger,2152,Jorge Desormeaux Jiménez,SUJETO_ROL_NOMBRE,"El Vicepresidente señor Desormeaux señala que le llama la atención que a pesar de un diagnóstico de una inflación en alza en todas partes del mundo desarrollado, las tasas de interés están más bien bajando. Agrega que este hecho constituye una diferencia bastante grande con respecto a lo que sucede en el mundo emergente donde los movimientos de tasas sí van en dirección al alza. 7"
