ID_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,Texto_Actual
1457,2007-09-13,1891,Andrés Velasco Brañes,1891,Andrés Velasco Brañes,SUJETO_ROL_SESION,El señor Ministro de Hacienda consulta la razón por la que debería importar ese horizonte
1457,2007-09-13,1891,Andrés Velasco Brañes,1892,Pablo García Silva,CONTEXTO_REVISADO,"y el señor Gerente de División Política Financiera responde que ese diferencial se aplica sobre todo a las trayectorias de tipo de cambio de aquí a diez años. Dicho de otra forma, a tres meses un diferencial de cien puntos base en la tasa será un peso y medio, en cambio cuarenta puntos base a diez años produce un impacto cambiario mucho más grande que el efecto a tres meses."
1737,2008-03-13,2346;2347,Jorge Desormeaux Jiménez → Pablo García Silva,2347,Jorge Desormeaux Jiménez,SUJETO_ROL_NOMBRE,"El Vicepresidente señor Jorge Desormeaux señala que se suma a la mayoría antes mencionada,"
1737,2008-03-13,2346;2347,Jorge Desormeaux Jiménez → Pablo García Silva,2348,Sebastián Claro Edwards,CONTEXTO_REVISADO,"y el Consejero señor Sebastián Claro manifiesta que mantiene su votación consistente en subir la Tasa de Política Monetaria a 6,50%."
1737,2008-03-13,2346;2347,Jorge Desormeaux Jiménez → Pablo García Silva,2349,Pablo García Silva,SUJETO_ROL_NOMBRE,"Una vez adoptado el Acuerdo correspondiente a la Reunión de Política Monetaria del mes de marzo de 2008, el Gerente de División Estudios señor Pablo García señala que desea hacer un comentario basado única y exclusivamente en la responsabilidad de su cargo, y que se refiere a la conveniencia que en la Minuta que se conocerá en tres semanas más, se mencione o no el tema de la intervención cambiaría. Al respecto, indica que su impresión es que dicha mención tendría un efecto comunicacional de primer orden que superaría cualquier discusión, respecto a la dirección de política o de sesgo que se ha hecho en esta Reunión. Agrega que lo anterior no se realizó en los años 2001- 2002, lo que rompería quizás un principio que se ha mantenido desde esa época, consistente en que las decisiones de intervención se hacen en otras audiencias que no es la de política monetaria. Además, el señor García indica que la referida inclusión, probablemente, quitaría incluso alguna efectividad a la eventual decisión de intervenir. Finalmente, el señor García señala que su responsabilidad es expresar su opinión, pero que la Minuta es del Consejo."
2392,2009-03-12,3254;3255,Jorge Desormeaux Jiménez → Pablo García Silva,3256,Jorge Desormeaux Jiménez,SUJETO_ROL_SESION,"El señor Vicepresidente consulta si no se cuenta con datos más recientes que los que se han filtrado,"
2392,2009-03-12,3254;3255,Jorge Desormeaux Jiménez → Pablo García Silva,3257,Sergio Lehmann Beresi,CONTEXTO_REVISADO,"y el señor Sergio Lehmann informa que menos 0,5 de crecimiento es la cifra que se dio a conocer formalmente."
2392,2009-03-12,3254;3255,Jorge Desormeaux Jiménez → Pablo García Silva,3258,Pablo García Silva,SUJETO_ROL_SESION,"Por su parte el Gerente de División Estudios comenta que según cree esa cifra tiene un sesgo a la baja y que quizás pueda incluso ser corregida en los meetings de abril. En segundo lugar, señala que efectivamente para el 2010 el Fondo Monetario Internacional está pensando en cifras más bien cercanas a cero para los países desarrollados."
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3339,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,El Presidente señor José De Gregorio consulta cómo se comparan dichas cifras con los últimos datos del FMI.
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3340,Sergio Lehmann Beresi,SUJETO_ROL_SESION,"Al respecto, el señor Gerente de Análisis Internacional señala que las cifras presentadas en esta Reunión son algo más negativas que lo que está proyectando el Fondo, el cual para el año 2009, está proyectando un crecimiento entre -0,5% y - 1%, cifras que están básicamente en el borde más bien negativo del rango antes mencionado. \ Indica también que en el caso de las economías desarrolladas, el Fondo está dando cuenta de que existe una contracción algo más importante. Por otra parte, hacia el año 2010, agrega, la proyección del Fondo es ligeramente más optimista para el crecimiento global, pero para las economías desarrolladas está básicamente en línea con un crecimiento en torno o cercano a cero."
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3341,José De Gregorio Rebeco,SUJETO_ROL_SESION,"Respecto a la misma materia, el señor Presidente señala que le llama la atención que en el cuadro que se presenta, Consensus todavía presenta signo positivo para América Latina"
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3342,Andrés Velasco Brañes,SUJETO_ROL_NOMBRE,"Por su parte, el Ministro de Hacienda señor Andrés Velasco consulta cómo pondera Consensus al interior de América Latina."
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3343,José De Gregorio Rebeco,SUJETO_ROL_SESION,"Al respecto, el señor Presidente indica que Consensus considera precio de mercado"
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3344,Sergio Lehmann Beresi,CONTEXTO_REVISADO,y el señor Lehmann complementa que en la gráfica que se presenta en esta Reunión es a PPP.
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3345,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,"Aún considerando la explicación anterior, el Presidente señor José De Gregorio señala que si Brasil cae algo menos que el promedio, es decir, cae menos que 1,8%, y resulta que si tenemos -0,7% desde marzo, le llama la atención que Consensus, cuyo último número es de marzo, exhiba todavía cero para América Latina en dicho mes. Reitera que le llama la atención que el cuadro aparezca con Chile en cero, cuando es uno de los países que más crece."
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3346,Andrés Velasco Brañes,SUJETO_ROL_SESION,"Al respecto, el señor Ministro comenta que podría algo tener que ver con los ponderadores, pero duda que lo expliquen todo, ya que la variación al interior de América Latina, sea a PPP o no PPP, no es tan grande. No es el rango China-Suiza."
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3347,Sergio Lehmann Beresi,SUJETO_NOMBRE,"El señor Lehmann indica que enviará al Consejo el desglose de lo que está proyectando Consensus para cada una de las economías, y las cifras de los bancos de inversión."
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3348,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,"El Presidente señor José De Gregorio señala que, tanto para el IPoM como para posteriores discusiones, sería útil considerar lo que hace el Fondo, consistente en el cambio de proyección entre un período y otro. Agrega que es difícil procesar todas estas cifras, pero sería útil que se contara con una columna que reflejara los cambios de la proyección respecto de septiembre, para así poder apreciar cómo se ha ido evolucionando."
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3349,Andrés Velasco Brañes,SUJETO_ROL_SESION,"Por su parte, el señor Ministro de Hacienda señala que el dato más aterrador del cuadro que se comenta consiste en que desde enero a abril de este año, se haya producido una caída de 2,5 puntos en el crecimiento estimado de los socios comerciales. En su opinión, lo expuesto representa un cambio absolutamente brutal y constituye un dato que derecha y directamente es relevante para nuestro país. Indica que no recuerda una caída tan grande en un intervalo tan corto de tiempo."
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3350,Sergio Lehmann Beresi,SUJETO_ROL_SESION,"Continuando con su exposición, el señor Gerente de Análisis Internacional señala que, en materia de inflación las expectativas también se han ajustado a la baja. En tal sentido, en las economías desarrolladas se ha afirmado la perspectiva de un escenario deflacionario, sin perjuicio que, en algún momento, tal vez hubo algunas dudas ante inflaciones que resultaron ser positivas en varias economías. Indica que este escenario deflacionario se ha reafirmado con ajustes a la baja en la inflación en América Latina, siendo también muy fuerte en Asia, mientras que bastante más moderada y relativamente estable en el caso de Europa del Este"
2443,2009-04-09,3336;3337;3338;3339;3340;3341;3342;3343;3344;3345;3346,José De Gregorio Rebeco → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco → Andrés Velasco Brañes → Sergio Lehmann Beresi → José De Gregorio Rebeco,3351,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,"Al respecto, el Presidente señor José De Gregorio también expresa sus dudas. Señala que el grueso de los países está con metas en torno a 4,5%, salvo Chile que ha caído fuerte Hace presente que le llama la atención la tan poca variabilidad que ha habido en América Latina."
