Tipo_Cambio,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,Tipo_Acta,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
SOLO_METADATOS,38,86e5721e62bd17259186064afba811d40f72d6c6e20bbb99729ed36e51ee7221,2005-01-11,39,Rodrigo Valdés Pulido,39,Rodrigo Valdés Pulido,CONTEXTO_REVISADO,,RPM-2005-01-11:T37,SIN_CONTINUIDAD_CONFIRMADA,,"Al respecto, el señor Gerente de División señala que; 1. En la reunión de política monetaria de diciembre, el Consejo decidió mantener la tasa de interés de política en 2,25%. Con los antecedentes disponibles se concluía que, a diferencia de los meses previos, la actividad no tenía una aceleración adicional que las medidas de la tendencia inflacionaria seguían aumentando lentamente desde niveles reducidos y que el ritmo de aumento de los costos seguía siendo acotado. Se consideró que tanto subir como mantener la tasa de política monetaria era coherente con la estrategia de normalización pausada de la política monetaria, la cual no cambiaba con la información disponible. Se decidió que mantener la tasa era apropiado para justamente remarcar la gradualidad del proceso de normalización. En el comunicado respectivo, el Consejo reafirmó que, en el escenario más probable, continuaría reduciendo pausadamente el marcado estímulo monetario prevaleciente, de manera de mantener una trayectoria esperada para la inflación en torno a 3% anual en el horizonte habitual de política. 2. Los antecedentes acumulados desde la última reunión dan cuenta de que continúan las principales tendencias observadas en la economía nacional en los últimos meses, con una inflación acotada y una actividad más dinámica, todo ello en un entorno internacional favorable. En efecto, las cifras de crecimiento económico continúan altas y han sido algo superiores a las proyectadas. La inversión sigue aumentando en la tendencia de los últimos meses y, más allá de temas de registro de alta frecuencia, las exportaciones siguen creciendo con fuerza. La creación de empleo ha confirmado su dinamismo de los últimos tres meses y se aprecian expectativas positivas. En paralelo, las medidas de la tendencia inflacionaria siguen repuntado desde niveles reducidos, aunque la inflación subyacente IPCX1 una vez más se situó marginalmente por debajo de lo presupuestado. El ritmo de aum ento de los distintos costos sigue siendo sorprendentemente acotado, en particular los costos laborales unitarios privados, que caen en 12 meses en lo más reciente (y pesan casi 75% en la estructura de costos del IPCX1), y el tipo de cambio multilateral, que tuvo una disminución real cercana a 2,5% desde la última reunión (y pondera poco menos de 10% en ese mismo indicador). Finalmente, las distintas medidas de expectativas de inflación se mantienen por debajo de 3%, en particular la compensación inflacionaria en instrum entos financieros a distintos plazos. 3. De acuerdo con las proyecciones preparadas para el Informe de Política Monetaria, este cuadro de dinamismo del sector real, de inflación reducida aunque aumentando gradualmente, e incremento tenue de los costos implica que la inflación continuará siendo baja en el corto plazo, pero aumentará progresivamente más adelante. En particular, se espera que, en promedio, la inflación se ubique en el piso del rango meta en los próximos cuatro trimestres, para aumentar hacia 3% el año siguiente. Todo ello bajo el supuesto de trabajo de un aumento paulatino de la tasa de política monetaria. Los antecedentes acum ulados, por lo tanto, no parecen suficientes como para modificar la estrategia de normalización pausada de la política monetaria. De hecho, la trayectoria de la tasa de política monetaria implícita en las proyecciones no difiere mayormente de la considerada en las proyecciones de septiembre pasado. 4. Con estos antecedentes, y al igual que en los últimos meses, se puede descartar la opción de dism inuir la tasa de interés. A continuación, el señor Valdés analiza las opciones de mantenerla, o aumentarla en una magnitud a determinar. 5. Por un lado, la opción de no aumentar la tasa de política monetaria podría justificarse si se evalúa necesario una normalización más lenta a la contemplada en el escenario central de proyecciones, o incluso postergarla por un tiempo. Esto porque dos meses consecutivos sin aum entos no parecen coherentes con el ritmo utilizado como supuesto de trabajo en las proyecciones actuales, e incluso se alejan de lo implícito en las tasas de interés de m ercado para el mediano plazo, salvo que se considere como probable hacer aumentos significativos de la tasa de política monetaria más adelante, lo cual es en principio poco deseable. Sin aumentos más bruscos más adelante, una estrategia de normalización postergada implicaría una proyección de inflación en el escenario central más elevada, por encima de 3% para el mediano plazo, lo que hace poco recomendable esta opción. 6. Por otro lado, se podría argumentar a favor de un aumento mayor a 25 puntos base, tom ando en cuenta el dinamismo que está exhibiendo la economía, el que se acompaña con un considerable impulso monetario (refrendado en una tasa de interés real cercana a cero en un plazo de un año y un marcado crecimiento del crédito y de los agregados monetarios), y el hecho de que varios de los escenarios de riesgo configuran un balance posiblemente sesgado al alza hacia la inflación, especialmente en el mediano plazo. A ello se agrega que no es evidente que un aumento de esta magnitud sea contradictorio con el ritmo de normalización supuesto en las proyecciones, si más adelante hay pausas. Sin embargo, es discutible que un aumento como éste pueda entenderse como parte de un proceso pausado, especialmente después de que se mantuvo la tasa de política monetaria en condiciones que apuntaban a un panorama de mediano plazo similar al que se enfrenta en esta reunión. Por lo tanto, sería una dosis que, por coherencia temporal, parece excesiva. Además, en caso de estimarse como adecuada, es posible de repartir en más de una reunión. 7. Finalmente, un aumento de 25 puntos base en esta reunión es coherente con el ritmo de normalización considerado en las proyecciones, el que permite mantener la inflación proyectada en torno a 3% en el horizonte habitual de política."
SOLO_METADATOS,39,1287aaa3350ee8c3ba5cab088ac2a8af0e7c32d26319de0a9d61e6d50b5b4d4a,2005-01-11,40,Rodrigo Valdés Pulido,40,Rodrigo Valdés Pulido,CONTEXTO_REVISADO,,RPM-2005-01-11:T38,SIN_CONTINUIDAD_CONFIRMADA,,"Respecto de elementos de táctica, cabe mencionar que, dependiendo de la encuesta, una parte importante o una mayoría relativa del mercado y analistas, no espera un aumento en esta reunión, lo cual es una situación que se previó en la reunión de un mes atrás. Sin embargo, una eventual mantención de la tasa de política monetaria podría reafirmar una percepción errónea de que se persigue una normalización más lenta del estímulo monetario, o, aun peor, que una alta inflación mensual es un requisito previo a aumentar la tasa, cuando lo relevante para esta decisión son las proyecciones de mediano plazo. En todo caso, dadas las expectativas prevalecientes, cabe suponer que un alza de 25 puntos base tendrá algunos efectos en precios financieros, en el sentido opuesto a los que tuvo la decisión de la reunión pasada, cuando se esperaba un alza. Sin embargo, en la medida en que se mantenga la percepción de que la trayectoria de normalización seguirá siendo pausada y no ha cambiado mayormente, las magnitudes involucradas deberían ser acotadas."
SOLO_METADATOS,120,f33d3ed14fc7b8f112ba70a0ddd5e543a4b1f595ed6f70b8712974f13b356508,2005-02-10,121,Rodrigo Valdés Pulido,121,Rodrigo Valdés Pulido,CONTEXTO_REVISADO,,RPM-2005-02-10:T49,SIN_CONTINUIDAD_CONFIRMADA,,"Al respecto, el señor Gerente de División señala que: 1. En la reunión de política monetaria de enero, el Consejo decidió aumentar la tasa de interés de política en 25 puntos base, a 2,5%. Con los antecedentes disponibles se concluyó que continuaban las principales tendencias identificadas en meses recientes: una inflación acotada, con medidas subyacentes que aumentaban lentamente desde niveles reducidos, y una actividad cada vez más dinámica. La disminución de holguras resultante recomendaba seguir normalizando la política monetaria, la que continuaba siendo considerablemente expansiva. La inflación acotada, por su parte, permitía que el ritmo de ajustes de la tasa de interés siguiera siendo pausado. El aumento de la tasa de política monetaria en la reunión anterior era coherente con aportar señales respecto de este ritmo de normalización. 2. La minuta de antecedentes preparada para esta reunión, da cuenta de que continúan las principales tendencias mencionadas, aunque con novedades que indican un mayor crecimiento. El entorno internacional relevante se mantiene favorable, con un precio del cobre que ha persistido en niveles superiores a US$ 1,42 por libra, por encima de lo proyectado en la reunión anterior, y un precio del petróleo que también se mantiene elevado, aunque ha vuelto a los niveles observados antes de la reunión anterior. La de actividad interna creció 7,7% en diciembre, aproximadamente un punto porcentual más que lo previsto hace un mes. La inversión en maquinaria y equipos sigue aumentando en la tendencia de los últimos meses, sorprendiendo al no dar muestras de atenuar su marcado dinamismo. Los indicadores de consumo se mantienen robustos, mientras se aprecia un aumento en las últimas mediciones de las expectativas de los hogares. En el mercado laboral se confirma la mayor creación de empleos, a una tasa anualizada cercana a 7% durante la segunda mitad de 2004. 3. Por el lado de precios y costos, las medidas de la tendencia inflacionaria siguen aumentando lentamente, con la inflación subyacente IPCX1 en línea con las proyecciones del último Informe de Política Monetaria. Asimismo, la tasa de crecimiento anual de los costos laborales unitarios privados se mantiene negativa, situación que, en todo caso, no se ha profundizado. Por su parte, el tipo de cambio bilateral y multilateral ha mostrado un leve aumento durante el último mes, el que se ha revertido parcialmente en los últimos días. Finalmente, las distintas medidas de expectativas de inflación han aumentado, ubicándose cerca de 3% las de mayor plazo, incluyendo la compensación inflacionaria en instrumentos financieros a cinco y diez años. 4. Con estos antecedentes, considerando el aumento de la tasa de interés de la reunión pasada, las opciones más plausibles son mantener la tasa de política monetaria o aumentarla en 25 puntos base."
SOLO_METADATOS,121,1fd7df4fc59ff688edad4f37f6162a6b6f35d41ed40d4b10070de41079642ed9,2005-02-10,122,Rodrigo Valdés Pulido,122,Rodrigo Valdés Pulido,CONTEXTO_REVISADO,,RPM-2005-02-10:T50,SIN_CONTINUIDAD_CONFIRMADA,,"5. En principio, los antecedentes acumulados son coherentes con mantener la estrategia de normalización pausada de la política monetaria aplicada desde septiembre pasado, pues ellos parecen insuficientes para modificar de manera significativa el escenario macroeconómico más probable. Sin embargo, si el escenario alternativo de persistencia de las noticias positivas de actividad sigue cobrando importancia, se podría justificar aumentar levemente el ritmo de normalización, aumento que en todo caso podría seguir siendo gradual, en la medida que las presiones inflacionarias actuales se mantengan acotadas. Por lo tanto, las novedades permiten descartar la idea de reducir el ritmo de normalización porque, mientras la inflación siga un curso como el previsto, la situación de mayor crecimiento implicará un mayor uso de las holguras de capacidad que lo anticipado en las proyecciones. 6. Como se ha discutido en otras oportunidades, en esta estrategia de normalización pausada de la política monetaria tienen cabida tanto alzas sucesivas durante algunos meses como pausas en otros, siendo la acumulación de antecedentes mes a mes un elemento fundamental para definir el ritmo preciso. Así, luego de un mes en que se aumentó la tasa de política monetaria, en la estrategia de normalización pausada tienen cabida tanto la mantención de la tasa de política monetaria en esta reunión como un aumento de 25 puntos base. 7. La mayoría de los antecedentes coyunturales apoya un nuevo aumento de tasa de política monetaria en esta reunión. Como se ha visto, por el lado de la inflación efectiva hay relativamente pocas novedades, mientras que el mayor uso de las holguras de capacidad estaría progresando más rápidamente que lo previsto. A ello se suman mejores indicadores de expectativas de hogares y empresas. En este cuadro resulta recomendable continuar transitando hacia una política monetaria más neutral desde el actual nivel considerablemente expansivo, de manera de asegurar que, dados los rezagos que tiene dicha política, el estimulo monetario sea coherente con una inflación proyectada en 3% en el horizonte habitual de política de 12 a 24 meses. 8. Ahora bien, también sería posible justificar mantener la tasa de política monetaria en su nivel actual si se evaluara que detrás del mayor crecimiento existe una expansión especialmente vigorosa del producto potencial, comparable a la del producto efectivo — y, por lo tanto, un cierre de brechas menos pronunciado— y se ponderara más el reducido aumento de los costos laborales. Ambos efectos atenuarían las futuras presiones de precios. La validez de este cuadro, sin embargo, puede ser contrastada con el comportamiento de las medidas de la tendencia inflacionaria, las que deberían mostrar algún grado de estancamiento si las holguras efectivamente fuesen elevadas y persistentes. Aunque las medidas mencionadas siguen aumentando lentamente, todas ellas van en la misma dirección por alrededor de varios meses. 9. En la presente reunión, los elementos tácticos tienen mayor importancia que la habitual. Al respecto cabe considerar, que en los últimos meses la gradualidad del proceso de normalización se ha asociado con pausas en los cambios de la tasa de política monetaria mes por medio. Esta situación ha sido relativamente incorporada en la estructura de precios financieros prevaleciente y, en esta oportunidad, una mayoría relativa del mercado no espera un cambio en la tasa de política monetaria. En efecto, la encuesta a analistas del Banco Central de Chile reveló un expectativa mayoritaria de mantención de la tasa (aunque su fecha de cierre fue previa a la divulgación del Imacec), y las encuestas de los servicios informativos realizadas en el día de ayer también dan cuenta de una expectativa mayoritaria por la mantención de la misma. Un alza sucesiva rompería la secuencia descrita y, posiblemente, sería percibida como un leve aumento del ritmo de normalización."
SOLO_METADATOS,180,78a9eccfa0e38e54f4de38791765728007a3108bbd9cfe3642fa90e71e1851a7,2005-03-10,182,Sergio Lehmann Beresi,182,Sergio Lehmann Beresi,CONTEXTO_REVISADO,,RPM-2005-03-10:T30,SIN_CONTINUIDAD_CONFIRMADA,CARGO_EN_DISCURSO_POR_VERIFICAR,"El Gerente de Análisis Financiero, señor Sergio Lehmann, estima que es importante también poner sobre el tapete de la discusión algo que se mencionó en la reunión de la mañana que se refiere al balance de riesgo, que, al menos, desde el punto de vista de la División Internacional, es más bien negativo, desde el punto de vista de la inflación externa que, al parecer, puede presentar algunas presiones en ese sentido, así como también en lo referente al precio del petróleo, y por lo tanto, desde el punto de vista de la estrategia táctica habría que tomar en consideración esos escenarios de manera de no aparecer también sobrerreaccionando."
SOLO_METADATOS,264,f231d358e8696661d84e781d491c3c203cb72dfc51b5d624e3cda06e5c7d44be,2005-05-12,306,Rodrigo Valdés Pulido,306,Rodrigo Valdés Pulido,CONTEXTO_REVISADO,,RPM-2005-05-12:T42,SIN_CONTINUIDAD_CONFIRMADA,,"Al respecto, el señor Gerente de División señala que: 1. En la reunión de política monetaria de abril, el Consejo decidió aumentar la tasa de interés de política en 25 puntos base a 3%. En esta decisión se consideró que, más allá de cierta volatilidad en la inflación mensual, provocada por los aumentos en el precio internacional del petróleo, las distintas mediciones de la tendencia inflacionaria seguían aumentando gradualmente. Por su parte, el gasto interno continuaba exhibiendo una expansión robusta, mientras el crecimiento de la actividad mostraba una intensidad un poco menor que en trimestres pasados. Este escenario era apoyado por condiciones monetarias en Chile que continuaban siendo claramente expansivas y por un entorno internacional favorable, pero cuyos riesgos se habían incrementado. 2. Los antecedentes acumulados desde la última reunión muestran que las condiciones externas se mantienen favorables, aunque al igual que el mes pasado se aprecian focos de incertidumbre más marcados. Los precios del petróleo y del cobre han descendido marginalmente en las últimas semanas desde sus elevados niveles, pero dentro de lo esperado en el escenario central del mes pasado. 3. Respecto de las condiciones internas, el crecimiento de la actividad sigue siendo sólido, por encima del PIB de tendencia, aunque con bastante diversidad sectorial y confirmando un ritmo de expansión menos intenso que durante el primer semestre del 2004. Sorprendió la debilidad relativa del crecimiento industrial, que se ha compensado con el mayor empuje de comercio y construcción. La demanda interna ha seguido creciendo a tasas elevadas, con una inversión fija que sigue expandiéndose con vigor y aparentemente con mayor acumulación de inventarios y crecimiento del consumo. Las cifras del mercado laboral han vuelto a mostrar mayor fortaleza. Los indicadores de expectativas han decaído algo, pero se mantienen positivos para empresas y algo por debajo del nivel neutral para las familias, probablemente influidos por las noticias del sector energía. 4. Las condiciones financieras internas siguen siendo claramente expansivas, lo que se aprecia en el alto crecimiento de los agregados de crédito y dinero. Cabe destacar, además, la disminución adicional de las tasas de interés en UF de mediano y largo plazo. 5. Con respecto a los precios, la inflación mensual del IPC resultó dos décimas por encima de lo proyectado, mientras que el IPCX1 estuvo dos décimas por debajo. A pesar de esto último, la mayoría de las medidas de la tendencia de la inflación sigue aumentando gradualmente. El aumento de los salarios, por su parte, se compensa con la mayor productividad del trabajo. Las medidas de inflación esperada a distintos plazos se ubican cerca de 3%, con la compensación inflacionaria a 5 y 10 años por sobre esa cifra. 6. De acuerdo con las proyecciones preparadas para el Informe de Política Monetaria, el cuadro de progresivo cierre de brechas y aumento gradual de la tendencia inflacionaria continuará en los próximos trimestres. La propagación del shock del precio del petróleo y la utilización de las holguras de capacidad —que se copan hacia fines del horizonte de proyección— explican el aumento esperado de la tendencia inflacionaria. En particular, se proyecta que el PIB crezca 5,7% este año y 5,5% el próximo, mientras que la inflación se proyecta en 2,5% a 12 meses y en 3,2% a 24 meses, en una trayectoria convergente a 3%. Todo ello bajo el supuesto de trabajo de un aumento gradual de la tasa de política monetaria. Suponiendo que se mantiene fija la tasa de política monetaria hasta el segundo semestre, ello involucraría aumentos sucesivos (en todas las reuniones) durante dos a tres trimestres, para recién después seguir un patrón pausado."
SOLO_METADATOS,265,ef5431b707bc183d7206a53c4b741660d3f6322ea48bcdc4e308d169d2d3aeb2,2005-05-12,307,Rodrigo Valdés Pulido,307,Rodrigo Valdés Pulido,CONTEXTO_REVISADO,,RPM-2005-05-12:T43,SIN_CONTINUIDAD_CONFIRMADA,,"7. Con estos antecedentes, las opciones que parecen más plausibles para esta reunión son aumentar la tasa de política monetaria en 25 puntos base o mantenerla en su nivel actual. 8. La principal justificación para aumentar la tasa de política monetaria es el escenario central de proyecciones. En efecto, este cuadro incluye una normalización pausada de la política monetaria, necesaria para mantener una convergencia de la inflación a 3% en el horizonte de política, convergencia que en este caso incluso se proyecta que ocurrirá algo más allá del horizonte de política. La necesidad de normalización refleja que la política monetaria es todavía claramente expansiva y que las holguras de actividad se copan en los próximos dos años. Aunque siempre es posible postergar esta normalización de la tasa de política monetaria, en el escenario central ello involucra que hacia delante sea más difícil tener pausas y eleva el riesgo de tener que realizar movimientos más abruptos en el futuro. 9. Considerando que la acumulación de antecedentes mes a mes es un elemento fundamental para definir el ritmo preciso de los ajustes de la tasa de política monetaria, cabe mencionar el elevado aumento del IPC (aunque explicado por el mayor precio del petróleo), las mayores expectativas de inflación, la expansión del gasto interno, la fortaleza del empleo y el crecimiento de los distintos agregados monetarios y de crédito como factores que podrían hacer recomendable no postergar un aumento de la tasa de política monetaria. 10. Al mismo tiempo, es posible justificar mantener la tasa de política monetaria en esta reunión, considerando los escenarios de riesgo que se enfrentan y que sesgan su balance hacia abajo en el caso del crecimiento. En particular, la aparente mayor acumulación de inventarios (suponiendo que es no deseada), la relativa concentración del crecimiento de la actividad en algunos sectores específicos, el cambiante escenario internacional y la eventualidad de que la magnitud y/o los efectos de los recortes de gas y el incremento del precio del petróleo sobre la producción y la demanda privada sean más negativos de lo previsto, son todos factores que podrían retrasar el cierre de holguras y demorar la convergencia de la tendencia inflacionaria al 3%. Estas consideraciones modifican en algo la importancia del riesgo de aumentar la tasa de política monetaria y luego tener que pausar de manera relativamente prolongada, respecto del riesgo de tener que realizar ajustes más abruptos en el futuro si se decide mantener la tasa de política monetaria en esta ocasión. 11. Además de los factores de riesgo, se debe mencionar la nula variación mensual del IPCX1 y los datos de actividad del último mes, en particular de industria, y la disminución de la confianza de los hogares como antecedentes coyunturales que apoyarían la mantención. 12. Finalmente, cabe destacar que para esta reunión existe una expectativa mayoritaria de aumento de 25 puntos base, por lo que un ajuste de esta magnitud no debería tener consecuencias mayores sobre los precios de los activos y las perspectivas futuras de política monetaria. Dada esta expectativa, cabe considerar cómo se entendería la mantención de la tasa de política monetaria. Un riesgo es que se interprete como que el Banco Central de Chile tiene una evaluación más negativa de la coyuntura real, elemento que si bien está presente en los escenarios alternativos, no lo está tan claramente en el escenario central. El riesgo opuesto es que un alza consecutiva de la tasa de política monetaria sea entendida como un endurecimiento de la trayectoria más probable de la política monetaria, más allá de lo considerado en las proyecciones. Aunque ambos riesgos pueden aminorarse con una redacción cuidadosa del comunicado, este segundo riesgo parece ser más fácil de acotar a través de ese medio."
SOLO_METADATOS,458,500eca88f7b96f8f480a11bfa4da516aa463898b301b5ce6ba7f7fc2196ebe97,2005-11-10,557,Pablo García Silva,557,Pablo García Silva,CONTEXTO_REVISADO,,RPM-2005-11-10:T9,SIN_CONTINUIDAD_CONFIRMADA,,"El señor Gerente responde que, efectivamente la inflación subyacente ha estado más baja de lo proyectado."
SOLO_METADATOS,506,aa7efe74ac2d46954631ae46ff00e6e104e89ba5ee2472c0278c735030ba48b0,2005-12-13,608;609;610;611;612;613;614;615;616;617,Vittorio Corbo Lioi;Sergio Lehmann Beresi;Vittorio Corbo Lioi;Pablo García Silva;Vittorio Corbo Lioi;Sergio Lehmann Beresi;Nicolás Eyzaguirre Guzmán;Sergio Lehmann Beresi;Jorge Desormeaux Jiménez;Vittorio Corbo Lioi,608,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,,RPM-2005-12-13:T2,INICIO_EXPLICITO,,"El Presidente señor Vittorio Corbo señala que en esta oportunidad, como le ha informado el Gerente de División Estudios, señor Rodrigo Valdés, el Gerente de Análisis Internacional, señor Sergio Lehmann Beresi hará la exposición del análisis del escenario internacional y posteriormente el Gerente de Análisis Macroeconómico, señor Pablo García efectuará la exposición del escenario nacional. En consideración a lo anterior, el Presidente señor Vittorio Corbo ofrece la palabra al Gerente de Análisis Internacional, señor Sergio Lehmann Beresi. II."
SOLO_METADATOS,506,aa7efe74ac2d46954631ae46ff00e6e104e89ba5ee2472c0278c735030ba48b0,2005-12-13,608;609;610;611;612;613;614;615;616;617,Vittorio Corbo Lioi;Sergio Lehmann Beresi;Vittorio Corbo Lioi;Pablo García Silva;Vittorio Corbo Lioi;Sergio Lehmann Beresi;Nicolás Eyzaguirre Guzmán;Sergio Lehmann Beresi;Jorge Desormeaux Jiménez;Vittorio Corbo Lioi,609,Sergio Lehmann Beresi,ANAFORA_LOCAL,,RPM-2005-12-13:T3,SIN_CONTINUIDAD_CONFIRMADA,ATRIBUCION_POR_ANAFORA;FINAL_SIN_PUNTUACION,"Exposición El señor Gerente señala que, respecto al escenario internacional, mirando los eventos del último mes, éste se muestra más favorable de lo que se veía hace un mes atrás. En particular, se observa que la proyección de crecimiento mundial se ha revisado al alza, fundamentalmente por indicadores de actividad en economías desarrolladas que han sido positivos durante el mes, y cifras efectivas de expansión, en particular para la zona Euro y Japón, mejores a lo que se anticipaba. Por su parte, la trayectoria del precio del cobre ha sido más elevada de lo que se preveía mientras que el precio del petróleo ha disminuido levemente durante este mes. Por lo tanto, los términos de intercambio, han exhibido una evolución positiva durante las últimas semanas. Por otro lado, se ha atenuado la preocupación por la inflación en economías desarrolladas, esto fundamentalmente ante reducciones en los precios de combustibles que han llevado a niveles de inflación algo más bajos en las principales economías desarrolladas. Ello ha contribuido a que las tasas de interés internacionales a largo plazo hayan disminuido, aunque en el margen. Agrega el Gerente señor Lehmann, que se mantienen las expectativas de alza de TPM en Estados Unidos de América. El BCE, por su parte, ha subido su tasa de política monetaria por primera vez en dos años. En este contexto, las condiciones financieras externas se han mantenido favorables, sumándose a la disminución marginal en las tasas de interés de largo plazo una evolución general positiva de los spreads soberanos. Asimismo, indica el señor Gerente, los riesgos se habrían atenuado. Destaca los menores registros de inflación de economías desarrolladas que han disminuido las preocupaciones de incrementos más acelerados de las tasas de interés internacionales, aunque de todas maneras se mantiene como un factor de riesgo. También se ha reducido el riesgo respecto de un ajuste en el crecimiento mundial producto de mayores precios del petróleo. Esto, primero, ante la evidencia que la economía mundial no se ha desacelerado no obstante los elevados precios de combustibles y, segundo, debido a que ante la estabilidad mostrada por el precio del petróleo las preocupaciones respecto de su evolución se han reducido. Hace presente también, que respecto a datos particulares, en especial para Estados Unidos de América, se aprecia que la confianza de los consumidores ha tenido una evolución positiva durante el último mes. Respecto al índice ISM, de Gerentes de Compra, se visualiza una perspectiva positiva tanto para el sector manufacturero como no manufacturero. Indica que en cuanto al empleo, éste ha mantenido una trayectoria positiva. La creación de nuevos puestos de trabajo sigue relativamente sólida. En el mismo sentido, las solicitudes de beneficio de desempleo se han mostrado por debajo de los niveles habituales, lo cual es consistente con lo señalado anteriormente, en cuanto a que el empleo en los Estados Unidos de América se mantiene sólido. Respecto a producción industrial y ventas minoristas, es posible señalar que, descontando los efectos de huracanes durante septiembre, se ha retomado una trayectoria positiva. Señala el Gerente señor Lehmann, que un tema importante que ha recogido cierta atención en el último tiempo se refiere al sector inmobiliario. Al respecto, señala que las ventas de viviendas han seguido mostrando una trayectoria positiva, sobre todo lo referente a viviendas nuevas. Sin embargo en cuanto a precios, indica que existe una atenuación en el ritmo de expansión y eso, determinando un riesgo algo menor respecto de un ajuste abrupto en este sector. En relación al clima negocios en la zona Euro, se aprecia que éstos han mejorado en el margen, particularmente en el caso de Francia e Italia; y en el caso de Alemania mostró una pequeña reversión en el último mes, pero en general la tendencia durante este año ha sido positiva. Respecto al índice de percepciones de gerente de compras, se observa una situación similar, tanto para los sectores de manufacturas y servicios. Sin embargo, el principal punto de debilidad en la zona Euro es la confianza de consumidores, que se ha mantenido relativamente negativa, dando cuenta de una demanda interna que se ha mantenido débil, lo que ha continuado durante el último mes. Señala que en Japón, por su parte, los indicadores de El señor Lehmann hace presente, que en términos globales, las proyecciones de crecimiento muestran revisiones al alza tanto en los países desarrollados como en algunas regiones emergentes, y eso determina que el crecimiento mundial sería una décima más alta de lo que se preveía hace un mes atrás, tanto para el 2005 como para el 2006. Sin embargo, destaca que en el caso de América Latina, dado el crecimiento negativo de Brasil para el tercer trimestre y menor al esperado en el caso de México, su expansión sería algo menos de lo que se proyectaba. Atenúa esta revisión el alza en el crecimiento esperado de Argentina. Indica también, que en relación a commodities, el precio del cobre ha mantenido al alza. Al respecto, señala que la trayectoria sería algo más elevada de lo que se veía en noviembre. Agrega, asimismo, que el precio del molibdeno también ha mostrado una trayectoria positiva, destacando particularmente la evolución durante este año, en que se ha mantenido sobre US$ 30 la libra, casi diez veces por sobre su promedio histórico. En cuanto a proyecciones del precio del cobre, el promedio para 2005, terminaría en torno a US$ 167 centavos la libra. Lo anterior, suponiendo que se mantendrían estables durante diciembre los precios actuales para el cobre, que se sitúan en torno a US$ 208 centavos la libra. Para el próximo año, se observa una revisión al alza, de algo menos de 10 centavos. Señala que los desarrollos más recientes, no obstante, podrían llevar a nuevos aumentos en la cifra proyectada para el próximo año. En lo que dice relación con el precio del petróleo, éste se ha mantenido relativamente estable en torno a US$ 60 el barril aproximadamente. Los movimientos en términos de precios futuros respecto a los que se apreciaba en noviembre son bastante marginales, levemente hacia abajo. Respecto a proyecciones, 2005 cerraría con un precio cercano a US$ 56 el barril. Para el próximo año se prevé un precio similar, suponiendo una trayectoria levemente decreciente en los próximos meses. Agrega, que la lectura para el 2006, se encuentra por debajo de lo que se preveía en noviembre, cuando aún estaba influenciado por la situación derivada de los huracanes en Estados Unidos de América. Respecto al precio de la gasolina, indica el señor Gerente, que en línea con el precio del petróleo, así como también el hecho que se hayan solucionado los problemas de refinación en el Golfo de México, ha mostrado una trayectoria hacia la baja. Más en el margen, en el mercado de Estados Unidos de América, ha mostrado un alza, que tendría asociada un componente de estacionalidad. Sin perjuicio de lo anterior, el señor Gerente señala que la trayectoria en general es más bien tranquilizadora. En línea con ello, la evolución de los inventarios de combustibles para calefacción, muestra una leve recuperación, lo que es importante en consideración del invierno que comienza a enfrentar el hemisferio norte. En cuanto a inflación internacional, tras las alzas derivadas del aumento en el precio de la gasolina, ha mostrado una reversión. La inflación Core en Estados Unidos de América, medida tanto por PCE como por IPC muestran una estabilidad en torno a 2%. En el caso de la zona Euro, se aprecia un comportamiento similar, es decir, IPC aumentando, pero la inflación Core se ha mantenido relativamente estable, en este caso, algo por debajo de 1,5%. En cuanto a expectativas para la política monetaria, tanto en Estados Unidos de América como en Europa, el Gerente señor Lehmann señala que, en general, no hay cambios significativos en el último mes. En Estados Unidos de América se aprecia un leve movimiento de la curva hacia abajo. Lo anterior, ante el cambio de lenguaje que se desprende del acta de la última reunión de política monetaria de la FED, pero se mantiene la expectativa de cerrar el próximo año en 4,75%, que de hecho se alcanzaría más bien hacia fines del primer semestre. En el caso de Europa, la trayectoria es muy similar a la observada hace un mes, que ya descontaba un aumento de 25 puntos base para la última reunión. Agrega, que en la curva de rendimiento, respecto al IPoM se aprecia un aumento significativo, pero marginalmente hacia la baja en el último mes, ante las menores preocupaciones respecto de la inflación, tanto en Estados Unidos"
