ID_Padre,Tipo,SHA256_Texto_Padre,Version,ID,Id_Sesion,Fecha,Actor_Original,Actor_Final,Actor_Corregido,Rol_Fuente,Rol_Final,Rol_Corregido,Rol_Detectado_Texto,Rol_Lista_Asistencia,Fuente_Rol,Tipo_Acta,Fuente_Actor,Página,Texto,Tema_Original,Tema_Categoria,Palabra_Clave_Original,Palabra_Clave_Categoria,Texto_Truncado,Duplicado_Exacto,Duplicado_Formula,Nota,ID_Intervencion,Numero_Segmento,Fuente_Texto,Duplicado_Exacto_Origen,Duplicado_Formula_Origen,ID_Bloque_Texto,Estado_Revision,Motivos_Revision,ID_Turno,Relacion_Turno,ID_Antecedente_Continuidad,ID_Ancla_Actor
3071,AUTOR_Y_LECTOR_DOCUMENTAL,b568e2b93660472ff2c5356701f764426fff11720b5fa3480d1c9c4adb7e68ea,Antes,4578,RPM-2010-04-15,2010-04-15 00:00:00,Felipe Larraín Bascuñán,José De Gregorio Rebeco,SI,Ministro de Hacienda,Presidente del Banco Central,SI,,Presidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_SESION,18,"El Presidente agradece los comentarios del Gerente de División Estudios y, a continuación, debido a la imposibilidad del Ministro de Hacienda, señor Felipe Larraín, de asistir a la sesión de la tarde, da lectura a los comentarios que hizo llegar a través de su asesor, señor Rodrigo Cerda: ""La cifra de inflación de marzo de 0,1% mensual (y 0,3% en 12 meses) constituyó na muy buena noticia para los chilenos. Las alzas en educación y alimentos fueron contrarrestadas por las caídas en transporte y recreación y cultura. El IPCX aumentó 0,1% ensual y el IPCX1 no tuvo variación.Estas cifras sugieren que la inflación está aún acotada. Es cierto que para abril se esperan presiones inflacionarias, tanto por las alzas en los combustibles así como por el aumento de precios en el Transantiago, pero eso no cambia el escenario de onda para la inflación. Además, de acuerdo con la Encuesta de Expectativas Económicas de abril, las expectativas de inflación continúan dentro del rango de tolerancia del Banco Central. Así, la inflación esperada para 2010 es de un 3,7%, igual a la proyectada en el IPoM, mientras que para 2011 las expectativas no han cambiado tras el terremoto y continúan ancladas en el 3%, lo que confirma la visión de que el mercado ve el shock como transitorio y con efectos únicamente en 2010. Además, las expectativas de inflación usando tasas de mercado (TAB a 360 días) arrojan un valor de 2,5%. De la misma manera, al usar las tasas de los BCP y BCU a 5 años, las expectativas de inflación alcanzan un 3,3%. De estos datos se desprende que las expectativas de inflación siguen contenidas, incluso a plazos más largos. La evolución de otros precios claves, como el tipo de cambio y los salarios nominales, nos entregan otra señal de que la inflación se encuentra contenida. Por una parte, durante febrero los salarios nominales crecieron 2,6% en 12 meses, mientras que el costo de la mano de obra lo hizo en 3,2%. Por su parte, el peso se ha apreciado desde el cierre de fines de febrero. Actualmente, el tipo de cambio se ubica en tomo a los $520, lo que representa una caída de 1,8% respecto de dicha fecha. Por otra parte, el mercado ha intemalizado los escenarios delineados en el IPoM, en que la tasa de crecimiento del PIB sufre un leve deterioro este año y tiende a recuperarse el próximo. Estos escenarios tienen supuestos sobre la política fiscal que, en lo grueso, son concordantes con nuestra visión. Si bien la demanda agregada se ve muy impulsada por los esfuerzos de reconstrucción, es importante destacar que el mayor incremento en la demanda debería venir por el lado de la inversión y no tanto de consumo, por lo que la presión sobre los precios de los bienes no transables debería no ser tan intensa por este mecanismo. Si a eso le sumamos que desde la última Reunión de Política Monetaria tanto las perspectivas de crecimiento mundial así como los precios de los commodities no han cambiado significativamente, por el momento creemos que los efectos inflacionarios vía este canal de transmisión son también acotados. Por estas razones, como Ministerio de Hacienda creemos que lo más adecuado es mantener la tasa de política monetaria en su nivel actual.” Finalizada la lectura de los comentarios del señor Ministro de Hacienda, el señor Presidente da paso a la votación.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Presidente del Banco Central,RPM-2010-04-15:3071:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3071:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-04-15:T73,INICIO_EXPLICITO,,RPM-2010-04-15:3071:1
3071,AUTOR_Y_LECTOR_DOCUMENTAL,b568e2b93660472ff2c5356701f764426fff11720b5fa3480d1c9c4adb7e68ea,Despues,4578,RPM-2010-04-15,2010-04-15 00:00:00,Felipe Larraín Bascuñán,José De Gregorio Rebeco,SI,Ministro de Hacienda,Presidente del Banco Central,SI,,Presidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_SESION,18,El Presidente agradece los comentarios del Gerente de División Estudios,Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Rol según lista de asistencia: Presidente del Banco Central,RPM-2010-04-15:3071:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3071:B1,PENDIENTE_REVISION,FINAL_SIN_PUNTUACION,RPM-2010-04-15:T73,INICIO_EXPLICITO,,RPM-2010-04-15:3071:1
3071,AUTOR_Y_LECTOR_DOCUMENTAL,b568e2b93660472ff2c5356701f764426fff11720b5fa3480d1c9c4adb7e68ea,Despues,4579,RPM-2010-04-15,2010-04-15 00:00:00,Felipe Larraín Bascuñán,José De Gregorio Rebeco,SI,Ministro de Hacienda,Presidente del Banco Central,SI,,Presidente del Banco Central,LISTA_ASISTENCIA,,LECTOR_DOCUMENTO_REVISADO,18,"y, a continuación, debido a la imposibilidad del Ministro de Hacienda, señor Felipe Larraín, de asistir a la sesión de la tarde, da lectura a los comentarios que hizo llegar a través de su asesor, señor Rodrigo Cerda:",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Lectura documental DOC-20260908-L26-3071: autor=Felipe Larraín Bascuñán; lector=José De Gregorio Rebeco; asistencia del autor no inferida; data/curation/revisiones_documentos_leidos.json; Rol según lista de asistencia: Presidente del Banco Central,RPM-2010-04-15:3071:2,2,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3071:B2,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-04-15:T74,SIN_CONTINUIDAD_CONFIRMADA,,
3071,AUTOR_Y_LECTOR_DOCUMENTAL,b568e2b93660472ff2c5356701f764426fff11720b5fa3480d1c9c4adb7e68ea,Despues,4580,RPM-2010-04-15,2010-04-15 00:00:00,Felipe Larraín Bascuñán,Felipe Larraín Bascuñán,NO,Ministro de Hacienda,Ministro de Hacienda,NO,,,CARGO_DOCUMENTAL_REVISADO,OPINION_ESCRITA,DOCUMENTO_ESCRITO_REVISADO,18,"""La cifra de inflación de marzo de 0,1% mensual (y 0,3% en 12 meses) constituyó na muy buena noticia para los chilenos. Las alzas en educación y alimentos fueron contrarrestadas por las caídas en transporte y recreación y cultura. El IPCX aumentó 0,1% ensual y el IPCX1 no tuvo variación.Estas cifras sugieren que la inflación está aún acotada. Es cierto que para abril se esperan presiones inflacionarias, tanto por las alzas en los combustibles así como por el aumento de precios en el Transantiago, pero eso no cambia el escenario de onda para la inflación. Además, de acuerdo con la Encuesta de Expectativas Económicas de abril, las expectativas de inflación continúan dentro del rango de tolerancia del Banco Central. Así, la inflación esperada para 2010 es de un 3,7%, igual a la proyectada en el IPoM, mientras que para 2011 las expectativas no han cambiado tras el terremoto y continúan ancladas en el 3%, lo que confirma la visión de que el mercado ve el shock como transitorio y con efectos únicamente en 2010. Además, las expectativas de inflación usando tasas de mercado (TAB a 360 días) arrojan un valor de 2,5%. De la misma manera, al usar las tasas de los BCP y BCU a 5 años, las expectativas de inflación alcanzan un 3,3%. De estos datos se desprende que las expectativas de inflación siguen contenidas, incluso a plazos más largos. La evolución de otros precios claves, como el tipo de cambio y los salarios nominales, nos entregan otra señal de que la inflación se encuentra contenida. Por una parte, durante febrero los salarios nominales crecieron 2,6% en 12 meses, mientras que el costo de la mano de obra lo hizo en 3,2%. Por su parte, el peso se ha apreciado desde el cierre de fines de febrero. Actualmente, el tipo de cambio se ubica en tomo a los $520, lo que representa una caída de 1,8% respecto de dicha fecha. Por otra parte, el mercado ha intemalizado los escenarios delineados en el IPoM, en que la tasa de crecimiento del PIB sufre un leve deterioro este año y tiende a recuperarse el próximo. Estos escenarios tienen supuestos sobre la política fiscal que, en lo grueso, son concordantes con nuestra visión. Si bien la demanda agregada se ve muy impulsada por los esfuerzos de reconstrucción, es importante destacar que el mayor incremento en la demanda debería venir por el lado de la inversión y no tanto de consumo, por lo que la presión sobre los precios de los bienes no transables debería no ser tan intensa por este mecanismo. Si a eso le sumamos que desde la última Reunión de Política Monetaria tanto las perspectivas de crecimiento mundial así como los precios de los commodities no han cambiado significativamente, por el momento creemos que los efectos inflacionarios vía este canal de transmisión son también acotados. Por estas razones, como Ministerio de Hacienda creemos que lo más adecuado es mantener la tasa de política monetaria en su nivel actual.”",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Lectura documental DOC-20260908-L26-3071: autor=Felipe Larraín Bascuñán; lector=José De Gregorio Rebeco; asistencia del autor no inferida; data/curation/revisiones_documentos_leidos.json,RPM-2010-04-15:3071:3,3,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3071:B3,PENDIENTE_REVISION,TEXTO_DANADO_POR_COTEJAR;TEXTO_ESCRITO_LEIDO_POR_TERCERO,RPM-2010-04-15:T75,DOCUMENTO_PERSONAL,,
3071,AUTOR_Y_LECTOR_DOCUMENTAL,b568e2b93660472ff2c5356701f764426fff11720b5fa3480d1c9c4adb7e68ea,Despues,4581,RPM-2010-04-15,2010-04-15 00:00:00,Felipe Larraín Bascuñán,José De Gregorio Rebeco,SI,Ministro de Hacienda,Presidente del Banco Central,SI,,Presidente del Banco Central,LISTA_ASISTENCIA,,LECTOR_DOCUMENTO_REVISADO,18,"Finalizada la lectura de los comentarios del señor Ministro de Hacienda, el señor Presidente da paso a la votación.",Acuerdo de Política Monetaria y comunicado oficial,acuerdo_comunicado,acuerdo y comunicado,acuerdo_comunicado,NO,NO,NO,Lectura documental DOC-20260908-L26-3071: autor=Felipe Larraín Bascuñán; lector=José De Gregorio Rebeco; asistencia del autor no inferida; data/curation/revisiones_documentos_leidos.json; Rol según lista de asistencia: Presidente del Banco Central,RPM-2010-04-15:3071:4,4,XLSX_ORIGINAL,NO,NO,RPM-2010-04-15:3071:B4,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-04-15:T76,SIN_CONTINUIDAD_CONFIRMADA,,
3092,RESEGMENTACION,fe0a559921472211e18aa9e6a31c2636258f094267976176950547a9478289d8,Antes,4603,RPM-2010-05-13,2010-05-13 00:00:00,Manuel Marfán Lewis,Manuel Marfán Lewis,NO,Vicepresidente del Banco Central,Vicepresidente del Banco Central,NO,,Vicepresidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,8,"El Vicepresidente, señor Manuel Marfán, comenta el anuncio del contundente plan de ajuste fiscal en España que, entre otros, congela los reajustes de pensiones y reduce los beneficios a las mujeres que trabajan y tienen niños. Al respecto, señala estar seguro que ninguno de los grupos que está de contraparte de esas medidas se siente responsable de los problemas en que están comprometidos y que, por lo tanto, no tienen claro por qué tienen que pagar la cuenta. Cita el caso de los disturbios que hubo en Grecia que, en su opinión, no fueron tan graves, porque allí no estaba tan claro cuáles eran las medidas que tenían que adoptar y quién era el que pagaba la cuenta, pero que sí tiene la impresión que puede haber un problema de disrupción social y política, que puede afectar, de alguna manera, la viabilidad y la legitimidad de los anuncios que, a su juicio, son técnicamente correctos. Agrega que en Alemania también reina la sensación de por qué razón hay que pagar la indisciplina de otros, ya que ello forma parte de lo que la Canciller de ese país, Angela Merkel, expresaba con su negativa y conservadurismo anterior. Dado lo anterior, expresa que podría haber algún elemento posterior a los anuncios que puedan afectar la credibilidad de su puesta en marcha. Como antecedente, el Consejero señor Rodrigo Vergara cita una encuesta que arrojó que el 65% de los españoles rechazaron tales anuncios.",Situación fiscal y coordinación macroeconómica,politica_fiscal,política fiscal,politica_fiscal,NO,NO,NO,Rol según lista de asistencia: Vicepresidente del Banco Central,RPM-2010-05-13:3092:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-05-13:3092:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-05-13:T16,INICIO_EXPLICITO,,RPM-2010-05-13:3092:1
3092,RESEGMENTACION,fe0a559921472211e18aa9e6a31c2636258f094267976176950547a9478289d8,Despues,4606,RPM-2010-05-13,2010-05-13 00:00:00,Manuel Marfán Lewis,Manuel Marfán Lewis,NO,Vicepresidente del Banco Central,Vicepresidente del Banco Central,NO,,Vicepresidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,8,"El Vicepresidente, señor Manuel Marfán, comenta el anuncio del contundente plan de ajuste fiscal en España que, entre otros, congela los reajustes de pensiones y reduce los beneficios a las mujeres que trabajan y tienen niños. Al respecto, señala estar seguro que ninguno de los grupos que está de contraparte de esas medidas se siente responsable de los problemas en que están comprometidos y que, por lo tanto, no tienen claro por qué tienen que pagar la cuenta. Cita el caso de los disturbios que hubo en Grecia que, en su opinión, no fueron tan graves, porque allí no estaba tan claro cuáles eran las medidas que tenían que adoptar y quién era el que pagaba la cuenta, pero que sí tiene la impresión que puede haber un problema de disrupción social y política, que puede afectar, de alguna manera, la viabilidad y la legitimidad de los anuncios que, a su juicio, son técnicamente correctos. Agrega que en Alemania también reina la sensación de por qué razón hay que pagar la indisciplina de otros, ya que ello forma parte de lo que la Canciller de ese país, Angela Merkel, expresaba con su negativa y conservadurismo anterior. Dado lo anterior, expresa que podría haber algún elemento posterior a los anuncios que puedan afectar la credibilidad de su puesta en marcha.",Situación fiscal y coordinación macroeconómica,politica_fiscal,política fiscal,politica_fiscal,NO,NO,NO,Rol según lista de asistencia: Vicepresidente del Banco Central,RPM-2010-05-13:3092:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-05-13:3092:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-05-13:T16,INICIO_EXPLICITO,,RPM-2010-05-13:3092:1
3092,RESEGMENTACION,fe0a559921472211e18aa9e6a31c2636258f094267976176950547a9478289d8,Despues,4607,RPM-2010-05-13,2010-05-13 00:00:00,Manuel Marfán Lewis,Rodrigo Vergara Montes,SI,Vicepresidente del Banco Central,Consejero,SI,,Consejero,LISTA_ASISTENCIA,,CONTEXTO_REVISADO,8,"Como antecedente, el Consejero señor Rodrigo Vergara cita una encuesta que arrojó que el 65% de los españoles rechazaron tales anuncios.",Situación fiscal y coordinación macroeconómica,politica_fiscal,política fiscal,politica_fiscal,NO,NO,NO,Hablante por contexto documentado: HAB-20260908-L26-3092-1273 (data/curation/revisiones_hablantes.json; no cotejo PDF); Rol según lista de asistencia: Consejero,RPM-2010-05-13:3092:2,2,XLSX_ORIGINAL,NO,NO,RPM-2010-05-13:3092:B2,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-05-13:T17,SIN_CONTINUIDAD_CONFIRMADA,,
3575,AUTOR_Y_LECTOR_DOCUMENTAL,aecdcd1b0e277b790d9ad96bfb245997eed3c78ae18df2bd260aae5bd0a24be9,Antes,5274,RPM-2010-11-16,2010-11-16 00:00:00,José De Gregorio Rebeco,José De Gregorio Rebeco,NO,Presidente del Banco Central,Presidente del Banco Central,NO,,Presidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,20,"El Presidente señor José De Gregorio agradece la presentación del Gerente de División Estudios señor Luis Óscar Herrera, e informa que el Ministro de Hacienda señor Felipe Larraín, por intermedio de su Asesor señor Rodrigo Cerda, le ha hecho llegar su planteamiento, al que dará lectura a continuación. “La cifra de inflación de octubre de 0,1% mensual y 2,0% en 12 meses fue levemente menor a lo esperado por el mercado. En el resultado del mes destacaron las alzas en diversas frutas y verduras, en el gas licuado y la electricidad. Por otro lado, se registraron caídas generalizadas en la división de prendas de vestir y calzado, así como en los servicios de bus y tren interurbano y transporte aéreo, producto de la alta base de comparación relacionada a las celebraciones de fiestas patrias. También se registraron caídas importantes en diversos precios de equipos tecnológicos, relacionado a las políticas comerciales de las empresas que ofrecen mayores descuentos en la medida que realizan la renovación de sus stocks a un dólar menor. Tanto el IPCX como el IPCX1 registraron una variación mensual de -0.1%, con lo que las mediciones en 12 meses se ubican en 1,5% y -0,5% respectivamente. Es importante destacar el hecho de que aunque la inflación acumulada a octubre de 2010 es de 2,8%, el IPCX1 lleva acumulado apenas 0,1% en este período, lo que confirma el hecho de que el alza en la inflación durante este año se debe más bien a fenómenos puntuales y no existe un alza de precios generalizada. En consecuencia, las cifras han revelado en forma consistente que las presiones inflacionarias se encuentran contenidas. Esta visión se confirma al observar la Encuesta de Expectativas Económicas de noviembre, en que las expectativas de inflación se encuentran perfectamente ancladas dentro del rango de tolerancia del Banco Central y más aun, han llegado al centro de dicho rango. Así, la inflación esperada para 2010 pasa a 3,0% desde 3,1% en la encuesta de octubre y 3,3% en la de septiembre, mientras que para 2011 las expectativas ubican la cifra en 3,2%. Además, las expectativas de inflación usando tasas de mercado (BCP y BCU a 5 años) arrojan un valor de 3,0%. De estos datos se desprende que las expectativas de inflación están perfectamente ancladas a plazos más largos. En septiembre las remuneraciones crecieron 4,2% en 12 meses, mientras que el costo de la mano de obra lo hizo en 5,1%. En términos mensuales aumentaron 0,7% y 1,0% respectivamente. Por otra parte, el peso ha mantenido su valor respecto al dólar desde la reunión de octubre. En el corto plazo, parece difícil revertir la apreciación del peso chileno, en especial considerando que en Chile el proceso de normalización de la política monetaria está en plena marcha, mientras que en Estados Unidos la FED no sólo ha reiterado el compromiso de mantener la tasa en niveles excepcionalmente bajos por un período de tiempo prolongado, sino que en su última reunión decidió proveer estímulo adicional inyectando 600.000 millones de dólares adicionales a la economía de Estados Unidos mediante compras de bonos del Tesoro de largo plazo. En términos de actividad económica, el IMACEC de septiembre volvió a mostrar un importante aumento interanual, esta vez de 6,5%. El efecto de la baja base de comparación se va diluyendo en forma gradual y ésta se hará más exigente en el último trimestre del año. El mercado laboral continúa mostrando un fuerte dinamismo, con una creación de más de 280 mil empleos desde el trimestre enero-marzo. De esta manera, el elevado crecimiento económico se va configurando como un fenómeno persistente más que puntual. En el frente externo, la cifra de empleo del mes de octubre arrojó una creación mensual de 151 mil empleos en Estados Unidos, tras 4 meses consecutivos de caídas. Sin embargo, la tasa de desempleo se encuentra aún muy elevada, superior en más de 3% a los niveles pre-crisis. En Europa las cifras económicas muestran un lento proceso de recuperación y subsiste aún cierta incertidumbre que se ha acentuado en los últimos días con señales de un ajuste macroeconómico importante en Irlanda. El Ministerio de Hacienda procura evitar efectos indeseables de la política económica sobre variables como el tipo de cambio, la tasa de interés y la inflación. En este contexto, creemos que lo más adecuado es continuar con un proceso gradual de normalización de la política monetaria para evitar en el futuro ajustes bruscos en la tasa de interés que signifiquen un freno importante a la actividad.” Al proseguir con la Reunión, el Presidente señor José De Gregorio da paso a la votación, concediéndole la palabra al Consejero señor Rodrigo Vergara.",Votación y fundamentos de la decisión de política monetaria,decision_tpm,votación tpm,decision_tpm,NO,NO,NO,Rol según lista de asistencia: Presidente del Banco Central,RPM-2010-11-16:3575:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-11-16:3575:B1,SIN_ALERTAS_AUTOMATICAS,,RPM-2010-11-16:T93,INICIO_EXPLICITO,,RPM-2010-11-16:3575:1
3575,AUTOR_Y_LECTOR_DOCUMENTAL,aecdcd1b0e277b790d9ad96bfb245997eed3c78ae18df2bd260aae5bd0a24be9,Despues,5278,RPM-2010-11-16,2010-11-16 00:00:00,José De Gregorio Rebeco,José De Gregorio Rebeco,NO,Presidente del Banco Central,Presidente del Banco Central,NO,,Presidente del Banco Central,LISTA_ASISTENCIA,,SUJETO_ROL_NOMBRE,20,"El Presidente señor José De Gregorio agradece la presentación del Gerente de División Estudios señor Luis Óscar Herrera,",Votación y fundamentos de la decisión de política monetaria,decision_tpm,votación tpm,decision_tpm,NO,NO,NO,Rol según lista de asistencia: Presidente del Banco Central,RPM-2010-11-16:3575:1,1,XLSX_ORIGINAL,NO,NO,RPM-2010-11-16:3575:B1,PENDIENTE_REVISION,FINAL_SIN_PUNTUACION,RPM-2010-11-16:T93,INICIO_EXPLICITO,,RPM-2010-11-16:3575:1
