Ciclos,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Texto_Actual
1,298,54df4164b45cdc505bf5190ddbc29934296d1570f42f8111ca3452a85a9c44fb,2005-07-12,360,Esteban Jadresic Marinovic,360,Esteban Jadresic Marinovic,SUJETO_ROL_NOMBRE,RPM-2005-07-12:T4,INICIO_EXPLICITO,"El Gerente de División Internacional, señor Jadresic, indica que, en su opinión, esta diferencia de percepción respecto a la velocidad con que reacciona la oferta, tiene que ver con las expectativas de los agentes, en cuanto a que el precio del petróleo va a mantenerse por más tiempo y eso, a su vez, es lo que ayuda a explicar y entender las cifras de inventarios. Señala el señor Gerente, que en este momento los incentivos para liquidar inventarios del cobre son altos, al contrario de lo que ocurre en el caso del petróleo, ya que de hecho la volatilidad es alta, por lo que perfectamente se pueden hacer ganancias importantes manteniendo stocks."
1,298,54df4164b45cdc505bf5190ddbc29934296d1570f42f8111ca3452a85a9c44fb,2005-07-12,360,Esteban Jadresic Marinovic,361,Nicolás Eyzaguirre Guzmán,SUJETO_ROL_SESION,RPM-2005-07-12:T5,INICIO_EXPLICITO,"En lo que dice relación con los mercados financieros y, en especial, respecto de las tasas de interés de colocación, el señor Ministro consulta si para deducir las tasas fonA/ards, el Banco usa el BCP5, el BCP10, o alguno más corto."
3,753,134a1c4db0c47848dd7f6d71c335ea61bfaca73163aec04e68344a48cb29fae7,2006-07-13,1006;1007,Vittorio Corbo Lioi;Igal Magendzo Weinberger,1007,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2006-07-13:T22,INICIO_EXPLICITO,"el Presidente señor Corbo ofrece la palabra al Gerente de Análisis Macroeconómico, don Igal Magendzo Weinberger, a fin de que presente la exposición sobre la parte nacional."
3,753,134a1c4db0c47848dd7f6d71c335ea61bfaca73163aec04e68344a48cb29fae7,2006-07-13,1006;1007,Vittorio Corbo Lioi;Igal Magendzo Weinberger,1008,Igal Magendzo Weinberger,CONTEXTO_REVISADO,RPM-2006-07-13:T23,SIN_CONTINUIDAD_CONFIRMADA,"Los mercados financieros nacionales, señala el señor Magendzo, se han movido en las últimas semanas coincidentemente con los movimientos externos, con una apreciación del peso y una recuperación de los Indicadores bursátiles. Indica que el tipo de cambio nominal pasó desde valores del orden de $ 544 por dólar, al cierre de la reunión de junio, hasta valores cercanos a $ 550 a fines de ese mes. No obstante, en lo más reciente, se ubica en niveles cercanos $ 540 por dólar. Las medidas multilaterales, TCM, TCM-5 y TCM-X presentaron variaciones del orden de 0,1%, -0,5% y 0,4%, en igual lapso, respectivamente. Agrega que el TCR finalizó junio con un nivel promedio de 93,4 y 2,8% por sobre el valor del mes anterior. En cuanto a la expansividad de las condiciones financieras internas, el señor Gerente indica que ésta no siguió disminuyendo en el último mes. Las tasas de interés de los documentos en pesos del Banco Central aumentaron desde la última reunión, entre 8 y 18 puntos base los BCP, mientras las de los BCU cayeron algo más de 10 puntos base. La tasa de crecimiento anual del dinero MI aumentó tras varios meses de estabilidad, lo mismo que su velocidad de expansión, a la vez que el incremento anual de los agregados crediticios sigue en niveles altos y estables. Las tasas de interés cobradas en las colocaciones de consumo y comerciales disminuyeron, marginalmente la primera 10 puntos base y con algo de mayor fuerza la segunda, 70 puntos base. Señala el Gerente señor Magendzo, que la Bolsa local, en línea con las internacionales, se ha recuperado casi 6% desde su nivel mínimo, registrado a mediados de junio. Por otra parte, señala que en el sector real, las cifras de mayo apoyaron la hipótesis planteada el mes anterior de que el débil dato del mes de abril había sido mayormente transitorio. Agrega, que en la industria y el comercio, los sectores de peor desempeño en el mes de abril, mostraron repuntes importantes en su tasa de crecimiento anual en mayo, llevando al Imacec a un crecimiento anual de 6,1% en dicho mes, con un día hábil más que en igual período del año 2005. Indica, que a diferencia de lo observado en el mes de abril, el crecimiento de la actividad en mayo sorprendió positivamente, toda vez que la mayor parte del mercado esperaba un incremento entre 5% y 5,5%. En cuanto a la inversión, hace presente el señor Gerente de Análisis Macroeconómico, que en junio el nivel de las importaciones de bienes de capital se mantuvo en torno a los valores de los meses previos (US$ 577 millones CIF). Su tasa de variación anual, no obstante, fue negativa -1,3%; 16,6% en mayo, principalmente, por el efecto de la alta base de comparación del mismo mes del año 2005. Menciona, el señor Gerente, que sobresalió el bajo desempeño de las ventas del sector inmobiliario en el mes de mayo, -10,2% anual; 1,4% en abril y 13,7% en el primer trimestre. Con todo, en su opinión, el panorama global de la inversión en el año se avizora con una desaceleración algo más pronunciada que la prevista en los últimos meses. En cuanto a la evolución del resto de la demanda interna — consumo y existencias— , señala que la información reciente sigue en línea con el escenario base considerado en el IPoM del mes de mayo y en la evolución de los meses recientes. Agrega que los indicadores parciales de consumo del mes de mayo, con su volatilidad habitual, apuntan a tasas de crecimiento anual similares a las del primer trimestre. Comenta, que ello afirma un escenario en que la demanda interna continúa creciendo a tasas similares a las previstas, pero con un mayor protagonismo del consumo y uno menor de la inversión. Por otro lado, destacó en el último mes la importante caída de las expectativas tanto de consumidores como de productores. El IPEC cayó 6,6 puntos respecto de mayo. Indica el señor Gerente de Análisis Macroeconómico, que durante junio las exportaciones agrícolas e industriales se mostraron dinámicas, consolidando la recuperación del desempeño relativamente bajo que mostraron en abril. Por su parte, los envíos mineros se vieron perjudicados por menores exportaciones de cobre. En cuanto a las importaciones, las de consumo se mostraron en el último trimestre relativamente dinámicas debido a mayores internaciones de combustible. Así, comenta que las exportaciones alcanzaron durante el mes de junio un valor de US$ 4.858 millones FOB, 40% anual, mientras las importaciones llegaron a US$ 2.960 millones FOB, 22,8% anual. Indica, que el segundo trimestre del año cerró con exportaciones por US$ 14.430 millones FOB, lo que corresponde a una variación anual de 43%, 33,9% el primer trimestre del año. Asimismo, las importaciones del segundo cuarto del año sumaron US$ 8.600 millones FOB, lo cual corresponde a un crecimiento anual cercano a 17%, 21,4% el primer trimestre. Indica el señor Magendzo, que en el mercado laboral, las cifras del Instituto Nacional de Estadísticas del trimestre móvil marzo-mayo de 2006, siguen indicando tendencias difíciles de analizar con exactitud, dadas las innovaciones que se están realizando en la muestra incluida en la encuesta de empleo y que distancian, cada vez más, las actuales cifras de los comparativos disponibles. En relación con los costos laborales, indica el señor Gerente, que en el mes de mayo, la tasa de crecimiento anual de los salarios nominales no tuvo mayores variaciones respecto del mes de abril, alcanzando un aumento de 5,5% en el costo de la mano de obra, -0,1 punto porcentual respecto del mes anterior. Manifiesta, que por su lado, los costos laborales unitarios, CLU, calculados a partir de los datos publicados, volvieron a presentar un incremento de su tasa de crecimiento anual, la que llegó a 8,3 y 7,6% para los CLU totales y CLUX, respectivamente. Le parece al señor Gerente, que sigue siendo difícil precisar cuánto de la mayor variación anual de los CLU podría responder a presiones genuinas de costos o más bien refleja la volatilidad propia de la productividad medida y los cambios a las mediciones del empleo y los salarios. Asimismo, indica que en el mes de junio, la inflación IPC estuvo en línea con lo proyectado (0,6% mensual; 3,9% anual), aunque las medidas subyacentes estuvieron algo por debajo. Agrega, que las estimaciones de mercado, en tanto, estuvieron por debajo de la variación efectiva del IPC. Indica el señor Gerente, que los distintos indicadores subyacentes mantuvieron las tendencias de los últimos meses. Indica, que por un lado, la velocidad de expansión del IPCX1 descendió por tercer mes consecutivo ubicándose algo por debajo de 2% anualizado y, por otro, la tasa de variación anual de los indicadores alternativos, medias podadas e IPCX2, siguieron oscilando en torno a los valores de los últimos meses, sin una trayectoria clara de aumento o disminución. Agrega que, en el corto plazo, el aumento en el precio del petróleo y sus derivados tendrá un efecto al alza en la inflación, a través de los canales habituales de precio de los combustibles y tarifas. En todo caso, estima que la entrada en operación del nuevo Fondo de Estabilización del Precio de los Combustibles podría producir precios algo distintos de los contemplados."
3,1718,04c5c08361b0f0aad7e36344d87ea824e9d958c8dd5968a02df2d59df9a08414,2008-03-13,2318;2319;2320;2321;2322;2323;2324;2325;2326;2327;2328;2329;2330;2331,Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Kevin Cowan Logan;Andrés Velasco Brañes;Igal Magendzo Weinberger;Enrique Marshall Rivera;Igal Magendzo Weinberger;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Enrique Marshall Rivera;Andrés Velasco Brañes;Manuel Marfán Lewis;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger,2319,Jorge Desormeaux Jiménez,SUJETO_ROL_NOMBRE,RPM-2008-03-13:T55,INICIO_EXPLICITO,"El Vicepresidente señor Jorge Desormeaux comenta que el señor Presidente ha dicho que ese factor relativamente constante a través del tiempo podría tratarse de carry trade. Para ser más explícito, señala que se habría utilizado a Chile como un lugar donde construir posesiones de hedge para la gente que hace carry trade en Brasil, y según la información que a él le han proporcionado bancos de inversión, Chile ha sido sustituido por México, lo que podría explicar que un tipo de cambio que se apreció muy poco el año pasado, súbitamente se deprecia en el país que se usa para la protección y por ello, consulta cómo se lee esa depreciación, cuáles son las áreas que suman la depreciación,"
3,1718,04c5c08361b0f0aad7e36344d87ea824e9d958c8dd5968a02df2d59df9a08414,2008-03-13,2318;2319;2320;2321;2322;2323;2324;2325;2326;2327;2328;2329;2330;2331,Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Kevin Cowan Logan;Andrés Velasco Brañes;Igal Magendzo Weinberger;Enrique Marshall Rivera;Igal Magendzo Weinberger;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Enrique Marshall Rivera;Andrés Velasco Brañes;Manuel Marfán Lewis;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger,2320,Igal Magendzo Weinberger,SUJETO_ROL_NOMBRE,RPM-2008-03-13:T56,INICIO_EXPLICITO,"a lo que el Gerente señor Magendzo responde que todas las áreas, positivas más negativas."
3,1718,04c5c08361b0f0aad7e36344d87ea824e9d958c8dd5968a02df2d59df9a08414,2008-03-13,2318;2319;2320;2321;2322;2323;2324;2325;2326;2327;2328;2329;2330;2331,Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Kevin Cowan Logan;Andrés Velasco Brañes;Igal Magendzo Weinberger;Enrique Marshall Rivera;Igal Magendzo Weinberger;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Enrique Marshall Rivera;Andrés Velasco Brañes;Manuel Marfán Lewis;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger,2321,Kevin Cowan Logan,SUJETO_ROL_NOMBRE,RPM-2008-03-13:T57,INICIO_EXPLICITO,"A modo complementario, el Gerente señor Cowan señala que en el promedio de la muestra que ha preparado con los señores Selaive y Rappaport está explicado un 40% y un 60% es residuo."
3,1718,04c5c08361b0f0aad7e36344d87ea824e9d958c8dd5968a02df2d59df9a08414,2008-03-13,2318;2319;2320;2321;2322;2323;2324;2325;2326;2327;2328;2329;2330;2331,Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Kevin Cowan Logan;Andrés Velasco Brañes;Igal Magendzo Weinberger;Enrique Marshall Rivera;Igal Magendzo Weinberger;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Enrique Marshall Rivera;Andrés Velasco Brañes;Manuel Marfán Lewis;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger,2322,Andrés Velasco Brañes,SUJETO_ROL_SESION,RPM-2008-03-13:T58,INICIO_EXPLICITO,"El señor Ministro indica que una cosa es que haya un residuo grande, pero que otra cosa muy distinta es que haya un residuo del mismo lado."
3,1718,04c5c08361b0f0aad7e36344d87ea824e9d958c8dd5968a02df2d59df9a08414,2008-03-13,2318;2319;2320;2321;2322;2323;2324;2325;2326;2327;2328;2329;2330;2331,Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Kevin Cowan Logan;Andrés Velasco Brañes;Igal Magendzo Weinberger;Enrique Marshall Rivera;Igal Magendzo Weinberger;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Enrique Marshall Rivera;Andrés Velasco Brañes;Manuel Marfán Lewis;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger,2323,Igal Magendzo Weinberger,SUJETO_ROL_NOMBRE,RPM-2008-03-13:T59,INICIO_EXPLICITO,"El Gerente señor Magendzo sobre este tema señala que hay dos aspectos que considerar. Primero, que el 40% del modelo que tienen el señor Cowan y sus coautores es distinto a éste, porque en éste está la paridad de tasas más algunas elasticidades sacadas de ese otro modelo. En segundo lugar, el modelo mencionado por el Gerente de División Política Financiera no es un modelo estrictamente de paridad de tasas y estima que la evidencia empírica que existe sobre paridad de tasas es bastante mala, por lo que hay que aunar todo. Comenta que si se mira desde diciembre hasta el 7 de marzo, es como dice el señor Cowan, que se explica el 40% de la apreciación cambiaría con estos movimientos de fundamentales."
3,1718,04c5c08361b0f0aad7e36344d87ea824e9d958c8dd5968a02df2d59df9a08414,2008-03-13,2318;2319;2320;2321;2322;2323;2324;2325;2326;2327;2328;2329;2330;2331,Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Kevin Cowan Logan;Andrés Velasco Brañes;Igal Magendzo Weinberger;Enrique Marshall Rivera;Igal Magendzo Weinberger;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger;Enrique Marshall Rivera;Andrés Velasco Brañes;Manuel Marfán Lewis;Jorge Desormeaux Jiménez;Igal Magendzo Weinberger,2324,Enrique Marshall Rivera,SUJETO_ROL_NOMBRE,RPM-2008-03-13:T60,INICIO_EXPLICITO,"Respecto al tema de la inversión, el Consejero señor Enrique Marshall señala que sería conveniente en el futuro hacer un seguimiento a las emisiones de bonos, porque hay bastante escasez de emisiones de bonos que no sean financieras. Menciona que en la última lista que revisó todas la emisiones de bonos que estaban en el pipe Une eran financieras y la única que no era de bancos era Forum. El señor Marshall se pregunta la razón de por qué no hay emisiones. Estima que puede ser porque los bancos estén haciendo la intermediación, o que no haya proyectos, o que las empresas estén con mucha caja, pero es un elemento que le llama la atención."
