Ciclo,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
1,3800,c66c98897c02a55f09fce3132dc22e01e596a2238fc17edb9ea35ed8490da1d8,2011-02-17,5417,Claudio Soto Gamboa,5417,Claudio Soto Gamboa,SUJETO_NOMBRE,RPM-2011-02-17:T88,INICIO_EXPLICITO,,"El señor Claudio Soto responde que se está elaborando una minuta sobre la materia, que será presentada a los señores Consejeros próximamente."
1,3800,c66c98897c02a55f09fce3132dc22e01e596a2238fc17edb9ea35ed8490da1d8,2011-02-17,5417,Claudio Soto Gamboa,5418,Manuel Marfán Lewis,CONTEXTO_REVISADO,RPM-2011-02-17:T89,SIN_CONTINUIDAD_CONFIRMADA,,"Por último, el señor Vicepresidente comenta que la Encuesta de Expectativas Económicas de febrero no es muy confiable, porque es respondida principalmente por los subrogantes, quienes no suelen manifestar su verdadero parecer cuando dista de la opinión mayoritaria del mercado, llevando a un resultado más bien uniforme. Indica que si bien esta encuesta no muestra una mayor dispersión respecto de ocasiones anteriores, no descartaría la hipótesis de que las expectativas pudieran comenzar a desanclarse. En otras palabras, manifiesta su mayor preocupación en cuanto a que se pudiera repetir el episodio del año 2008, razón por la cual sugiere estar alertas para actuar con mayor oportunidad, si fuera el caso."
1,3810,b2a82d5e9b5ea1cdc554782387e55ea02e32196a7849a235d716a6780ba8dfb0,2011-02-17,5428,Sebastián Claro Edwards,5429,Sebastián Claro Edwards,SUJETO_ROL_NOMBRE,RPM-2011-02-17:T100,INICIO_EXPLICITO,,"El Consejero señor Sebastián Claro indica que son dos los desarrollos que destacan en las últimas semanas, sobre los cuales desea profundizar y sustentar su voto. Por una parte, señala que se ha producido un aumento no despreciable en las expectativas de inflación a distintos plazos, lo que es particularmente evidente en el año 2011. Por otro lado, menciona que el tipo de cambio nominal ha tenido una apreciación importante, convergiendo a niveles similares a los observados al momento de iniciar el programa de acumulación de reservas. En su opinión, es clave poder profundizar respecto de la pregunta sobre lo que explica el aumento de las expectativas de inflación, y que varias hipótesis son posibles. Por una parte, plantea que se ha consolidado un aumento importante en los precios de los alimentos y de otras materias primas en el mundo, que representa, naturalmente, una amenaza para la inflación en muchos países. En segundo lugar, alude a que las perspectivas de actividad en algunos países, desarrollados principalmente, se han consolidado, siendo esto especialmente notorio en el caso de Estados Unidos, donde las cifras de actividad y los precios de algunos activos dan cuenta de que los escenarios de mayor debilidad aparecen como menos probables. Agrega que una tercera alternativa es que la intervención cambiarla, sea por su impacto directo sobre el tipo de cambio nominal o por una posible señal respecto de una disponibilidad para aceptar una mayor inflación en un proceso de ajuste de tipo de cambio real, puede explicar el aumento en las expectativas de inflación. El Consejero señor Sebastián Claro manifiesta que todos estos elementos son potencialmente válidos en un conjunto amplio de países en desarrollo y que algunas de estas hipótesis parecen más plausibles que otras. Hace presente que el aumento en los precios de los alimentos y del petróleo no solo impacta directamente la inflación en Chile y en otros países, sino que es reflejo de una demanda mundial pujante. Al respecto, estima que la experiencia anterior, aunque con condiciones bastante diferentes, debe ser adecuadamente ponderada, y que si bien en este caso los incrementos de los precios sean menores en términos porcentuales de lo que fueron hace un par de años, es, indudablemente, un tema a tener muy en cuenta. Por otra parte, indica que la recuperación en Estados Unidos parece consolidarse respecto de lo esperado hace algunos meses, aunque, en su opinión, todavía subsisten serias dudas sobre las perspectivas a mediano plazo, siendo esta preocupación especialmente válida en el caso europeo. Plantea que, en este contexto, los datos internos de actividad no sugieren aún una evidencia de mayor aceleración en la actividad y en la demanda en Chile, por lo que considera que no necesariamente el cambio en las expectativas de inflación estaría recogiendo una expectativa de un cierre de brechas de capacidad en Chile más rápida de lo que se hubiera podido esperar hace un par de meses. Finalmente, subraya que la apreciación del tipo de cambio del peso en las últimas semanas da cuenta de que las fuerzas tanto internas como externas que empujan hacia una apreciación real de peso, parecen ser significativas, sin por ello descartar que las expectativas del tipo de cambio estén siendo afectadas por una percepción muy positiva o agresiva sobre el comportamiento de la economía doméstica hacia adelante, lo que podría estar contribuyendo a la apreciación. El Consejero señor Sebastián Claro estima que el alza en las expectativas de inflación debe ser evaluada con mucha detención, pero que no debe inducir a una sobrerreacción. En su opinión, parte de estos cambios se pueden deber a fenómenos transitorios y ajustes en los precios de los bonos, pero, a su vez, y de manera fundamental, reflejan una situación de mayores presiones inflacionarias genuinas en la economía, que el Banco ha ido discutiendo en los últimos meses y que han justificado una progresiva normalización de la política monetaria y siguen justificándolo. Enfatiza que un adecuado manejo de las expectativas por parte del Banco va a requerir seguir demostrando, tanto en la comunicación como en las acciones de política monetaria, un claro compromiso inflacionario, resultando fundamental, al mismo tiempo, validar un prudente espacio para el ajuste de precios relativos. A su juicio, ese es el principal reto que enfrenta el Banco y que va a seguir enfrentando. A su vez, comenta que las condiciones internas, tanto de actividad como de demanda, y sus perspectivas, se han mantenido relativamente similares a las proyectadas hace algunos meses; que la situación laboral ha continuado normalizándose, tanto en términos de la creación de empleos y la evolución de los salarios; que la evolución del crédito y de los agregados monetarios también han seguido normalizándose, no dando cuenta de un excesivo crecimiento; y que los registros de inflación no han presentado diferencias sustanciales respecto de las expectativas. Expresa que todo ello demuestra una situación de recuperación sostenida. En su opinión, este conjunto de elementos lleva a que la mejor alternativa sea un aumento de la TPM en 25 puntos base en esta ocasión, ya que la normalización gradual de la política monetaria se condice con las condiciones generales de la economía, especialmente en un contexto en que la política monetaria todavía se encuentra en un rango expansivo. Indica que la mantención de la tasa rectora entregaría una señal de excesiva permisividad del Banco con una mayor inflación, lo que sería inadecuado. Señala, además, que la situación cambiaría impone un mayor desafío a la política monetaria y que la intervención naturalmente genera un alza en las perspectivas de inflación, que, como ha mencionado anteriormente, no debe ser sorpresivo y debe ser, en parte, aceptado. Por otra parte, plantea que un aumento mayor que 25 puntos base se justificaría como respuesta a un empeoramiento significativo en la trayectoria de inflación que requiriese de acciones urgentes, pero ni los datos ni el contexto actual favorecen esa opción. Por último, señala que una normalización gradual de la política monetaria que cautele adecuadamente el objetivo de estabilidad de precios del Banco y que, al mismo tiempo, no imponga una excesiva presión en el mercado cambiarlo es, en estas circunstancias, la estrategia más adecuada. El Consejero señor Sebastián Claro vota, en consecuencia, por una alza de la TPM en 25 puntos base."
1,3810,b2a82d5e9b5ea1cdc554782387e55ea02e32196a7849a235d716a6780ba8dfb0,2011-02-17,5428,Sebastián Claro Edwards,5430,Enrique Marshall Rivera,SUJETO_ROL_NOMBRE,RPM-2011-02-17:T101,INICIO_EXPLICITO,,"Al continuarse con la votación, el Consejero señor Enrique Marshall comienza su intervención agradeciendo al staff e\ apoyo brindado en esta oportunidad."
1,3813,2ba6c82805ab531cf13a65ea7b23a3982511b8f5fd3c3612ec8ce082a6c7c06f,2011-02-17,5431;5432;5433,Manuel Marfán Lewis;José De Gregorio Rebeco;Consejo del Banco Central de Chile,5433,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,RPM-2011-02-17:T102,CONTINUIDAD_EXPLICITA,,"El Vicepresidente señor Manuel Marfán manifiesta coincidir con la Minuta de Opciones en que, en esta oportunidad, corresponde elevar la TPM en 25 puntos base, descartando otras alternativas. No obstante lo anterior, plantea que hay elementos del escenario base que están siendo dejados atrás por la evolución reciente; en particular, que pareciera que tanto la inflación como el crecimiento exhiben riesgos desbalanceados al alza, lo que habrá que cotejar en el próximo ejercicio de proyección de mediano plazo. Advierte que la mezcla de riesgos desbalanceados al alza en inflación y crecimiento en un contexto de apreciación cambiaría es delicada, especialmente cuando los costos laborales comienzan a hacerse sentir. Asimismo, y como ha señalado en oportunidades anteriores, reitera que el atraso cambiario también puede constituir un síntoma de sobrecalentamiento, que conviene monitorear oportunamente. A su juicio, estos son elementos que deberían estar contenidos en el comunicado. En mérito de lo expuesto, el Vicepresidente señor Manuel Marfán reitera que su voto es por elevar la TPM en 25 puntos base en esta oportunidad."
1,3813,2ba6c82805ab531cf13a65ea7b23a3982511b8f5fd3c3612ec8ce082a6c7c06f,2011-02-17,5431;5432;5433,Manuel Marfán Lewis;José De Gregorio Rebeco;Consejo del Banco Central de Chile,5434,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2011-02-17:T103,INICIO_EXPLICITO,,"Al concluir con la votación, el Presidente señor José de Gregorio señala que en materia de inflación y crecimiento, durante las últimas semanas no se han observado desviaciones importantes del escenario macroeconómico respecto del delineado en el último IPoM, por cuanto las economías avanzadas siguen recuperándose pausadamente, aunque en el margen las perspectivas de crecimiento han mejorado; porque las economías emergentes siguen creciendo con vigor; y debido a que los precios de los commodities siguen con precios récord, en particular los alimentos, lo que ya está afectando los registros de inflación en la gran mayoría de las economías del mundo. En Chile, subraya que los registros de inflación y actividad se encuentran dentro de los rangos pronosticados, y que no ha habido sorpresas significativas al respecto. Por lo tanto, plantea que el escenario base, de seguir el retiro gradual del impulso monetario, continúa siendo el que mejor asegura el logro de la meta de inflación. Indica, además, que el peso se ha apreciado, aunque menos que lo que hubiera ocurrido si el Banco no estuviera interviniendo; que la depreciación internacional de dólar y, principalmente, los continuos aumentos del precio del cobre, han hecho retroceder el valor del dólar; y que si bien esta apreciación disminuye en parte las presiones inflacionarias, los riesgos siguen siendo al alza, en particular por el potencial traspaso de las alzas de alimentos a otros precios y por los aumentos en las expectativas de inflación. De hecho, destaca que las expectativas inflacionarias han estado aumentando, especialmente en horizontes más cortos, y que si bien aún se encuentran dentro del rango de tolerancia, un aumento persistente podría requerir aumentos mayores de las TPM. Manifiesta que es por ello que hoy resulta necesario continuar con el ajuste de la TPM, con el propósito de contener anticipadamente las presiones inflacionarias. Más aún, considera que en el escenario más probable el Banco tendrá que seguir aumentando la TPM en ios próximos meses. Expresa que en la medida que el Banco actúe con anticipación, el ritmo adecuado consistiría en ir aumentando la TPM en 25 puntos base, concordando por ello con la Minuta de Opciones, en el sentido que esta parece ser la mejor decisión. Por lo anterior, el Presidente señor José De Gregorio manifiesta que su voto es por aumentar la TPM en 25 puntos base a 3,5%. En consecuencia, el Presidente señor José De Gregorio señala que existe unanimidad por aumentar la tasa de política monetaria en 25 puntos base hasta 3,5% anual."
1,3813,2ba6c82805ab531cf13a65ea7b23a3982511b8f5fd3c3612ec8ce082a6c7c06f,2011-02-17,5431;5432;5433,Manuel Marfán Lewis;José De Gregorio Rebeco;Consejo del Banco Central de Chile,5435,Consejo del Banco Central de Chile,ACTA/META,RPM-2011-02-17:T104,INSTITUCIONAL,,"En virtud de lo anterior, el Consejo adoptó el siguiente Acuerdo; 166-01-110217 - Tasa de Política Monetaria En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 0,25% hasta 3,5% anual. Comunicado “En su reunión mensual de política monetaria, acordó aumentar la tasa de interés de política monetaria en 0,25% hasta 3,5% anual. En el ámbito externo, las perspectivas de crecimiento para las economías desarrolladas han mejorado, y se mantiene el dinamismo de las economías emergentes. Persisten las preocupaciones respecto del riesgo financiero de algunas economías europeas. Con todo, las dificultades en la recuperación de los países desarrollados sigue siendo un factor importante de primas, especialmente alimentos, continúan aumentando, A nivel global, la inflación efectiva y la esperada han aumentado y un número creciente de economías ha estado reduciendo su impulso monetario. En el plano interno, las cifras de actividad, demanda y empleo continúan evolucionando positivamente, en línea con las proyecciones del último Informe de Política Monetaria. La inflación se ha comportado de acuerdo con lo esperado y los registros de inflación subyacente se mantienen acotados. Las expectativas inflacionarias privadas muestran aumentos, particularmente en el corto plazo. El peso se ha apreciado desde la última reunión. El Consejo reitera que será necesario continuar reduciendo el estímulo monetario en los meses venideros, en línea con lo anticipado en el último IPoM. El ritmo de dicho proceso dependerá de la evolución de las condiciones macroeconómicas internas y externas. Con ello, seguirá usando sus políticas con flexibilidad para que la inflación proyectada se ubique en 3% en el horizonte de política.”"
2,3887,d8c21b38a94635b583aee621d4346374a9cb9226d2d1edb43800462c4a230453,2011-03-17,5518,Sebastián Claro Edwards,5520,Sebastián Claro Edwards,SUJETO_ROL_NOMBRE,RPM-2011-03-17:T82,INICIO_EXPLICITO,FINAL_SIN_PUNTUACION,"El Consejero señor Sebastián Claro inicia su intervención mencionando las numerosas novedades de las últimas semanas, como las tensiones en el Medio Oriente, que han incrementado el precio del petróleo significativamente: los precios internacionales de los alimentos, que han mostrado cierta moderación; la acentuación de mejores perspectivas de crecimiento en Estados Unidos; la situación en Europa, que se mantiene altamente incierta, especialmente porque la demora en soluciones de fondo al problema financiero de varios países contribuye a dificultar aún más los ajustes futuros; y el terremoto en Japón, que ha provocado una inusual y fuerte reacción de los mercados que es difícil de interpretar. Plantea que si bien es probable que parte de la reacción refleje la alta incertidumbre reinante y pueda estar evidenciando algún grado de sobrerreacción en los precios de los activos, a casi una semana de los eventos la preocupación mundial va en aumento y no puede descartarse, por ahora, que ello tenga consecuencias mayores a nivel global. El Consejero señor Sebastián Claro estima que, más allá de la descripción detallada de diversos eventos, lo más destacable es que la recuperación en Estados Unidos parece que se va sosteniendo con mayor fuerza, y que los altos precios de los commodities —más allá de factores de oferta puntuales— se instalan como una nueva realidad. En su opinión, lo anterior ha contribuido a acrecentar la preocupación por la inflación en varios países. En el ámbito interno, destaca que la actividad ha seguido mostrando un alto dinamismo, especialmente el consumo y algunos componentes de la inversión, y que se avizora una recuperación en la construcción de viviendas y obras. Señala que ello es coherente con las perspectivas que se vislumbraban hace varios trimestres, y corrobora que las condiciones para un crecimiento de la economía este año, en torno a 6% o quizás algo mayor, son sólidas. Hace presente que la inflación hasta el momento se ha mantenido bien acotada, y en rangos esperados y similares a los del rango objetivo del Banco Central, esperándose un aumento en adelante. Plantea que ello es especialmente claro en el corto plazo por razones, en parte puntuales, derivadas del precio internacional de tos combustibles. Sin embargo, manifiesta que es importante reiterar que la normalización de las condiciones monetarias y de demanda en los últimos trimestres son en sí mismas coherentes con una normalización de las medidas subyacentes de inflación, que debieran ir aumentando gradualmente en los próximos trimestres. Subraya que la evolución de los salarios y el dinamismo en el mercado laboral son prueba de ello. En opinión del Consejero señor Sebastián Claro, todo lo anterior lleva a corroborar el mensaje principal de política monetaria entregado en los últimos meses sobre la necesidad de una normalización gradual hacia niveles más bien neutrales hacia fines de este año. Al continuar, destaca que, en esta oportunidad, se hacen presentes dos elementos adicionales. Especifica que el primero de ellos dice relación con las expectativas de inflación, que han aumentado de manera importante en los últimos meses, especialmente en los plazos más cortos. A su juicio, parte importante de estos aumentos obedecen a las expectativas sobre precios del petróleo y alimentos que han aumentado en el mundo, y que en el pasado produjeron un fuerte incremento en la inflación interna. En ese sentido, manifiesta que este es un tema que, evidentemente, justifica una preocupación. Sin embargo, dada la posición cíclica de la economía mundial y doméstica en la actualidad, las perspectivas cambiarias y el reconocimiento explícito de los riesgos que estos eventos tienen, es de opinión que hay que tener cuidado con no sobredimenslonar el problema de expectativas inflacionarias a mediano plazo. En todo caso, indica que la tasa de interés es actualmente baja y que el espacio para recoger el impulso monetario es amplio, por lo que favorece un mayor ajuste hoy para prevenir una consolidación de la incertidumbre inflacionaria. Indica que la otra dimensión a enfatizar dice relación con la situación internacional. Sobre el particular, destaca que las perspectivas externas han mejorado, lo que es positivo, existiendo elementos para justificarlo. No obstante, señala que, a su juicio, hay elementos en la situación internacional que siguen siendo altamente inciertos, y que no son recogidos adecuadamente por los datos de consenso o las proyecciones promedio. Comenta, al respecto, que la situación en Europa es delicada y que no existe claridad sobre la evolución del sistema financiero y sobre los posibles ajustes de la deuda y el impacto en los bancos en esos países; que Estados Unidos debiera converger a tasas de crecimiento menores que las observadas en las últimas décadas; y que se espera una desaceleración en varios países en desarrollo. Habida consideración del espacio que existe para la normalización de la política monetaria, el Consejero señor Sebastián Claro estima que se justifica un alza de 50pb en esta oportunidad. Sostiene que a la luz de estos antecedentes disponibles hoy, ello no representa necesariamente un cambio sustancial en la magnitud requerida del ajuste de la política monetaria en los próximos trimestres, sino que refleja más bien un cierto adelantamiento de parte de este ajuste, dada la genuina preocupación por las perspectivas y por las expectativas de inflación. Agrega que en las condiciones actuales, es posible que los próximos ajustes vuelvan a la gradualidad anterior, en la medida que las condiciones así lo sugieran. a 4%. En consecuencia, el Consejero señor Sebastián Claro vota por aumentar la tasa"
2,3887,d8c21b38a94635b583aee621d4346374a9cb9226d2d1edb43800462c4a230453,2011-03-17,5518,Sebastián Claro Edwards,5521,Enrique Marshall Rivera,CONTEXTO_REVISADO,RPM-2011-03-17:T83,SIN_CONTINUIDAD_CONFIRMADA,,"Al continuar con la votación, el Consejero señor Enrique Marshall comienza su intervención agradeciendo al staff e\ apoyo brindado en esta oportunidad. Plantea, en primer término, que las noticias del último mes están marcadas por el fuerte incremento del precio del petróleo asociado a fenómenos geopolíticos, y por las catástrofes sufridas por Japón, todo lo cual ha introducido incertidumbre y ha tenido ya efectos en los mercados financieros. Sin perjuicio de ello, sostiene que los antecedentes disponibles, levantados con anterioridad a dichos desarrollos, reafirman el crecimiento mundial y despiertan una creciente preocupación por la inflación tanto en las economías maduras como en las emergentes. En su opinión, si bien lo más probable es que la economía mundial mantendrá un sólido crecimiento, los efectos de los últimos desarrollos deben ser monitoreados con atención. En el frente interno, menciona que las cifras de actividad han resultado algo mejores que lo previsto. Agrega que las proyecciones se han corregido levemente al alza para el primer semestre, pero que el panorama para el año, en su conjunto, no es sustancialmente distinto del que se visualizó previamente. Destaca que las condiciones que apoyan esta expansión siguen presentes, ya que las expectativas de hogares y empresas siguen siendo positivas; las perspectivas para el sector construcción se ven positivas para este año; las políticas crediticias de los bancos son bastante normales; el empleo crece; y la masa salarial se expande en forma apreciable. En materia de inflación, señala que, por el momento, las cifras efectivas no han deparado grandes sorpresas, pero que las perspectivas en adelante generan preocupación debido a la concurrencia de varios factores, como los incrementos en los precios de la energía y los alimentos que, tarde o temprano, deberían traducirse en mayores índices inflacionarios; las condiciones cíclicas de la economía interna, que resultan favorables para la propagación de presiones inflacionarias; y el mercado laboral, que se ha ido estrechando, y, congruente con ello, el aumento de las remuneraciones a tasas relevantes. Destaca que si bien las fuerzas apreciativas siguen en operación, el peso ha experimentado oscilaciones e incluso se ha depreciado respecto de la última Reunión, agregando o, por lo menos, no restando presión sobre los precios internos. Informa, además, que las expectativas de inflación, obtenidas tanto de encuestas como de los precios de los activos, han vuelto a subir para los plazos más cortos y se han mantenido elevadas para los plazos más largos. A su juicio, estas son señales que no pueden pasar desapercibidas."
2,3906,0b1afd119abf98fbd8223feff96a54c4851530b1e679836940e7ba4cec23e83d,2011-04-12,5538,José De Gregorio Rebeco,5541,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2011-04-12:T14,INICIO_EXPLICITO,FINAL_SIN_PUNTUACION,"El Presidente señor José De Gregorio piensa que la caída de tasas puede obedecer a expectativas de mayor inflación y mayor crecimiento,"
