ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
4384,676ed7ecb74f6614b9dd3e0b8c994fbb8d61906b392c0562190e1702da2bb50c,2011-10-13,6102;6103,Manuel Marfán Lewis;Consejo del Banco Central de Chile,6102,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,RPM-2011-10-13:T64,INICIO_EXPLICITO,,"El Vicepresidente señor Manuel Marfán plantea que le merece duda el supuesto de que la desaceleración de la demanda agregada prevista hacía fines de año solo obedecerá a un ajuste de los inventarios. Manifiesta que frente a la gran incertidumbre del último tiempo, era natural prever de los agentes económicos moderarían su gasto y con ello lo haría la actividad. Agrega que de ser cierta esta hipótesis, no le extrañaría que fuera una causal para la caída de las tasas largas."
4384,676ed7ecb74f6614b9dd3e0b8c994fbb8d61906b392c0562190e1702da2bb50c,2011-10-13,6102;6103,Manuel Marfán Lewis;Consejo del Banco Central de Chile,6103,José De Gregorio Rebeco,CONTEXTO_REVISADO,RPM-2011-10-13:T65,SIN_CONTINUIDAD_CONFIRMADA,,"Al no haber consultas o comentarios adicionales, el Presidente señor José De Gregorio suspende la presente Reunión hasta las 16 horas."
4384,676ed7ecb74f6614b9dd3e0b8c994fbb8d61906b392c0562190e1702da2bb50c,2011-10-13,6102;6103,Manuel Marfán Lewis;Consejo del Banco Central de Chile,6104,Consejo del Banco Central de Chile,ACTA/META,RPM-2011-10-13:T66,INSTITUCIONAL,,"Siendo las 16:00 horas, se reanuda la Reunión de Política Monetaria N° 177, incorporándose a ella el Ministro de Hacienda señor Felipe Larraín."
4420,66abf8300f14697017cd856c2b8997949aca3d2c1b4c0b9b33f2fc1c01a1f55e,2011-11-15,6145,Sergio Lehmann Beresi,6146,Sergio Lehmann Beresi,SUJETO_NOMBRE,RPM-2011-11-15:T26,INICIO_EXPLICITO,,"El señor Sergio Lehmann explica que el precio de la gasolina está afectado por un factor estacional, por cuanto termina el período durante el cual las refinerías realizan mantención y finaliza también la época de huracanes. Con ello, entonces, se produce una caída en el precio de la gasolina, que tiene habitualmente un premio en esta época del año. Asimismo, hace presente que la gasolina tiene mucha trazabilidad, no así el petróleo, y que parte de ello se refleja en este movimiento de precios. Además, el señor Lehmann se refiere al índice FAO de alimentos y cereales, mencionando que al cierre de octubre dio cuenta de una caída de 4 y 5%, respectivamente, en relación con el cierre del mes anterior."
4420,66abf8300f14697017cd856c2b8997949aca3d2c1b4c0b9b33f2fc1c01a1f55e,2011-11-15,6145,Sergio Lehmann Beresi,6147,Sebastián Claro Edwards,CONTEXTO_REVISADO,RPM-2011-11-15:T27,SIN_CONTINUIDAD_CONFIRMADA,,"En opinión del Consejero señor Sebastián Claro, el significativo aumento del precio del petróleo, claramente mayor que el de los otros commodities, se debería a perspectivas de mayor recuperación de Estados Unidos."
4420,66abf8300f14697017cd856c2b8997949aca3d2c1b4c0b9b33f2fc1c01a1f55e,2011-11-15,6145,Sergio Lehmann Beresi,6148,Sergio Lehmann Beresi,SUJETO_NOMBRE,RPM-2011-11-15:T28,INICIO_EXPLICITO,,"El señor Lehmann manifiesta que hay un componente asociado a ese factor, pero que también se suma otro relacionado con problemas de estancamiento del petróleo en Oklahoma, que se habrían solucionado, logrando producirlo a un costo menor, lo que se refleja en una suerte de normalización con respecto a lo observado en períodos anteriores. En todo caso, destaca que ello responde, fundamentalmente, a una mirada distinta de las actividades en Estados Unidos y en Europa y a que el petróleo Brent está mucho más asociado a la demanda por combustibles en Europa."
4421,57211987e157632d672d5b6c80ffb891f26cc85a50934ef34aac492a2d93014d,2011-11-15,6146,Luis Óscar Herrera Barriga,6149,Luis Óscar Herrera Barriga,SUJETO_ROL_NOMBRE,RPM-2011-11-15:T29,INICIO_EXPLICITO,,"El Gerente de División Estudios señor Luis Óscar Herrera explica que el petróleo Brent o el de Louisiana reflejan mejor que el WTI los costos equivalentes de las gasolinas en el Golfo, que son los relevantes para Chile. Añade que al no tener cañerías de salida, refleja más las condiciones internas de Estados Unidos que las internacionales. A su juicio, a ello se atribuye la disminución del spread en los últimos meses. Asimismo, hace presente que las instituciones internacionales han reducido la utilización del petróleo WTI y están poniendo mucho mayor énfasis en el Brent por los problemas comentados. A título ejemplar, expresa que bastaría que hubiera una nueva cañería o que se acercara su período de construcción para que comience a normalizarse el precio del petróleo WTI hacia el Brent."
4421,57211987e157632d672d5b6c80ffb891f26cc85a50934ef34aac492a2d93014d,2011-11-15,6146,Luis Óscar Herrera Barriga,6150,Sergio Lehmann Beresi,CONTEXTO_REVISADO,RPM-2011-11-15:T30,SIN_CONTINUIDAD_CONFIRMADA,,"A continuación, el señor Sergio Lehmann exhibe el gráfico que se contiene en la lámina N°31 de la presentación, que da cuenta de la variación del precio de los commodities desde la última RPM y en los últimos doce meses, y donde se observa que el oro aumenta en ambos casos; que el cobre aumenta con respecto a la última RPM, pero acumula una caída cercana a 30% en doce meses; y que el zinc, plomo, níquel, aluminio y estaño retroceden tanto en doce meses como respecto de la Reunión de octubre. Al finalizar su presentación, el señor Sergio Lehmann menciona que las curvas de futuros del petróleo WTI y Brent apuntan a una convergencia tal vez más acelerada hacia los niveles de precios normales."
4502,27734eade5ca7028a64f4adb81a95a7b77122b152a94cfb7030a5c728b15f7b2,2011-12-13,6248,Claudio Soto Gamboa,6252,Claudio Soto Gamboa,SUJETO_NOMBRE,RPM-2011-12-13:T49,INICIO_EXPLICITO,,"El señor Claudio Soto hace presente que las variaciones mensuales de las colocaciones comerciales y de comercio exterior reaccionaron rápidamente a la baja con ocasión de la crisis del año 2008, situación que no se observa ahora, y que entonces las colocaciones de consumo se demoraron bastante más en responder a ella. Agrega que se han realizado algunos ejercicios, que arrojan que el consumo disminuye antes que las colocaciones y que de ahí, entonces, la importancia del foco en las colocaciones a empresas, porque ellas sí podrían estar respondiendo en mayor grado ante fenómenos de crisis. Respecto del dato de empleo, señala que es difícil realizar un seguimiento de las variaciones interanuales por el cambio de metodología. Sin embargo, hace presente que el último dato, que ya es comparable interanualmente, da cuenta de una tasa de crecimiento anual levemente inferior a 4%, que desde una perspectiva histórica se acerca a los registros “normales” que se observaban antes del cambio de la encuesta. Agrega que lo mismo ocurre con la tasa de crecimiento de la fuerza de trabajo. Finalmente, y con respecto a las proyecciones de crecimiento, hace notar que la sorpresa interna del IMACEC de octubre fue superior a un punto. Explica que si se hubiera considerado que esa sorpresa era genuina y que no había ningún fenómeno de rebote, se debería haber corregido la proyección del trimestre en una magnitud similar. Sin embargo, destaca que el crecimiento solo se corrigió en 40 puntos base, porque se supone que hay un rebote y un elemento genuino relacionado, de alguna manera, con la mayor incertidumbre, las turbulencias y el ajuste de expectativas a la baja, que tienen un impacto en la actividad. De hecho, comenta que las sorpresas provinieron de varios sectores, entre ellos la industria, específicamente de los sectores ligados a las exportaciones, que son los que están directamente afectados por el menor dinamismo de la actividad externa. Enfatiza que todos los elementos mencionados llevan a configurar este ajuste en la proyección, que es menos intenso que lo que podría sugerir solamente la sorpresa del mes de octubre. Por lo tanto, advierte que hay un elemento de riesgo, ya que si la sorpresa fue genuina y la caída tan intensa del IMACEC obedeció a una desaceleración ad portas de la actividad, entonces la corrección podría ser incluso mucho mayor de aquí al primer trimestre del próximo año."
4502,27734eade5ca7028a64f4adb81a95a7b77122b152a94cfb7030a5c728b15f7b2,2011-12-13,6248,Claudio Soto Gamboa,6253,Rodrigo Vergara Montes,CONTEXTO_REVISADO,RPM-2011-12-13:T50,SIN_CONTINUIDAD_CONFIRMADA,,"Al no haber consultas o comentarios adicionales, el Presidente señor Rodrigo Vergara suspende la Reunión hasta las 16:00 horas."
4502,27734eade5ca7028a64f4adb81a95a7b77122b152a94cfb7030a5c728b15f7b2,2011-12-13,6248,Claudio Soto Gamboa,6254,Consejo del Banco Central de Chile,ACTA/META,RPM-2011-12-13:T51,INSTITUCIONAL,,"i,- Siendo las 16:00 horas, se reanuda la Reunión de Política Monetaria N° 179."
