Ciclos,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
1,4562,e9c127cd946aaefebbd2c55f47f3c9f1a748a762a1e2dcf33941cf26e0779f69,2012-01-12,6322;6323,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6322,Luis Óscar Herrera Barriga,SUJETO_ROL_NOMBRE,RPM-2012-01-12:T55,INICIO_EXPLICITO,,"El Gerente de División Estudios señor Luis Óscar Herrera señala que hay una discrepancia a nivel de demanda final. Precisa que en consumo, por ejemplo, esta se observa entre los oferentes y los demandantes finales. Al respecto, comenta que, en general, las cifras provenientes de los demandantes finales, sean estas de solicitudes de crédito, compras, compras de bienes durables o compras en el comercio, se mantienen relativamente con mayor dinamismo, mientras que las de los oferentes, esto es, bancos, oferentes de crédito o las empresas como importadores de bienes de consumo, se observan señales de mayor cautela. En consecuencia, hay cierta discrepancia en la demanda de los consumidores, que se mantiene, mientras que algunas señales por parte de los productores podrían anticipar una desaceleración en los próximos meses. Con respecto a las condiciones financieras, concuerda con que es difícil saber cuál es la normalidad, razón por la cual se está en proceso de descubrimiento de cuáles son las condiciones apropiadas hacia adelante. Agrega que, desde el punto de vista del grado de entusiasmo o pesimismo que existe en los mercados financieros, sí es un factor relevante para efectos de la tasa de interés, ya que el entusiasmo de los mercados financieros genera una situación de demanda más expansiva y condiciones para el endeudamiento más favorables, que tiene implicancias para la tasa de política monetaria."
1,4562,e9c127cd946aaefebbd2c55f47f3c9f1a748a762a1e2dcf33941cf26e0779f69,2012-01-12,6322;6323,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6323,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-01-12:T56,INICIO_EXPLICITO,,"Al no haber consultas o comentarios adicionales, el Presidente señor Rodrigo Vergara suspende la presente Reunión hasta las 16:00 horas."
1,4562,e9c127cd946aaefebbd2c55f47f3c9f1a748a762a1e2dcf33941cf26e0779f69,2012-01-12,6322;6323,Luis Óscar Herrera Barriga;Consejo del Banco Central de Chile,6324,Consejo del Banco Central de Chile,ACTA/META,RPM-2012-01-12:T57,INSTITUCIONAL,,"Siendo las 16:00 horas, se reanuda la Reunión de Política Monetaria N° 181, incorporándose a ella el Ministro de Hacienda señor Felipe Larraín."
1,4638,964b0a39992aab0babc3d2c77acba6b40a2be035a48fbe346972e82cd205e7aa,2012-02-14,6401;6402,Kevin Cowan Logan;Consejo del Banco Central de Chile,6402,Kevin Cowan Logan,SUJETO_ROL_NOMBRE,RPM-2012-02-14:T66,INICIO_EXPLICITO,,"El Gerente de División Política Financiera señor Kevin Cowan señala que los spreads de las tasas de los créditos de consumo y comerciales no registran, aparentemente, cambios materiales. En su opinión, las variaciones que se advierten en las tasas de interés se relacionan más con los costos de captación de fondos. Hace presente que ello se observó con intensidad durante los años 2008 y 2009."
1,4638,964b0a39992aab0babc3d2c77acba6b40a2be035a48fbe346972e82cd205e7aa,2012-02-14,6401;6402,Kevin Cowan Logan;Consejo del Banco Central de Chile,6403,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-02-14:T67,INICIO_EXPLICITO,,"Al no haber consultas o comentarios adicionales, el Presidente señor Rodrigo Vergara suspende la presente Reunión para reanudarla a las 16 horas."
1,4638,964b0a39992aab0babc3d2c77acba6b40a2be035a48fbe346972e82cd205e7aa,2012-02-14,6401;6402,Kevin Cowan Logan;Consejo del Banco Central de Chile,6404,Consejo del Banco Central de Chile,ACTA/META,RPM-2012-02-14:T68,INSTITUCIONAL,,"Siendo las 16:00 horas, se reanuda la Reunión de Política Monetaria N° 182, incorporándose a ella el Ministro de Hacienda señor Felipe Larraín."
2,4745,0252c2442e6457a3d39674411a551523d97254e5979562c46cba155260b671d6,2012-04-17,6527,Claudio Soto Gamboa,6529,Claudio Soto Gamboa,SUJETO_ROL_NOMBRE,RPM-2012-04-17:T17,INICIO_EXPLICITO,,"El Gerente de Análisis Macroeconómico señor Claudio Soto plantea que para determinarlo, lo central es que el pivote elegido considere un año normal o en el que la brecha estuvo cerrada. Explica que al elaborar el heat map, se promedia toda la muestra y se asume que en ella, la brecha estuvo precisamente cerrada, y que de acuerdo con ello, los datos correspondientes a los últimos tres a cuatro trimestres dan cuenta de que, efectivamente, la brecha habría estado más abierta en dicho período."
2,4745,0252c2442e6457a3d39674411a551523d97254e5979562c46cba155260b671d6,2012-04-17,6527,Claudio Soto Gamboa,6530,Sergio Lehmann Beresi,CONTEXTO_REVISADO,RPM-2012-04-17:T18,SIN_CONTINUIDAD_CONFIRMADA,,"Al proseguir con su presentación, el Gerente de Análisis Internacional señor Sergio Lehmann se refiere a las proyecciones en materia de crecimiento. Sobre el particular, señala que al utilizar modelos de factores dinámicos, que consideran entre doscientas y trescientas variables, se obtiene que el crecimiento del primer trimestre de la Zona Euro, los Estados Unidos y Japón estaría ligeramente por sobre lo que contemplan el IPoM y Bloomberg, y que ello se asocia fundamentalmente a indicadores de confianza recientes, que muestran una visión algo más optimista en este sentido. A continuación,."
1,4833,1b372af6d512f39ef8da975d8ce2d995c01430f729caf443b15b50033bf83cb8,2012-05-17,6634;6635,Claudio Soto Gamboa;Consejo del Banco Central de Chile,6637,Claudio Soto Gamboa,SUJETO_ROL_NOMBRE,RPM-2012-05-17:T47,INICIO_EXPLICITO,,"El Gerente de Análisis Macroeconómico señor Claudio Soto informa que una comparación de precios de vestuario en el mundo da cuenta de que en Chile se registra una caída mayor que en otros países. Incluso, cita que en el caso de Japón, economía que no registra inflación, mantiene precios de vestuario estables."
1,4833,1b372af6d512f39ef8da975d8ce2d995c01430f729caf443b15b50033bf83cb8,2012-05-17,6634;6635,Claudio Soto Gamboa;Consejo del Banco Central de Chile,6638,Rodrigo Vergara Montes,SUJETO_ROL_NOMBRE,RPM-2012-05-17:T48,INICIO_EXPLICITO,,"Al no haber más comentarios, el Presidente señor Rodrigo Vergara suspende la Reunión y deja constancia que ella se reiniciará a las 15:30 horas."
