Ciclos,ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Texto_Actual
4,754,b7c4a87739ebd1dfe19eb41114f3b9e8cfd6a369d9df1f0aea88bbb9d647ed15,2006-07-13,1008;1009;1010,Vittorio Corbo Lioi;Manuel Marfán Lewis;Rodrigo Valdés Pulido,1008,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2006-07-13:T24,INICIO_EXPLICITO,"El Presidente señor Vittorio Corbo, ofrece la palabra a los asistentes para comentarios."
4,754,b7c4a87739ebd1dfe19eb41114f3b9e8cfd6a369d9df1f0aea88bbb9d647ed15,2006-07-13,1008;1009;1010,Vittorio Corbo Lioi;Manuel Marfán Lewis;Rodrigo Valdés Pulido,1009,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,RPM-2006-07-13:T25,INICIO_EXPLICITO,"En cuanto a los agregados monetarios, el Consejero señor Manuel Marfán señala que si los fondos mutuos son todos filiales de bancos, y se definiera el dinero como todo"
4,754,b7c4a87739ebd1dfe19eb41114f3b9e8cfd6a369d9df1f0aea88bbb9d647ed15,2006-07-13,1008;1009;1010,Vittorio Corbo Lioi;Manuel Marfán Lewis;Rodrigo Valdés Pulido,1010,Igal Magendzo Weinberger,CONTEXTO_REVISADO,RPM-2006-07-13:T26,SIN_CONTINUIDAD_CONFIRMADA,"Responde el señor Gerente de Análisis Macroeconómico, que los fondos mutuos no están dentro del M1, pero sí son parte del M2 y del M3. Por ello, señala que la información del M2 y M3 se podría modificar."
4,754,b7c4a87739ebd1dfe19eb41114f3b9e8cfd6a369d9df1f0aea88bbb9d647ed15,2006-07-13,1008;1009;1010,Vittorio Corbo Lioi;Manuel Marfán Lewis;Rodrigo Valdés Pulido,1011,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,RPM-2006-07-13:T27,INICIO_EXPLICITO,"Comenta el Consejero señor Manuel Marfán, en consecuencia, que si los fondos mutuos estuvieran dentro del sistema bancario, porque en la práctica el grueso de ellos son filiales bancarias, entonces se podría estar observando, estadísticamente, un aumento del M1 que no necesariamente corresponde a un aumento en la demanda de los agentes económicos no financieros."
4,754,b7c4a87739ebd1dfe19eb41114f3b9e8cfd6a369d9df1f0aea88bbb9d647ed15,2006-07-13,1008;1009;1010,Vittorio Corbo Lioi;Manuel Marfán Lewis;Rodrigo Valdés Pulido,1012,Rodrigo Valdés Pulido,SUJETO_ROL_SESION,RPM-2006-07-13:T28,INICIO_EXPLICITO,"El Gerente de División Estudios aclara que en las nuevas definiciones se encuentran considerados los fondos mutuos como si fuesen bancos, ya que esas son las nuevas expresiones de dinero."
2,1335,91a5d6f8e99116c167be930a64678a9a4cff64d9064dceb53b76db4aaa4cc9c7,2007-07-12,1741;1742;1743;1744;1745,Igal Magendzo Weinberger;Esteban Jadresic Marinovic;Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido,1743,Igal Magendzo Weinberger,SUJETO_ROL_NOMBRE,RPM-2007-07-12:T35,INICIO_EXPLICITO,"El Gerente de Análisis Macroeconómico señor Magendzo señala que no tiene certeza sobre qué habría detrás de este fenómeno, en el sentido que tendría que observar qué es lo que está sucediendo con los otros sectores de oferta, como minería en particular. Indica que supone que minería estaría en una velocidad bastante baja debido a que se adelantó la entrada en funcionamiento de minas, que se esperaba que lo hicieran en forma paulatina. Lo anterior, podría haber producido un efecto importante en la velocidad del segundo trimestre, que se atenúa hacia el tercero. Agrega que comercio también tuvo una velocidad en el segundo trimestre que no se espera que se repita en el tercero."
2,1335,91a5d6f8e99116c167be930a64678a9a4cff64d9064dceb53b76db4aaa4cc9c7,2007-07-12,1741;1742;1743;1744;1745,Igal Magendzo Weinberger;Esteban Jadresic Marinovic;Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido,1744,Esteban Jadresic Marinovic,SUJETO_ROL_NOMBRE,RPM-2007-07-12:T36,INICIO_EXPLICITO,"En cuanto al mismo tema del riesgo energético, el Gerente de División Operaciones Financieras señor Esteban Jadresic señala que si bien en el análisis duro, el efecto es el indicado, el efecto directo es más suave, y puede ser difícil de precisar, cree que puede deberse a expectativas de consumidores, de empresas, efectos sobre precios, impacto en las políticas, todo lo cual sumado presenta un escenario extremo, más bien incierto."
2,1335,91a5d6f8e99116c167be930a64678a9a4cff64d9064dceb53b76db4aaa4cc9c7,2007-07-12,1741;1742;1743;1744;1745,Igal Magendzo Weinberger;Esteban Jadresic Marinovic;Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido,1745,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,RPM-2007-07-12:T37,INICIO_EXPLICITO,"En relación al precio del trigo y de la leche, el Consejero señor Manuel Marfán señala que en el gráfico expuesto habría que presentarlo en escalas que sean comparables, ya que el precio de la leche aparece en una escala 330-690 y en el otro en una 8 veces mayor, lo que dificulta visualmente la observación del gráfico, en que la curva sería mayor a la que se percibe."
2,1335,91a5d6f8e99116c167be930a64678a9a4cff64d9064dceb53b76db4aaa4cc9c7,2007-07-12,1741;1742;1743;1744;1745,Igal Magendzo Weinberger;Esteban Jadresic Marinovic;Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido,1746,Igal Magendzo Weinberger,SUJETO_ROL_SESION,RPM-2007-07-12:T38,INICIO_EXPLICITO,"Sobre el particular, el Gerente de Análisis Macroeconómico agradece la consulta del Consejero señor Manuel Marfán y señala que la correlación que se ha encontrado es que la transformación de la leche en polvo en los mercados internacionales, una vez que se convierte a pesos por litro, por el tipo de cambio promedio y por un factor de conversión que entrega ODEPA, se obtiene que serían necesarios 8,4 litros de leche para un kilo de leche en polvo entera, lo que da como resultado que la leche líquida en Chile tenga un precio de $230 aproximadamente, en promedio mayor que la leche en polvo en los referidos mercados internacionales. Agrega que los costos de transporte son muy pequeños comparados con el valor del kilo de leche y que una vez exportado este producto, el proceso finaliza, en cambio para poner la leche líquida en la casa de una persona que es lo que se está midiendo en el IPC conlleva costos de comercialización, de procesamiento y otros que resultan mayores. fi"
2,1335,91a5d6f8e99116c167be930a64678a9a4cff64d9064dceb53b76db4aaa4cc9c7,2007-07-12,1741;1742;1743;1744;1745,Igal Magendzo Weinberger;Esteban Jadresic Marinovic;Manuel Marfán Lewis;Igal Magendzo Weinberger;Rodrigo Valdés Pulido,1747,Rodrigo Valdés Pulido,SUJETO_ROL_NOMBRE,RPM-2007-07-12:T39,INICIO_EXPLICITO,"El Gerente de Estudios señor Rodrigo Valdés señala que a continuación se presenta un anexo sobre implicancias y shocks recientes en proyecciones de mediano plazo. Agrega el señor Valdés que este ejercicio supone que se sube la tasa en 50 puntos base, en promedio, el segundo trimestre. Es decir, como si nos hubiéramos anticipado que en mayo se producirían shocks y nos convencimos que había que subir la tasa rápidamente y ya estaríamos en junio con una Tasa de Política Monetaria de 5,5%."
4,1858,c668fe3a84ffbe1c49fdaa321f2e8245900792d6bcb7598bb38f5c701d31ca03,2008-06-10,2514;2515;2516;2517,José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Sergio Lehmann Beresi,2516,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2008-06-10:T9,INICIO_EXPLICITO,"El Presidente don José De Gregario menciona que el efecto comparación siempre es complicado puesto que no hay una medida homogénea y todos los bancos de inversión y el Fondo Monetario Internacional ponen ¡PC e ¡PC Care, y el¡PC Core que toman es derechamente el que indican las autoridades. Por ejemplo, comenta que en el caso del ¡PC Core, siempre que se mira y compara dicho indicador, y como el nuestro es muy cercano se obtiene poco, y si se compara con otros lados, es bajísimo, entonces, plantea el señor Presidente que habría que revisar detenidamente ese tema, además de la implicancia que tiene la forma cómo se reporta la información, ya que es la misma forma en todos lados. .LI I"
4,1858,c668fe3a84ffbe1c49fdaa321f2e8245900792d6bcb7598bb38f5c701d31ca03,2008-06-10,2514;2515;2516;2517,José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Sergio Lehmann Beresi,2517,Sergio Lehmann Beresi,CONTEXTO_REVISADO,RPM-2008-06-10:T10,SIN_CONTINUIDAD_CONFIRMADA,"Continuando con la presentación del escenario internacional, el señor Sergio Lehmann indica que en Japón la tendencia es a mayores niveles de inflación en el margen, a pesar de observarse una ligera caída por razones coyunturales, pero claramente en el caso de esta economía también se han observado mayores presiones de inflación. Indica el señor Gerente que dando una mirada a las regiones, la inflación en general tiende a acelerarse, y especialmente importante, es la aceleración que muestra la inflación en Asia, y China por cierto es una de estas economías, pero el resto de las economías también están mostrando niveles de inflación más importantes, incluso, como ya se comentó hace una semana atrás, muchas de estas economías han tendido a sacar subsidios a combustibles, como es el caso de Tailandia, Indonesia, Malasia, lo que ha tendido a presionar los niveles de precios. Ante una consulta del señor Presidente, el señor Lehmann señala que las variaciones presentadas son mensuales semestre móvil."
4,1858,c668fe3a84ffbe1c49fdaa321f2e8245900792d6bcb7598bb38f5c701d31ca03,2008-06-10,2514;2515;2516;2517,José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Sergio Lehmann Beresi,2518,José De Gregorio Rebeco,SUJETO_ROL_SESION,RPM-2008-06-10:T11,INICIO_EXPLICITO,"Al respecto, el señor Presidente comenta que Asia 2 cae bruscamente cuando están liberando precios."
4,1858,c668fe3a84ffbe1c49fdaa321f2e8245900792d6bcb7598bb38f5c701d31ca03,2008-06-10,2514;2515;2516;2517,José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Sergio Lehmann Beresi,2519,Sergio Lehmann Beresi,SUJETO_NOMBRE,RPM-2008-06-10:T12,INICIO_EXPLICITO,"En tal sentido, el señor Lehmann indica que ello explica una aceleración relativamente importante en la inflación mes a mes de Asia."
3,1923,43bc8834429e7dd1c19c068121fef592958a11556fefa8518eaa78d6c5a615c0,2008-07-10,2620;2621;2622;2623;2624;2625;2626,José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Pablo García Silva;Sergio Lehmann Beresi,2622,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2008-07-10:T12,INICIO_EXPLICITO,El Presidente don José De Gregorio comenta que en Brasil cayó el precio de la energía
3,1923,43bc8834429e7dd1c19c068121fef592958a11556fefa8518eaa78d6c5a615c0,2008-07-10,2620;2621;2622;2623;2624;2625;2626,José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Pablo García Silva;Sergio Lehmann Beresi,2623,Andrés Velasco Brañes,CONTEXTO_REVISADO,RPM-2008-07-10:T13,SIN_CONTINUIDAD_CONFIRMADA,"y el señor Ministro de Hacienda agrega que en México y Perú los precios de ios combustibles están fijos en moneda local, pero que, sin embargo, la electricidad en Chile ha subido dos, tres o cuatro veces el incremento que ha experimentado en otros países."
3,1923,43bc8834429e7dd1c19c068121fef592958a11556fefa8518eaa78d6c5a615c0,2008-07-10,2620;2621;2622;2623;2624;2625;2626,José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Sergio Lehmann Beresi;José De Gregorio Rebeco;Pablo García Silva;Sergio Lehmann Beresi,2624,Sergio Lehmann Beresi,SUJETO_ROL_SESION,RPM-2008-07-10:T14,INICIO_EXPLICITO,"El Gerente de Análisis Internacional continúa su presentación, señalando que bajo este escenario han aumentado de manera significativa las expectativas inflacionarias. Indica que la gráfica muestra las expectativas inflacionarias en distintas regiones, incluyendo Chile y también China para 2008 y 2009, y que claramente las tendencias son, para la generalidad de los casos, inflaciones esperadas promedio para Consensos Forecast. Para Chile y América Latina, es la inflación esperada a diciembre de cada año. Para el año 2009 también se esperan aumentos de expectativas inflacionarias mucho más moderados y de hecho los niveles, como se puede apreciar en la gráfica que se exhibe, en algún grado son marginalmente más bajos. Indica el señor Lehmann que con datos de mayo probablemente, no se recogen las sorpresas inflacionarias de junio, y seguramente no se muestra el caso particular de Chile. No obstante, los aumentos de TPM en las economías desarrolladas serían menos pronunciados, como en el caso de Estados Unidos de América. Agrega que se muestran los futuros de TPM, hace un mes atrás, comparados con los que se recogen hoy día. En el caso de la Zona Euro, el cambio es un poco más marcado. En el caso de Japón no hay cambios significativos. Destaca particularmente en el caso de Estados Unidos de América, que la curva tuvo bastantes movimientos, de hecho hace dos o tres semanas atrás, probablemente si se hubiese graficado esta línea habría salido muy arriba, es decir, el mercado estaba esperando tres aumentos de TPM. Luego, a propósito de las preocupaciones en términos de actividad y también de nuevos ruidos en los mercados financieros , esto ha tendido a moderarse y hoy día las expectativas de aumento de TPM están bastante más cargadas hacia una tendencia más moderada. Indica que la gráfica muestra lo que se está viendo en materia de expectativas de tasa hoy día; lo que se estaba viendo hace un mes atrás donde está bastante marcado como posición mayoritaria una TPM en 3% en diciembre de 2008; y hoy día se está pensando entre 2 y 2,5%, con probabilidades bastante similares."
