ID_Padre,SHA256_Texto_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,ID_Turno,Relacion_Turno,Alertas_Actuales,Texto_Actual
219,2c50da93f36422325838d10674bc4d7f4845066b9b44d895ff31457d335fb7c7,2005-04-07,258;259,Vittorio Corbo Lioi;Consejo del Banco Central de Chile,258,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2005-04-07:T55,INICIO_EXPLICITO,,"El Presidente señor Vittorio Corbo señala que se suma a las felicitaciones ya expresadas, por el muy buen trabajo realizado por la Gerencia de División Estudios. Indica que en la economía nacional, las cifras siguen confirmando un escenario de crecimiento y de inflación similar al presentado en el último Informe de Política Monetaria. En particular, la aceleración en el crecimiento que habíamos observado en el último trimestre de! 2004 y los riesgos que enfrenta el mantenimiento de altos precios del petróleo y aquellos que enfrenta la economía mundial hacen menos probable una aceleración del crecimiento interno. De hecho, aunque las proyecciones de crecimiento de la economía mundial presentadas por el staff siguen mostrando un escenario central donde el crecimiento para los años 2005 y 2006 se mantiene favorable, aunque con tasas de crecimiento un poco más bajas que las del 2004, dicho escenario enfrenta riesgos que están principalmente sesgados a la baja. Éstos están asociados al mantenimiento de altos precios del petróleo - y bastante más altos de los utilizados en la mayor parte de las proyecciones- y a un mayor riesgo de un aumento de tasas en Estados Unidos de América por encima del que anticipa el mercado y los principales precios de los activos financieros. De otra parte, las distintas medidas de inflación subyacente continúan acelerándose en el margen. En paralelo, el pronunciado aumento en el precio del petróleo requiere ser muy cauto para evitar efectos de segunda vuelta en precios distintos de los combustibles. Para esto último, es fundamental la credibilidad de los agentes con respecto al compromiso central del Banco Central con la meta de inflación. Por lo anterior, lo más adecuado es continuar el proceso de normalización de la política monetaria efectuando otro aumento de 25 puntos base en dicha tasa. Por todo lo anterior su voto también es por aumentar en 25 puntos base la tasa de política."
219,2c50da93f36422325838d10674bc4d7f4845066b9b44d895ff31457d335fb7c7,2005-04-07,258;259,Vittorio Corbo Lioi;Consejo del Banco Central de Chile,259,Consejo del Banco Central de Chile,ACTA/META,RPM-2005-04-07:T56,INSTITUCIONAL,,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 76-01-050407-Tasa de Política Monetaria. Se acuerda aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3% anual. Comunicado “ En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, aumentar la tasa de interés de política monetaria en 25 puntos base hasta 3% anual. La información disponible muestra que el gasto continúa exhibiendo una expansión robusta, en tanto que el crecimiento de la actividad sigue siendo sólido, aunque con una intensidad un poco menor que en trimestres pasados. Este escenario se ve apoyado por condiciones monetarias en Chile que continúan siendo claramente expansivas y por un entorno internacional favorable, pero cuyos riesgos se han incrementado. La información de precios más reciente indica que las distintas mediciones de la tendencia inflacionaria actual han seguido aumentando gradualmente, en línea con las proyecciones del último Informe de Política Monetaria. A ello se agrega cierta volatilidad en la inflación mensual, provocada por los aumentos en el precio internacional del petróleo a través de efectos directos y de precios regulados, situación que probablemente se mantenga en el corto plazo. La tendencia de la inflación y el estímulo monetario actual hacen recomendable aumentar la tasa de interés de política. Este ajuste reduce el riesgo de movimientos abruptos en el futuro y es coherente con el proceso de normalización de la política monetaria y las buenas perspectivas de la economía nacional. El Consejo reitera su compromiso de ajustar la política monetaria de manera de mantener una trayectoria para la inflación esperada en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses. En el escenario más probable, esto involucra aumentos pausados de la tasa de política."""
294,8f881e1fbf3705df4784fd5ffd1bb3763558de7f072fa61ff9a36ac9a899d9e7,2005-06-09,353;354,Vittorio Corbo Lioi;Consejo del Banco Central de Chile,353,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2005-06-09:T34,INICIO_EXPLICITO,,"El Presidente señor Vittorio Corbo, señala que también comparte la evaluación de la Gerencia de División Estudios, y cree que las opciones de política que han presentado describen muy bien la situación que enfrentamos hoy, destacando una situación externa que se mantiene favorable, pero a la vez con importantes riesgos, y una evolución de la actividad y el gasto coherente con el escenario central del IPOM. En paralelo, señala el señor Presidente la inflación subyacente ajustada por tarifas reguladas también evoluciona en forma coherente con nuestras proyecciones centrales. Agrega el señor Presidente, que de mantenerse este escenario en el tiempo, el continuo progreso en el estrechamiento de las holguras de capacidad, debería contribuir al aumento paulatino de la inflación. En estas circunstancias, la convergencia de la inflación hacia el centro del rango meta en el escenario habitual de proyección, requiere el retiro paulatino del excesivo estímulo monetario lo que es parte integral de nuestras proyecciones en el último IPOM. Por lo anterior, también se pronuncia por mantener la tasa de política y, de esta forma, continuar con la normalización pausada de la política monetaria."
294,8f881e1fbf3705df4784fd5ffd1bb3763558de7f072fa61ff9a36ac9a899d9e7,2005-06-09,353;354,Vittorio Corbo Lioi;Consejo del Banco Central de Chile,354,Consejo del Banco Central de Chile,ACTA/META,RPM-2005-06-09:T35,INSTITUCIONAL,,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 79-01-050609 - Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, mantener la tasa de interés de política monetaria en 3,25% anual. Siendo las 16.30 hrs. se retiran de la Sala el señor Ministro de Hacienda, señor Nicolás Eyzaguirre Guzmán y la Asesora Macroeconómica del Ministerio de Hacienda, señora Bernardita Piedrabuena Keymer. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central resolvió, por unanimidad, mantener la tasa de interés de política monetaria en 3,25%. La información disponible muestra que la inflación y la actividad económica exhiben un comportamiento coherente con el panorama previsto en el último Informe de Política Monetaria. El crecimiento del producto sigue siendo superior a su tendencia, apoyado por un entorno internacional favorable y por condiciones monetarias en Chile que continúan siendo claramente expansivas. En línea con lo previsto, la tendencia inflacionaria sigue aumentando gradualmente, no obstante los vaivenes que originan los cambios de los precios de los combustibles y algunas tarifas reguladas sobre la inflación del IPC y del IPCX (que excluye los combustibles y bienes perecibles). Los costos laborales unitarios se mantienen contenidos, a pesar del mayor incremento de los salarios por hora. La decisión de mantener la Tasa de Política Monetaria en esta oportunidad no modifica la expectativa de reducción pausada del impulso monetario. El Consejo estima que esta estrategia permite alcanzar, en el escenario más probable, una inflación en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.”"
310,5307857369033ea9db7f617cbd4839a3e94aa677c2819954dcc81d0462a2ca09,2005-07-12,404;405;406,José De Gregorio Rebeco;Vittorio Corbo Lioi;Consejo del Banco Central de Chile,404,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,RPM-2005-07-12:T48,INICIO_EXPLICITO,,"El Vicepresidente, señor José De Gregorio, señala que la evolución de la economía es consistente con nuestro escenario central de IPOM, en materia de cumplimiento de la meta inflacionaria, el que a su vez sirve de sustento a la actual política de retirar gradualmente el impulso monetario expansivo. Señala que los riesgos, respecto al nivel de actividad se han ido disipando y en materia de crecimiento probablemente nos encontramos en la parte superior del rango estimado y no se puede descartar que incluso por arriba del mismo. Indica también que, por su parte, la evolución de la inflación habida cuenta del impacto del precio del petróleo, que ha sido la principal noticia negativa del escenario macro, las tarifas reguladas y el shock de bienes perecibles, es coherente con nuestra meta de inflación, en que se verá un IPC mayor al indicado en el IPOM, a fines de este año. Agrega el Consejero señor De Gregorio, que las presiones inflacionarias se encuentran acotadas, en particular dada la evolución de los costos laborales unitarios y que la inflación debería converger gradualmente al centro del rango meta, lo que requiere una gradual normalización de la tasa de interés hacia sus niveles de neutralidad. Asimismo, señala que la posibilidad de un escenario más dinámico, desde el punto de vista de la actividad, no cambia hoy día de manera significativa la evolución esperada de la inflación, aunque habrá que seguir cuidadosamente las potenciales presiones que puedan surgir en el futuro, para evaluar la necesidad de ajustar el actual ritmo de ajuste. Finalmente, expresa que por lo anterior, no ve razones para cambiar esta estrategia de política monetaria, ya sea en la dirección de acelerar el ritmo de alzas de tasas de interés o de hacerl o más pausado y, por lo tanto, tampoco cree que corresponda dar señales comunicacionales que desvíen de indicar claramente esta estrategia. Por último, el Vicepresidente señor De Gregorio manifiesta que, tal como ya ha sido señalado, mantener la tasa de interés sin cambio daría una confusa señal, indicando que la velocidad se habría reducido. Lo mismo se puede decir para un aumento de 50 puntos base, lo que reflejaría un innecesario aumento en la velocidad de normalización de tasas. Por lo tanto, considera que en esta reunión, después de haber mantenido la tasa el mes pasado, la decisión más adecuada es subir la tasa de interés en 25 puntos base y, en consecuencia, su voto es en tal sentido. U)"
310,5307857369033ea9db7f617cbd4839a3e94aa677c2819954dcc81d0462a2ca09,2005-07-12,404;405;406,José De Gregorio Rebeco;Vittorio Corbo Lioi;Consejo del Banco Central de Chile,405,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2005-07-12:T49,INICIO_EXPLICITO,,"El Presidente, señor Vittorio Corbo, manifiesta que como lo ilustra la Minuta de la Gerencia de División Estudios, los antecedentes disponibles muestran que el sólido crecimiento del producto continúa y supera nuestras proyecciones del último IPOM. De otra parte, por el lado de la demanda, la inversión se mantiene robusta, el consumo privado responde favorablemente a la mejora continua en el mercado laboral y a las buenas perspectivas económicas y, con la excepción de la minería, los volúmenes exportados muestran un sólido crecimiento. En el lado financiero, los agregados monetarios y las colocaciones -tanto a personas como a empresas- crecen a tasas anuales de dos dígitos y la Bolsa alcanza niveles récord. Este ciclo expansivo en el producto, la demanda y los mercados financieros, que está siendo impulsado por un entorno externo que se mantiene favorable, a pesar de los altos precios del petróleo, y condiciones monetarias que continúan siendo claramente expansivas, disipa los riesgos negativos sobre la proyección de crecimiento que visualizábamos en el último IPOM. Por el lado de la inflación, tanto la inflación efectiva como la proyectada para el resto del año del IPC y del IPCX se aumentan, impulsadas principalmente por los incrementos en el precio de los combustibles, en las tarifas reguladas, y en algunos bienes perecederos, los que no eran parte de nuestro escenario central del último IPOM. En contraste, la inflación del IPCX1 se incrementa hacia el centro del rango meta en línea con las proyecciones del último IPOM. A medida que progrese el proceso de cierre de brechas, la inflación del IPC (y sus variantes) debería continuar su ciclo ascendente. La combinación del cierre progresivo de brechas de capacidad con los shocks en los precios de combustibles, en las tarifas reguladas y en algunos bienes perecederos, aumenta los riesgos que los efectos de segunda vuelta sobre el IPC lleven a la inflación, en el horizonte de política, por sobre el centro del rango meta, aumentando también el riesgo que las expectativas de inflación comiencen a desviarse en forma sistemática de este nivel. En estas circunstancias, para mantener la inflación y las expectativas de ésta en torno al centro del rango meta en el horizonte habitual de proyección, corresponde continuar con el proceso de normalización de la política monetaria para llevarla progresivamente a un nivel más neutral. El ritmo que termine tomando este proceso va a depender de la forma en que evolucione la tendencia inflacionaria en los meses venideros. Por lo anterior, su voto es a favor de un alza de 25 puntos bases en la TPM."
310,5307857369033ea9db7f617cbd4839a3e94aa677c2819954dcc81d0462a2ca09,2005-07-12,404;405;406,José De Gregorio Rebeco;Vittorio Corbo Lioi;Consejo del Banco Central de Chile,406,Consejo del Banco Central de Chile,ACTA/META,RPM-2005-07-12:T50,INSTITUCIONAL,,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 80-01-050712-T a s a de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,5% anual. Comunicado “ En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,5% anual. La información disponible muestra que el crecimiento de la actividad sigue siendo superior a su tendencia, apoyado por condiciones monetarias en Chile que continúan siendo claramente expansivas y por un entorno internacional favorable, pese a los elevados precios del petróleo. La inversión ha seguido creciendo con inesperado vigor, mientras el empleo ha aumentado a tasas elevadas, lo que favorece el dinamismo del consumo. La inflación mensual del IPC ha sido mayor que lo proyectado en el último Informe de Política Monetaria, por la incidencia de alzas en los precios de los combustibles, de ciertas tarifas reguladas y en los precios de algunos bienes perecibles. Sin embargo, la tendencia inflacionaria sigue aumentando gradualmente, en linea con lo previsto. El Consejo reitera su compromiso de conducir la política monetaria de manera de mantener una trayectoria para la inflación esperada en torno a 3% anual en el horizonte habitual de política de 12 a 24 meses.”"
503,c36eb48257e5350bb9c5e5406fbbb80d69b55e61a618f1ef6a877cd46913f664,2005-11-10,603,Vittorio Corbo Lioi,603,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,RPM-2005-11-10:T54,INICIO_EXPLICITO,,"El Presidente señor Vittorio Corbo, expresa que la economía mundial mantiene un alto dinamismo, aunque los riesgos han aumentado especialmente en el lado de la inflación cuando se saca un saldo en la inflación efectiva que amenaza con desanclar las expectativas de inflación, las favorables condiciones externas y una política monetaria que sigue siendo expansiva resulta del crecimiento del producto mayor a su potencial. En paralelo, el mercado laboral continúa mostrando alto dinamismo y la tasa de desempleo sigue cayendo. Este cuadro macro está asociado a un gasto interno que mantiene un alto dinamismo liderado por la inversión de capital fijo y, en menor medida, por un fortalecimiento del consumo y una inflación subyacente, que tal como se prevé en el Informe de Política Monetaria de septiembre, se acerca gradualmente al centro del rango meta, aunque a un ritmo menor de lo proyectado. Por otra parte, como resultado en gran medida de shocks de precios de combustibles y de algunos bienes perecibles, la inflación se acelera, superando ya el limite más alto del rango meta. Señala el señor Presidente, que hasta ahora no hay evidencia de que la mayor inflación observada esté teniendo efectos de segunda vuelta en otros precios ni que esté afectando a las medidas de expectativas de inflación en periodos mayores a 12 meses. Le parece que la alta competencia, las utilidades empresariales elevadas y las variaciones acotadas en los costos laborales unitarios protegen, hasta ahora, que se materialicen efectos de segunda vuelta que puedan terminar afectando a la tendencia inflacionaria. Sin embargo, en una economía donde el producto crece por encima de su potencial y con un mercado laboral dinámico, existe el riesgo que el mantenimiento por algunos meses de tasas de inflación por encima del límite superior del rango meta, pueda terminar afectando en forma más duradera la tendencia inflacionaria y desanclar las expectativas de inflación. En estas circunstancias, estima que el Banco Central de Chile necesita mantenerse atento para evitar que la inflación de tendencia termine alejándose en forma más persistente del centro del rango meta. Consecuente con esta situación, lo apropiado es seguir normalizando gradualmente la política monetaria para que se mantenga el proceso de crecimiento sostenido y la inflación de tendencia anclada en torno al centro del rango meta. Indica, asimismo, que con esta estrategia se reduce también la probabilidad de tener que introducir un alza de la tasa de política monetaria de mayor magnitud en el futuro y también con costos más pronunciados. Por todo lo anterior, su voto también es por subir la tasa de política monetaria en 25 puntos base."
503,c36eb48257e5350bb9c5e5406fbbb80d69b55e61a618f1ef6a877cd46913f664,2005-11-10,603,Vittorio Corbo Lioi,604,Consejo del Banco Central de Chile,ACTA/META,RPM-2005-11-10:T55,INSTITUCIONAL,,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 85-01-051110-T a sa de Política monetaria."
526,5c87ccf649bc2eaba65852ad9c41c7c7655e7a1daaf9ce304dabf3c0feab5967,2005-12-13,665;666,Vittorio Corbo Lioi;Consejo del Banco Central de Chile,666,Vittorio Corbo Lioi,SUJETO_NOMBRE,RPM-2005-12-13:T61,INICIO_EXPLICITO,,"El Presidente señor Vittorio Corbo, una vez más felicita a la Gerencia de División Estudios por su valiosa y clara presentación de opciones de política. Manifiesta el señor Corbo que los antecedentes acumulados desde la última Reunión de Política Monetaria indican que el escenario externo central ha mejorado en el margen y sus riesgos se han moderado. Esto es un reflejo de mejores cifras de crecimiento en Estados Unidos de América, China y Japón y mejores perspectivas de crecimiento de la zona Euro, de una relativa normalización en los precios de los combustibles, y del nuevo aumento en el precio del cobre. Además, las condiciones financieras internacionales siguen siendo favorables. De otra parte, los menores registros inflacionarios de octubre y una inflación subyacente estable reducen los aumentos esperados de tasas en Estados Unidos de América. Sin embargo, el inicio del ciclo de normalización de la política monetaria llega a la zona Euro y se ve ahora más próximo en Japón. Esto anticipa que los anormalmente bajos spreads soberanos y las muy bajas tasas de interés internacionales debieran aumentar en el 2006. En el frente interno, la demanda interna sigue mostrando un sólido dinamismo mientras que la actividad muestra una cierta desaceleración en el margen. El mercado laboral muestra menos dinamismo en el margen, pero a la par disminuye la tasa de participación, aumenta la tasa de crecimiento de los salarios nominales por hora y baja la tasa de desempleo. En el frente inflacionario interno, la inflación mensual del IPC cae a niveles negativos, su proyección de corto plazo se reduce y no hay evidencia que la mayor inflación observada en meses recientes esté teniendo efectos importantes de segunda vuelta en otros precios ni que esté afectando las medidas de expectativas de inflación a períodos de 12 meses y más. De hecho, la inflación desestacionalizada y anualizada del IPCX1 se ha mantenido en los últimos cinco meses en torno al 3%, algo por debajo de la proyectado en el último IPoM, en tanto que el resto de las medidas de tendencia inflacionaria detuvo su aumento. Además, la mayoría de las medidas de expectativas de inflación a plazos de un año convergen al 3%. En el corto plazo están presente tres factores que en términos netos tienden a mantener la inflación acotada. De una parte, los precios de los combustibles detuvieron su carrera alcista, y el peso experimenta una apreciación real y nominal, mientras que, de otra parte, los costos laborales unitarios aumentan su tasa de crecimiento aunque a partir de valores muy bajos. Dado que se ha reducido significativamente el riesgo de un desanclaje de las expectativas, lo que corresponde es regresar a una dinámica de TPMs más acorde con el escenario que teníamos en el último IPoM y, por lo tanto, hacer esta vez una pausa en el proceso de normalización de la política monetaria. Esto permitirá también acumular nuevos antecedentes sobre el dinamismo de la actividad, la trayectoria de las brechas de capacidad y las tendencias inflacionarias, y así tener más elementos para poder calibrar la normalización de la política monetaria de modo que la inflación converja al centro del rango meta en el horizonte habitual de política. Por lo anterior, su voto es también por el mantenimiento de la tasa de política monetaria."
