ID_Padre,Fecha,IDs_Antes,Actores_Antes,ID_Actual,Actor_Actual,Fuente_Actor,Texto_Actual
702,2006-06-15,931,Esteban Jadresic Marinovic,931,Manuel Marfán Lewis,SUJETO_ROL_NOMBRE,"Con
respecto a lo anterior el Consejero señor Mari^án, señala que se mencionó que se había bajado
la proyección de 4,7% a 4,5% el segundo trimestre."
1391,2007-08-09,1802;1803,Pablo García Silva → Pablo García Silva,1802,Pablo García Silva,SUJETO_ROL_NOMBRE,"El Gerente de División Política Financiera señor Pablo García se manifiesta de acuerdo con las opciones planteadas por la Gerencia de División Estudios, inclinándose por un aum ento de la Tasa de Política Monetaria de 25 puntos base en esta ocasión. Comenta que los desarrollos recientes justifican una decisión como ésta. En particular, su comentario se justifica porque el cierre de holguras que presagia mayores presiones de costos a futuro, aunque éstas no se manifiesten aún; por los significativos shocks de oferta, que incrementan la inflación anualizada de todas las medidas de inflación anual y aceleran también la inflación instantánea de los componentes más subyacentes; el levantamiento de las expectativas de inflación a plazos más largos, medidas sea por la compensación inflacionaria o por algunas medidas directas de expectativas. Estima el señor García que no todos estos argumentos se deben acum ular para motivar una reacción de política más agresiva, por cuanto se puede esperar con cierta confianza que varios de ellos sean de carácter transitorio y posiblemente se disipen en los próximos trimestres. De no ser así, cree que el Banco Central de Chile tendría tiempo suficiente para actuar con más agresividad en el futuro, si es que las condiciones así lo ameritan. En relación con las implicancias del entorno financiero más turbulento de las últimas semanas y días, estima el señor Gerente de División Política Financiera que ello no debiese por ahora empujar las acciones de política monetaria en una dirección u otra. Por un lado, si se avecinan efectos contractivos en el crecimiento del mundo, ello naturalmente tenderá a suavizar la dinámica de crecimiento local de la actividad y el gasto. Por otro lado, las economías emergentes y Chile parecen estar enfrentando de manera relativamente benigna esta normalización de las condiciones financieras globales."
1450,2007-09-13,1872,Jorge Desormeaux Jiménez,1871,Jorge Desormeaux Jiménez,SUJETO_ROL_NOMBRE,"El Consejero señor Jorge Desormeaux, en relación a las ventas de viviendas, señala que es posible considerar que una familia que estaba evaluando la compra de una vivienda, que observa que ha disminuido su presupuesto mensual, porque subieron una serie de otros bienes, posterga su decisión de compra para no comprometer sus ingresos futuros."
1450,2007-09-13,1872,Jorge Desormeaux Jiménez,1872,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,"En lo que se refiere a actividad y demanda, el Vicepresidente señor De Gregorio consulta si en la proyección del IPoM de septiembre se consideró el d ía 17 como laboral para el efecto calendario."
1456,2007-09-13,1880;1881;1882;1883,Vittorio Corbo Lioi → Consejo del Banco Central de Chile → Vittorio Corbo Lioi → Pablo García Silva,1880,Vittorio Corbo Lioi,SUJETO_ROL_NOMBRE,"El Presidente, señor Vittorio Corbo, suspende la Sesión a las 13.50 horas e informa que la misma se reanudará a las 16:00 horas."
1456,2007-09-13,1880;1881;1882;1883,Vittorio Corbo Lioi → Consejo del Banco Central de Chile → Vittorio Corbo Lioi → Pablo García Silva,1881,Consejo del Banco Central de Chile,ACTA/META,"Siendo las 16:00 horas, se reanuda la Sesión de Política Monetaria N° 113."
1456,2007-09-13,1880;1881;1882;1883,Vittorio Corbo Lioi → Consejo del Banco Central de Chile → Vittorio Corbo Lioi → Pablo García Silva,1882,Vittorio Corbo Lioi,SUJETO_ROL_SESION,"En primer lugar, el señor Presidente comunica que la Reunión de Política Monetaria del mes de marzo de 2008 será el jueves 13 de ese mes. Asimismo el señor Presidente ofrece la palabra al Gerente de División Política Financiera señor Pablo García, quien ha solicitado efectuar una aclaración respecto de la reunión de mañana."
1456,2007-09-13,1880;1881;1882;1883,Vittorio Corbo Lioi → Consejo del Banco Central de Chile → Vittorio Corbo Lioi → Pablo García Silva,1883,Pablo García Silva,SUJETO_ROL_NOMBRE,"Se refiere el Gerente de División señor García respecto a la paradoja comentada por el Consejero señor Manuel Marfán, respecto a que el tipo de cambio se haya apreciado a pesar de que las tasas en dólares en el mercado local hayan estado subiendo. Estima que en la discusión faltó considerar un elemento que permite explicar esa aparente paradoja y es que en realidad el diferencial de tasas a plazos más largos, por ejemplo a diez años en Chile y Estados Unidos, se ha movido en direcciones opuestas al diferencial de tasas a tres meses. Indica el señor Gerente que en Chile las tasas han caído, pero han caído mucho más las tasas a un plazo de 10 años afuera, por lo tanto el diferencial de tasas ha apoyado una apreciación del tipo de cambio y, a horizontes de esa magnitud lo que ocurre a tres meses es irrelevante, es decir, la curva ha tomado una forma un poco anómala a tres meses, pero a largo plazo sí se ha movido en dirección a apoyar un fortalecimiento del peso."
1621,2008-01-10,2137;2138;2139;2140,José De Gregorio Rebeco → Sergio Lehmann Beresi → Manuel Marfán Lewis → Andrés Velasco Brañes,2137,José De Gregorio Rebeco,SUJETO_ROL_NOMBRE,El Presidente señor José De Gregorio consulta qué sucede con la diferencia de la ponderación entre las cifras antiguas y las nuevas que resulten de este cambio.
1621,2008-01-10,2137;2138;2139;2140,José De Gregorio Rebeco → Sergio Lehmann Beresi → Manuel Marfán Lewis → Andrés Velasco Brañes,2138,Sergio Lehmann Beresi,SUJETO_ROL_NOMBRE,"El Gerente señor Lehmann señala que efectivamente es importante la ponderación de las paridades del poder de compra, lo que significa una baja de China e India, derivada de la mencionada modificación, que tiene por objeto renovar y revisar las indicaciones de los precios internos de esas economías y también las de otros países."
