"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Lote3"
"RPM-2005-01-11:38:1","RPM-2005-01-11:39:1","Rodrigo Valdés Pulido","False","5917","1047","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2005-02-10:120:1","RPM-2005-02-10:121:1","Rodrigo Valdés Pulido","False","2855","3940","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2005-05-12:264:1","RPM-2005-05-12:265:1","Rodrigo Valdés Pulido","False","3765","3854","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2006-07-13:780:2","RPM-2006-07-13:780:3","Vittorio Corbo Lioi","True","1655","1763","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_LIMITE_PREVIO"
"RPM-2007-02-08:1092:1","RPM-2007-02-08:1092:2","Esteban Jadresic Marinovic","True","276","2821","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","ENLACE_RESPALDADO_POR_LECTURA"
"RPM-2007-12-13:1603:1","RPM-2007-12-13:1604:1","José De Gregorio Rebeco","False","176","120","SUJETO_ROL_SESION","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2008-01-10:1630:1","RPM-2008-01-10:1631:1","José De Gregorio Rebeco","False","164","120","SUJETO_ROL_SESION","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2008-03-13:1728:2","RPM-2008-03-13:1728:3","Andrés Velasco Brañes","True","1023","2296","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2008-05-08:1840:1","RPM-2008-05-08:1841:1","José De Gregorio Rebeco","False","164","134","SUJETO_ROL_SESION","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
"RPM-2008-06-10:1904:2","RPM-2008-06-10:1905:1","Kevin Cowan Logan","False","1358","1295","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","CARGO_EN_DISCURSO_POR_VERIFICAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","FUERA_DE_ESTE_LOTE_NO_ADJUDICADO"
