ID_Padre,Fecha,ID_Antes,ID_Actual,Actor,Rol_Antes,Rol_Actual,Fuente_Rol
1853,2008-06-10,2486,2492,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1855,2008-06-10,2488,2494,Pablo García Silva,Consejero,Gerente de División Estudios,LISTA_ASISTENCIA
1856,2008-06-10,2489,2495,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1858,2008-06-10,2492,2498,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1858,2008-06-10,2494,2500,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1859,2008-06-10,2496,2502,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1860,2008-06-10,2498,2504,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1861,2008-06-10,2500,2506,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1862,2008-06-10,2502,2508,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1865,2008-06-10,2505,2511,Pablo García Silva,Consejero,Gerente de División Estudios,LISTA_ASISTENCIA
1867,2008-06-10,2507,2513,Claudio Soto Gamboa,Consejero,Gerente de Análisis Macroeconómico,LISTA_ASISTENCIA
1867,2008-06-10,2508,2514,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1868,2008-06-10,2510,2516,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1869,2008-06-10,2513,2519,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1869,2008-06-10,2515,2521,Claudio Soto Gamboa,Consejero,Gerente de Análisis Macroeconómico,LISTA_ASISTENCIA
1869,2008-06-10,2517,2523,Claudio Soto Gamboa,Consejero,Gerente de Análisis Macroeconómico,LISTA_ASISTENCIA
1870,2008-06-10,2520,2526,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1870,2008-06-10,2522,2528,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
1871,2008-06-10,2524,2530,Sergio Lehmann Beresi,Consejero,Gerente de Análisis Internacional,LISTA_ASISTENCIA
