"ID_Intervencion","ID_Padre","Fecha","Actor_Final","Institucional","Fuente_Actor","Caracteres","Otras_Personas_Roster","Nombres","Motivos_Revision","Alerta_Motor","Leida_En_Lote9","Veredicto"
"RPM-2005-01-11:1:1","1","2005-01-11","Consejo del Banco Central de Chile","SI","ACTA/META","1260","13","Camilo Carrasco Alfonso; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; María Elena Ovalle Molina; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-01-11:6:1","6","2005-01-11","Vittorio Corbo Lioi","NO","SUJETO_ROL_NOMBRE","159","1","Pablo García Silva","","NO","SI","UNA_SOLA_VOZ"
"RPM-2005-01-11:57:1","57","2005-01-11","Consejo del Banco Central de Chile","SI","ACTA/META","2100","3","José De Gregorio Rebeco; Nicolás Eyzaguirre Guzmán; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-02-10:58:1","58","2005-02-10","Consejo del Banco Central de Chile","SI","ACTA/META","1145","12","Camilo Carrasco Alfonso; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Manuel Marfán Lewis; Mario Marcel Cullell; María Elena Ovalle Molina; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-02-10:138:1","138","2005-02-10","Consejo del Banco Central de Chile","SI","ACTA/META","322","1","Mario Marcel Cullell","","NO","NO",""
"RPM-2005-03-10:140:1","140","2005-03-10","Consejo del Banco Central de Chile","SI","ACTA/META","1299","13","Camilo Carrasco Alfonso; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; María Elena Ovalle Molina; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-03-10:195:1","195","2005-03-10","Consejo del Banco Central de Chile","SI","ACTA/META","508","1","María Elena Ovalle Molina","","NO","NO",""
"RPM-2005-03-10:199:1","199","2005-03-10","Consejo del Banco Central de Chile","SI","ACTA/META","500","1","Nicolás Eyzaguirre Guzmán","","NO","NO",""
"RPM-2005-04-07:201:1","201","2005-04-07","Consejo del Banco Central de Chile","SI","ACTA/META","1144","11","Camilo Carrasco Alfonso; Jorge Desormeaux Jiménez; Jorge Pérez Etchegaray; José De Gregorio Rebeco; Manuel Marfán Lewis; María Elena Ovalle Molina; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-04-07:202:1","202","2005-04-07","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","767","1","María Eugenia Wagner Brizzi","TEXTO_DANADO_POR_COTEJAR","NO","SI","UNA_SOLA_VOZ"
