"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Revision_Dirigida","Alcance_Lectura","Evidencia","Siguiente_Accion","Enlace_Aplicado_V6"
"RPM-2005-01-11:38:1","RPM-2005-01-11:39:1","Rodrigo Valdés Pulido","False","5917","1047","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2005-02-10:120:1","RPM-2005-02-10:121:1","Rodrigo Valdés Pulido","False","2855","3940","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2005-05-12:264:1","RPM-2005-05-12:265:1","Rodrigo Valdés Pulido","False","3765","3854","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2006-07-13:780:2","RPM-2006-07-13:780:3","Vittorio Corbo Lioi","True","1655","1763","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_COTEJO_INICIO","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Cotejar el acta RPM95 del13-07-2006: localizar la transición entre el voto de De Gregorio y el inicio de Corbo; no basta buscar apellidos en fuentes secundarias.","NO"
"RPM-2008-03-13:1728:2","RPM-2008-03-13:1728:3","Andrés Velasco Brañes","True","1023","2296","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2008-06-10:1904:2","RPM-2008-06-10:1905:1","Kevin Cowan Logan","False","1358","1295","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","CARGO_EN_DISCURSO_POR_VERIFICAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2009-03-12:2430:1","RPM-2009-03-12:2431:1","Beltrán de Ramón Acevedo","False","4002","1060","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","POSIBLE_OTRO_HABLANTE_O_MENCION","","POSIBLE_OTRA_VOZ","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2009-08-13:2661:6","RPM-2009-08-13:2661:7","Sergio Lehmann Beresi","True","49","1322","CONTEXTO_REVISADO","SUJETO_ROL_SESION","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_CONFIRMACION_NARRADA","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Revisar el criterio de agrupación de confirmaciones narradas; si el acta repite el mismo texto, no podrá inferirse modalidad verbal/no verbal del PDF.","NO"
"RPM-2009-08-13:2685:2","RPM-2009-08-13:2685:3","Enrique Marshall Rivera","True","139","6624","CONTEXTO_REVISADO","SUJETO_NOMBRE","DUPLICADO_NO_FORMULA","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2009-11-12:2788:1","RPM-2009-11-12:2788:2","José De Gregorio Rebeco","True","126","182","SUJETO_ROL_NOMBRE","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2009-11-12:2788:5","RPM-2009-11-12:2789:1","Claudio Soto Gamboa","False","407","3081","CONTEXTO_REVISADO","SUJETO_NOMBRE","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2009-11-12:2789:1","RPM-2009-11-12:2790:1","Claudio Soto Gamboa","False","3081","594","SUJETO_NOMBRE","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2009-12-15:2803:2","RPM-2009-12-15:2804:1","José De Gregorio Rebeco","False","296","158","CONTEXTO_REVISADO","SUJETO_ROL_SESION","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
