"ID_Intervencion","ID_Padre","Fecha","Actor_Izquierda","Actor_Derecha","Estado_Lectura","Revision_ID","Motivo_Original","Reservas","Final_Izquierda","Inicio_Derecha"
"RPM-2005-07-12:301:1","301","2005-07-12","Nicolás Eyzaguirre Guzmán","Manuel Marfán Lewis","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","andiendo 3%, se presenta un shock y, durante algún tiempo el precio del petróleo se expande a 6% y, la tasa de política monetaria permanece constante, cabría preguntarse si, en este caso, cambiaron las funciones monetarias para la economía,","Al respecto, el Consejero señor Marfán, señala que la pregunta es distinta porque allí se tiene un shock de oferta y, por lo tanto, frente a un shock de este tipo la reacción de política monetaria puede ser diferente para efectos de la tasa"
"RPM-2006-03-16:601:1","601","2006-03-16","Consejo del Banco Central de Chile","Pablo García Silva","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","mitir el ingreso de un
grupo de reporteros que tomará imágenes de los miembros del Consejo con el nuevo Ministro
de Hacienda señor Andrés Velasco. Una vez realizado este cometido, se reinicia la sesión con
la exposición de don Pablo García,","quien señala que durante el último mes, las condiciones
monetarias no muestran cambios significativos. Las tasas de interés reajustables de largo plazo
están en niveles similares a los vigentes al momento de la reunión pasada, y las tasas d"
"RPM-2006-04-13:631:2","631","2006-04-13","Andrés Velasco Brañes","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","Consulta también el señor Ministro si las ventas han caído,","a lo cual el señor Lehmann responde afirmativamente, y agrega, que respecto a las condiciones financieras internacionales, existe preocupación por las mayores presiones de inflación."
"RPM-2006-05-11:658:1","658","2006-05-11","Vittorio Corbo Lioi","Enrique Marshall Rivera","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El señor Presidente ofrece la palabra para comentarios respecto a la exposición de la parte internacional,","El Consejero señor Marshall, consulta cuál es la evaluación de la trayectoria del spread de Chile, que aparece subiendo algo y distanciándose de otros puntos de referencia, como son China, Hungría, Polonia, y otros."
"RPM-2007-08-09:1386:1","1386","2007-08-09","Vittorio Corbo Lioi","Sergio Lehmann Beresi","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Presidente señor Vittorio Corbo consulta cómo cerró el cobre en la Bolsa de Londres en el día de hoy,","señalando el señor Lehmann que la cifra fue de 3,48 dólares la libra."
"RPM-2007-09-13:1410:1","1410","2007-09-13","Sergio Lehmann Beresi","Beltrán de Ramón Acevedo","LIMITE_REVISADO_SIN_CIERRE","COMA-20260908-L1-1410-1","FINAL_SIN_PUNTUACION","","El Gerente de Análisis Internacional señor Lehmann señala que el spread de México que reporta JPMorgan, EMBI México, es el que aparece en el gráfico, esto es, 135 puntos base. Dentro del EMBI el 40% de los bonos son PEMEX,","El Gerente de Mercados Financieros Nacionales señor Beltrán De Ramón indica que revisó los comentarios sobre este tema y complementando lo expresado por el señor Ministro de Hacienda en el Diario Financiero, puede concluir que el tema actua"
"RPM-2008-03-13:1713:3","1713","2008-03-13","Andrés Velasco Brañes","José De Gregorio Rebeco","LIMITE_REVISADO_SIN_CIERRE","COMA-20260908-L1-1713-3","FINAL_SIN_PUNTUACION","","En relación a los índices del sector manufacturero y agrícola, el señor Ministro solicita al Presidente la posibilidad de que el staff del Banco confeccione índices de precios al integro del sector manufacturero como del sector agrícola,","a lo que el señor Presidente responde que se verá la factibilidad de integrar dicha petición a la agenda de trabajo del equipo."
"RPM-2008-03-13:1714:1","1714","2008-03-13","Sebastián Claro Edwards","Igal Magendzo Weinberger","LIMITE_REVISADO_SIN_CIERRE","COMA-20260908-L1-1714-1","FINAL_SIN_PUNTUACION","","El Consejero señor Sebastián Claro menciona que el Servicio Nacional de Aduanas posee todos los datos de valor unitario,","a lo que el señor Magendzo responde que efectivamente es así, pero que son datos que requieren ser organizados y ponderados en forma muy minuciosa, con muchos detalles y aplicando filtros para obtener la información requerida. Comenta asimi"
"RPM-2008-03-13:1718:1","1718","2008-03-13","Jorge Desormeaux Jiménez","Igal Magendzo Weinberger","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","podría explicar que un tipo de cambio que se apreció muy poco el año pasado, súbitamente se deprecia en el país que se usa para la protección y por ello, consulta cómo se lee esa depreciación, cuáles son las áreas que suman la depreciación,","a lo que el Gerente señor Magendzo responde que todas las áreas, positivas más negativas."
"RPM-2008-03-13:1737:1","1737","2008-03-13","Jorge Desormeaux Jiménez","Sebastián Claro Edwards","SIN_FICHA_BILATERAL","","FINAL_SIN_PUNTUACION","","El Vicepresidente señor Jorge Desormeaux señala que se suma a la mayoría antes mencionada,","y el Consejero señor Sebastián Claro manifiesta que mantiene su votación consistente en subir la Tasa de Política Monetaria a 6,50%."
"RPM-2008-05-08:1809:1","1809","2008-05-08","José De Gregorio Rebeco","Pablo García Silva","LIMITE_REVISADO_SIN_CIERRE","COMA-20260908-L1-1809-1","FINAL_SIN_PUNTUACION","Se conservan De Gregario, va a ener y yeso. La lectura del límite no certifica esos términos ni habilita alias."," en Chile. Comenta que es probable que en dichas zonas este tipo de situaciones ocurra con un poco más de rezago, en tanto, en el grueso de los países en desarrollo se están realizando infinidad de cosas para evitar los aumentos de precios,","El Gerente de División Estudios, señor Pablo García comenta que el Banco va a ener información más detallada de esta materia porque se está a punto de obtener una base de datos bien precisa, respecto a las canastas de consumo en un conjunto"
"RPM-2008-06-10:1857:1","1857","2008-06-10","Manuel Marfán Lewis","Sergio Lehmann Beresi","LIMITE_REVISADO_SIN_CIERRE","COMA-20260908-L1-1857-1","FINAL_SIN_PUNTUACION","","El Consejero señor Manuel Marfán consulta si el ¡PC Care en la Zona Euro excluye energía y alimentos al igual que en Estados Unidos de América,","a lo que el señor Lehmann responde afirmativamente."
"RPM-2008-06-10:1871:1","1871","2008-06-10","José De Gregorio Rebeco","Sergio Lehmann Beresi","LIMITE_REVISADO_SIN_CIERRE","COMA-20260908-L1-1871-1","FINAL_SIN_PUNTUACION","","El señor Presidente comenta que los precios de estos tres productos agrícolas casi se triplican comparados con el año 2002,","lo que comparte el señor Lehmann, quien agrega que lo más decidor es que se prevé que se mantendrán en esos niveles hasta el año 2017, por lo menos."
